body_battery,field_four,field_two,stress_level_time,stress_level_value
17,1,167,2025-11-16T03:16:00.000Z,92
17,1,102,2025-11-16T03:17:00.000Z,65534
16,1,193,2025-11-16T03:18:00.000Z,72
16,1,196,2025-11-16T03:19:00.000Z,70
16,1,217,2025-11-16T03:20:00.000Z,54
16,1,216,2025-11-16T03:21:00.000Z,55
16,1,217,2025-11-16T03:22:00.000Z,54
16,1,233,2025-11-16T03:23:00.000Z,42
16,1,232,2025-11-16T03:24:00.000Z,43
16,1,243,2025-11-16T03:25:00.000Z,35
16,1,248,2025-11-16T03:26:00.000Z,31
16,1,234,2025-11-16T03:27:00.000Z,42
16,1,243,2025-11-16T03:28:00.000Z,35
16,1,236,2025-11-16T03:29:00.000Z,40
16,1,216,2025-11-16T03:30:00.000Z,55
16,1,241,2025-11-16T03:31:00.000Z,36
16,1,236,2025-11-16T03:32:00.000Z,40
16,1,233,2025-11-16T03:33:00.000Z,42
16,1,102,2025-11-16T03:34:00.000Z,65534
16,1,227,2025-11-16T03:35:00.000Z,47
16,1,225,2025-11-16T03:36:00.000Z,48
16,1,228,2025-11-16T03:37:00.000Z,46
16,1,224,2025-11-16T03:38:00.000Z,49
16,1,240,2025-11-16T03:39:00.000Z,37
16,1,219,2025-11-16T03:40:00.000Z,53
16,1,239,2025-11-16T03:41:00.000Z,38
16,1,15,2025-11-16T03:42:00.000Z,21
16,1,12,2025-11-16T03:43:00.000Z,22
16,1,241,2025-11-16T03:44:00.000Z,36
16,1,243,2025-11-16T03:45:00.000Z,35
16,1,202,2025-11-16T03:46:00.000Z,66
16,1,249,2025-11-16T03:47:00.000Z,30
16,1,216,2025-11-16T03:48:00.000Z,55
15,1,248,2025-11-16T03:49:00.000Z,31
15,1,246,2025-11-16T03:50:00.000Z,33
15,1,219,2025-11-16T03:51:00.000Z,53
15,1,245,2025-11-16T03:52:00.000Z,33
15,1,223,2025-11-16T03:53:00.000Z,50
15,1,244,2025-11-16T03:54:00.000Z,34
15,1,205,2025-11-16T03:55:00.000Z,63
15,1,198,2025-11-16T03:56:00.000Z,69
15,1,239,2025-11-16T03:57:00.000Z,38
15,1,230,2025-11-16T03:58:00.000Z,45
15,1,204,2025-11-16T03:59:00.000Z,64
15,1,223,2025-11-16T04:00:00.000Z,50
15,1,212,2025-11-16T04:01:00.000Z,58
15,1,232,2025-11-16T04:02:00.000Z,43
15,1,232,2025-11-16T04:03:00.000Z,43
15,1,202,2025-11-16T04:04:00.000Z,66
15,1,201,2025-11-16T04:05:00.000Z,66
15,1,212,2025-11-16T04:06:00.000Z,58
14,1,225,2025-11-16T04:07:00.000Z,48
14,1,216,2025-11-16T04:08:00.000Z,55
14,1,213,2025-11-16T04:09:00.000Z,57
14,1,235,2025-11-16T04:10:00.000Z,41
14,1,218,2025-11-16T04:11:00.000Z,54
14,1,208,2025-11-16T04:12:00.000Z,61
14,1,195,2025-11-16T04:13:00.000Z,71
14,1,202,2025-11-16T04:14:00.000Z,66
14,1,220,2025-11-16T04:15:00.000Z,52
14,1,220,2025-11-16T04:16:00.000Z,52
14,1,210,2025-11-16T04:17:00.000Z,60
14,1,189,2025-11-16T04:18:00.000Z,75
14,1,218,2025-11-16T04:19:00.000Z,54
14,1,223,2025-11-16T04:20:00.000Z,50
14,1,241,2025-11-16T04:21:00.000Z,36
14,1,218,2025-11-16T04:22:00.000Z,54
14,1,214,2025-11-16T04:23:00.000Z,57
14,1,213,2025-11-16T04:24:00.000Z,57
14,1,214,2025-11-16T04:25:00.000Z,57
14,1,199,2025-11-16T04:26:00.000Z,68
14,1,216,2025-11-16T04:27:00.000Z,55
14,1,218,2025-11-16T04:28:00.000Z,54
14,1,203,2025-11-16T04:29:00.000Z,65
14,1,244,2025-11-16T04:30:00.000Z,34
14,1,236,2025-11-16T04:31:00.000Z,40
14,1,237,2025-11-16T04:32:00.000Z,39
14,1,240,2025-11-16T04:33:00.000Z,37
14,1,236,2025-11-16T04:34:00.000Z,40
14,1,231,2025-11-16T04:35:00.000Z,44
13,1,237,2025-11-16T04:36:00.000Z,39
13,1,235,2025-11-16T04:37:00.000Z,41
13,1,216,2025-11-16T04:38:00.000Z,55
13,1,102,2025-11-16T04:39:00.000Z,65534
13,1,190,2025-11-16T04:40:00.000Z,75
13,1,218,2025-11-16T04:41:00.000Z,54
13,1,0,2025-11-16T04:42:00.000Z,25
13,1,102,2025-11-16T04:43:00.000Z,65534
13,1,102,2025-11-16T04:44:00.000Z,65534
13,1,102,2025-11-16T04:45:00.000Z,65534
13,1,102,2025-11-16T04:46:00.000Z,65534
13,1,102,2025-11-16T04:47:00.000Z,65534
13,1,102,2025-11-16T04:48:00.000Z,65534
13,1,102,2025-11-16T04:49:00.000Z,65534
13,1,102,2025-11-16T04:50:00.000Z,65534
13,1,102,2025-11-16T04:51:00.000Z,65534
12,1,102,2025-11-16T04:52:00.000Z,65534
12,1,180,2025-11-16T04:53:00.000Z,82
12,1,178,2025-11-16T04:54:00.000Z,84
12,1,185,2025-11-16T04:55:00.000Z,78
12,1,178,2025-11-16T04:56:00.000Z,84
12,1,102,2025-11-16T04:57:00.000Z,65534
12,1,102,2025-11-16T04:58:00.000Z,65534
12,1,102,2025-11-16T04:59:00.000Z,65534
12,1,212,2025-11-16T05:00:00.000Z,58
