active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
7,2.5223372357846707e-40,"generic",,0,0,203,,2025-11-15T08:23:00.000Z,
27,1.2401491409274631e-39,"walking",,6.8523494905483555e-43,5.61206021977446e-44,203,,2025-11-15T08:23:00.000Z,
,,,,,,,,2025-11-15T08:23:00.000Z,
,,,,,,,76,2025-11-15T08:24:00.000Z,60576
,,,136,,,,,2025-11-15T08:24:00.000Z,
,,,,,,,67,2025-11-15T08:25:00.000Z,60636
,,,8,,,,,2025-11-15T08:25:00.000Z,
,,,,,,,64,2025-11-15T08:26:00.000Z,60696
,,,104,,,,,2025-11-15T08:26:00.000Z,
,,,,,,,62,2025-11-15T08:27:00.000Z,60756
,,,,,,,63,2025-11-15T08:28:00.000Z,60816
,,,,,,,62,2025-11-15T08:29:00.000Z,60876
,,,,,,,61,2025-11-15T08:30:00.000Z,60936
,,,,,,,60,2025-11-15T08:32:00.000Z,61056
,,,,,,,61,2025-11-15T08:33:00.000Z,61116
,,,,,,,62,2025-11-15T08:37:00.000Z,61356
,,,,,,,61,2025-11-15T08:39:00.000Z,61476
,,,,,,,62,2025-11-15T08:40:00.000Z,61536
,,,,,,,63,2025-11-15T08:44:00.000Z,61776
,,,8,,,,,2025-11-15T08:45:00.000Z,
,,,,,,,65,2025-11-15T08:46:00.000Z,61896
,,,,,,,74,2025-11-15T08:47:00.000Z,61956
,,,136,,,,,2025-11-15T08:47:00.000Z,
,,,,,,,62,2025-11-15T08:48:00.000Z,62016
,,,,,,,60,2025-11-15T08:50:00.000Z,62136
,,,,,,,61,2025-11-15T08:51:00.000Z,62196
,,,,,,,60,2025-11-15T08:54:00.000Z,62376
,,,,,,,61,2025-11-15T08:55:00.000Z,62436
,,,,,,,62,2025-11-15T08:57:00.000Z,62556
,,,,,,,63,2025-11-15T08:58:00.000Z,62616
,,,8,,,,,2025-11-15T09:02:00.000Z,
,,,,,,,64,2025-11-15T09:04:00.000Z,62976
,,,8,,,,,2025-11-15T09:09:00.000Z,
,,,,,,,68,2025-11-15T09:10:00.000Z,63336
,,,104,,,,,2025-11-15T09:10:00.000Z,
,,,,,,,65,2025-11-15T09:11:00.000Z,63396
,,,,,,,63,2025-11-15T09:12:00.000Z,63456
,,,,,,,62,2025-11-15T09:14:00.000Z,63576
,,,,,,,65,2025-11-15T09:15:00.000Z,63636
,,,,,,,68,2025-11-15T09:16:00.000Z,63696
,,,,,,,70,2025-11-15T09:17:00.000Z,63756
,,,,,,,68,2025-11-15T09:18:00.000Z,63816
,,,8,,,,,2025-11-15T09:18:00.000Z,
,,,,,,,66,2025-11-15T09:20:00.000Z,63936
,,,104,,,,,2025-11-15T09:20:00.000Z,
,,,,,,,67,2025-11-15T09:21:00.000Z,63996
,,,,,,,66,2025-11-15T09:22:00.000Z,64056
,,,,,,,67,2025-11-15T09:23:00.000Z,64116
,,,,,,,68,2025-11-15T09:24:00.000Z,64176
,,,,,,,66,2025-11-15T09:25:00.000Z,64236
,,,,,,,64,2025-11-15T09:26:00.000Z,64296
,,,,,,,68,2025-11-15T09:27:00.000Z,64356
,,,,,,,66,2025-11-15T09:28:00.000Z,64416
,,,,,,,68,2025-11-15T09:29:00.000Z,64476
,,,,,,,66,2025-11-15T09:30:00.000Z,64536
,,,,,,,65,2025-11-15T09:33:00.000Z,64716
,,,,,,,66,2025-11-15T09:35:00.000Z,64836
,,,,,,,67,2025-11-15T09:36:00.000Z,64896
,,,,,,,66,2025-11-15T09:37:00.000Z,64956
,,,,,,,68,2025-11-15T09:40:00.000Z,65136
,,,8,,,,,2025-11-15T09:40:00.000Z,
,,,,,,,63,2025-11-15T09:41:00.000Z,65196
,,,104,,,,,2025-11-15T09:41:00.000Z,
,,,,,,,64,2025-11-15T09:43:00.000Z,65316
,,,,,,,65,2025-11-15T09:44:00.000Z,65376
,,,,,,,64,2025-11-15T09:45:00.000Z,65436
,,,,,,,65,2025-11-15T09:54:00.000Z,440
,,,,,,,64,2025-11-15T09:55:00.000Z,500
,,,,,,,65,2025-11-15T09:56:00.000Z,560
,,,,,,,64,2025-11-15T10:02:00.000Z,920
,,,8,,,,,2025-11-15T10:02:00.000Z,
,,,,,,,65,2025-11-15T10:03:00.000Z,980
,,,,,,,64,2025-11-15T10:05:00.000Z,1100
,,,,,,,65,2025-11-15T10:06:00.000Z,1160
,,,8,,,,,2025-11-15T10:12:00.000Z,
,,,,,,,70,2025-11-15T10:14:00.000Z,1640
,,,,,,,71,2025-11-15T10:15:00.000Z,1700
,,,136,,,,,2025-11-15T10:15:00.000Z,
,,,,,,,61,2025-11-15T10:16:00.000Z,1760
,,,,,,,60,2025-11-15T10:17:00.000Z,1820
,,,,,,,59,2025-11-15T10:19:00.000Z,1940
,,,,,,,61,2025-11-15T10:20:00.000Z,2000
,,,,,,,62,2025-11-15T10:23:00.000Z,2180
,,,,,,,63,2025-11-15T10:24:00.000Z,2240
,,,,,,,65,2025-11-15T10:27:00.000Z,2420
,,,,,,,64,2025-11-15T10:30:00.000Z,2600
,,,8,,,,,2025-11-15T10:30:00.000Z,
,,,,,,,68,2025-11-15T10:32:00.000Z,2720
,,,104,,,,,2025-11-15T10:32:00.000Z,
,,,,,,,65,2025-11-15T10:33:00.000Z,2780
,,,,,,,64,2025-11-15T10:34:00.000Z,2840
,,,,,,,63,2025-11-15T10:35:00.000Z,2900
,,,,,,,64,2025-11-15T10:36:00.000Z,2960
,,,,,,,65,2025-11-15T10:37:00.000Z,3020
,,,,,,,64,2025-11-15T10:38:00.000Z,3080
,,,,,,,65,2025-11-15T10:39:00.000Z,3140
,,,,,,,66,2025-11-15T10:40:00.000Z,3200
,,,,,,,64,2025-11-15T10:41:00.000Z,3260
,,,,,,,66,2025-11-15T10:42:00.000Z,3320
,,,,,,,65,2025-11-15T10:46:00.000Z,3560
,,,,,,,66,2025-11-15T10:53:00.000Z,3980
,,,,,,,65,2025-11-15T10:54:00.000Z,4040
,,,,,,,66,2025-11-15T10:55:00.000Z,4100
,,,,,,,65,2025-11-15T11:00:00.000Z,4400
,,,8,,,,,2025-11-15T11:03:00.000Z,
,,,,,,,66,2025-11-15T11:05:00.000Z,4700
,,,8,,,,,2025-11-15T11:06:00.000Z,
,,,,,,,67,2025-11-15T11:07:00.000Z,4820
,,,,,,,71,2025-11-15T11:08:00.000Z,4880
,,,136,,,,,2025-11-15T11:08:00.000Z,
,,,,,,,66,2025-11-15T11:09:00.000Z,4940
,,,,,,,64,2025-11-15T11:10:00.000Z,5000
,,,,,,,65,2025-11-15T11:13:00.000Z,5180
,,,,,,,66,2025-11-15T11:16:00.000Z,5360
,,,,,,,65,2025-11-15T11:17:00.000Z,5420
,,,,,,,66,2025-11-15T11:21:00.000Z,5660
,,,,,,,65,2025-11-15T11:25:00.000Z,5900
,,,8,,,,,2025-11-15T11:25:00.000Z,
,,,,,,,66,2025-11-15T11:26:00.000Z,5960
,,,,,,,67,2025-11-15T11:27:00.000Z,6020
,,,,,,,68,2025-11-15T11:28:00.000Z,6080
,,,136,,,,,2025-11-15T11:28:00.000Z,
,,,,,,,64,2025-11-15T11:29:00.000Z,6140
,,,,,,,63,2025-11-15T11:30:00.000Z,6200
,,,8,,,,,2025-11-15T11:30:00.000Z,
,,,104,,,,,2025-11-15T11:31:00.000Z,
,,,,,,,62,2025-11-15T11:35:00.000Z,6500
,,,,,,,63,2025-11-15T11:37:00.000Z,6620
,,,,,,,62,2025-11-15T11:38:00.000Z,6680
,,,,,,,64,2025-11-15T11:43:00.000Z,6980
,,,8,,,,,2025-11-15T11:43:00.000Z,
,,,,,,,63,2025-11-15T11:44:00.000Z,7040
