active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
,,,,,,,,2025-11-15T05:00:00.000Z,
,,,8,,,,,2025-11-15T05:00:00.000Z,
,,,,,,,81,2025-11-15T05:01:00.000Z,48396
,,,,,,,83,2025-11-15T05:02:00.000Z,48456
,,,,,,,82,2025-11-15T05:03:00.000Z,48516
,,,,,,,84,2025-11-15T05:04:00.000Z,48576
,,,,,,,82,2025-11-15T05:05:00.000Z,48636
,,,,,,,84,2025-11-15T05:06:00.000Z,48696
,,,,,,,81,2025-11-15T05:07:00.000Z,48756
,,,,,,,79,2025-11-15T05:08:00.000Z,48816
,,,,,,,78,2025-11-15T05:09:00.000Z,48876
,,,,,,,79,2025-11-15T05:10:00.000Z,48936
,,,,,,,78,2025-11-15T05:11:00.000Z,48996
,,,,,,,76,2025-11-15T05:13:00.000Z,49116
,,,,,,,75,2025-11-15T05:14:00.000Z,49176
,,,,,,,76,2025-11-15T05:16:00.000Z,49296
,,,72,,,,,2025-11-15T05:17:00.000Z,
,,,,,,,75,2025-11-15T05:18:00.000Z,49416
,,,,,,,76,2025-11-15T05:19:00.000Z,49476
,,,8,,,,,2025-11-15T05:19:00.000Z,
,,,,,,,80,2025-11-15T05:20:00.000Z,49536
0,2.1019476964872256e-41,,134,1.8216880036222622e-44,,,,2025-11-15T05:20:00.000Z,49536
,,,,,,,78,2025-11-15T05:21:00.000Z,49596
,,,,,,,76,2025-11-15T05:22:00.000Z,49656
,,,,,,,74,2025-11-15T05:23:00.000Z,49716
,,,104,,,,,2025-11-15T05:23:00.000Z,
,,,,,,,73,2025-11-15T05:25:00.000Z,49836
,,,8,,,,,2025-11-15T05:25:00.000Z,
,,,,,,,74,2025-11-15T05:26:00.000Z,49896
,,,,,,,79,2025-11-15T05:27:00.000Z,49956
,,,,,,,75,2025-11-15T05:28:00.000Z,50016
,,,72,,,,,2025-11-15T05:28:00.000Z,
,,,,,,,76,2025-11-15T05:29:00.000Z,50076
,,,8,,,,,2025-11-15T05:29:00.000Z,
,,,40,,,,,2025-11-15T05:30:00.000Z,
,,,,,,,77,2025-11-15T05:31:00.000Z,50196
,,,8,,,,,2025-11-15T05:31:00.000Z,
,,,,,,,79,2025-11-15T05:32:00.000Z,50256
,,,,,,,78,2025-11-15T05:33:00.000Z,50316
,,,,,,,79,2025-11-15T05:34:00.000Z,50376
,,,,,,,80,2025-11-15T05:36:00.000Z,50496
,,,104,,,,,2025-11-15T05:36:00.000Z,
,,,,,,,79,2025-11-15T05:37:00.000Z,50556
,,,8,,,,,2025-11-15T05:37:00.000Z,
,,,,,,,81,2025-11-15T05:38:00.000Z,50616
0,4.203895392974451e-41,,134,5.74532370373175e-44,,,,2025-11-15T05:38:00.000Z,50616
,,,8,,,,,2025-11-15T05:39:00.000Z,
,,,,,,,78,2025-11-15T05:40:00.000Z,50736
,,,72,,,,,2025-11-15T05:40:00.000Z,
,,,8,,,,,2025-11-15T05:41:00.000Z,
,,,,,,,81,2025-11-15T05:43:00.000Z,50916
,,,,,,,78,2025-11-15T05:44:00.000Z,50976
,,,,,,,79,2025-11-15T05:45:00.000Z,51036
,,,104,,,,,2025-11-15T05:45:00.000Z,
,,,,,,,78,2025-11-15T05:46:00.000Z,51096
,,,8,,,,,2025-11-15T05:48:00.000Z,
,,,,,,,80,2025-11-15T05:49:00.000Z,51276
,,,40,,,,,2025-11-15T05:49:00.000Z,
,,,,,,,81,2025-11-15T05:51:00.000Z,51396
,,,8,,,,,2025-11-15T05:51:00.000Z,
,,,,,,,84,2025-11-15T05:52:00.000Z,51456
,,,,,,,86,2025-11-15T05:55:00.000Z,51636
,,,,,,,81,2025-11-15T05:56:00.000Z,51696
,,,,,,,87,2025-11-15T05:57:00.000Z,51756
,,,,,,,85,2025-11-15T05:58:00.000Z,51816
,,,,,,,90,2025-11-15T05:59:00.000Z,51876
,,,136,,,,,2025-11-15T05:59:00.000Z,
,,,,,,,99,2025-11-15T06:00:00.000Z,51936
0,6.305843089461677e-41,,166,1.14906474074635e-43,,,,2025-11-15T06:00:00.000Z,51936
,,,,,,,106,2025-11-15T06:01:00.000Z,51996
2,1.471363387541058e-40,,70,1.5414283107572988e-43,,,,2025-11-15T06:01:00.000Z,51996
,,,,,,,95,2025-11-15T06:02:00.000Z,52056
,,,,,,,81,2025-11-15T06:03:00.000Z,52116
,,,104,,,,,2025-11-15T06:03:00.000Z,
3,2.312142466135948e-40,,70,1.9197788961249994e-43,,,,2025-11-15T06:04:00.000Z,52176
,,,,,,,92,2025-11-15T06:05:00.000Z,52236
,,,,,,,91,2025-11-15T06:06:00.000Z,52296
,,,,,,,97,2025-11-15T06:07:00.000Z,52356
,,,,,,,95,2025-11-15T06:08:00.000Z,52416
,,,,,,,100,2025-11-15T06:09:00.000Z,52476
,,,,,,,102,2025-11-15T06:10:00.000Z,52536
,,,,,,,87,2025-11-15T06:11:00.000Z,52596
,,,,,,,75,2025-11-15T06:12:00.000Z,52656
,,,,,,,74,2025-11-15T06:13:00.000Z,52716
,,,,,,,73,2025-11-15T06:15:00.000Z,52836
,,,168,,,,,2025-11-15T06:15:00.000Z,
,,,,,,,75,2025-11-15T06:16:00.000Z,52896
,,,8,,,,,2025-11-15T06:16:00.000Z,
,,,,,,,77,2025-11-15T06:20:00.000Z,53136
,,,72,,,,,2025-11-15T06:20:00.000Z,
,,,,,,,76,2025-11-15T06:21:00.000Z,53196
,,,8,,,,,2025-11-15T06:21:00.000Z,
,,,,,,,75,2025-11-15T06:22:00.000Z,53256
,,,136,,,,,2025-11-15T06:22:00.000Z,
,,,,,,,76,2025-11-15T06:23:00.000Z,53316
,,,,,,,77,2025-11-15T06:24:00.000Z,53376
,,,8,,,,,2025-11-15T06:24:00.000Z,
,,,,,,,76,2025-11-15T06:25:00.000Z,53436
,,,,,,,77,2025-11-15T06:26:00.000Z,53496
,,,104,,,,,2025-11-15T06:26:00.000Z,
,,,,,,,79,2025-11-15T06:27:00.000Z,53556
,,,8,,,,,2025-11-15T06:27:00.000Z,
,,,,,,,78,2025-11-15T06:28:00.000Z,53616
,,,,,,,79,2025-11-15T06:30:00.000Z,53736
,,,,,,,80,2025-11-15T06:33:00.000Z,53916
,,,,,,,81,2025-11-15T06:34:00.000Z,53976
,,,,,,,78,2025-11-15T06:35:00.000Z,54036
,,,,,,,83,2025-11-15T06:36:00.000Z,54096
,,,,,,,84,2025-11-15T06:37:00.000Z,54156
,,,,,,,79,2025-11-15T06:38:00.000Z,54216
,,,,,,,78,2025-11-15T06:39:00.000Z,54276
,,,,,,,77,2025-11-15T06:40:00.000Z,54336
,,,,,,,78,2025-11-15T06:41:00.000Z,54396
,,,,,,,79,2025-11-15T06:43:00.000Z,54516
,,,104,,,,,2025-11-15T06:43:00.000Z,
,,,,,,,77,2025-11-15T06:44:00.000Z,54576
,,,8,,,,,2025-11-15T06:44:00.000Z,
,,,,,,,76,2025-11-15T06:45:00.000Z,54636
,,,,,,,77,2025-11-15T06:46:00.000Z,54696
,,,,,,,76,2025-11-15T06:47:00.000Z,54756
,,,136,,,,,2025-11-15T06:47:00.000Z,
,,,,,,,84,2025-11-15T06:48:00.000Z,54816
,,,,,,,97,2025-11-15T06:49:00.000Z,54876
,,,,,,,104,2025-11-15T06:50:00.000Z,54936
,,,,,,,102,2025-11-15T06:51:00.000Z,54996
10,5.675258780515509e-40,,70,3.6573889918877726e-43,,,,2025-11-15T06:51:00.000Z,54996
,,,,,,,104,2025-11-15T06:53:00.000Z,55116
4,1.6815581571897805e-40,,192,0,,,,2025-11-15T06:53:00.000Z,55116
,,,,,,,102,2025-11-15T06:54:00.000Z,55176
,,,168,,,,,2025-11-15T06:54:00.000Z,
,,,,,,,92,2025-11-15T06:55:00.000Z,55236
11,6.516037859110399e-40,,166,3.923635700109488e-43,,,,2025-11-15T06:55:00.000Z,55236
,,,,,,,98,2025-11-15T06:56:00.000Z,55296
,,,,,,,99,2025-11-15T06:57:00.000Z,55356
