body_battery,field_four,field_two,stress_level_time,stress_level_value
12,1,29,2025-11-15T08:24:00.000Z,18
12,1,36,2025-11-15T08:25:00.000Z,16
12,1,75,2025-11-15T08:26:00.000Z,6
12,1,37,2025-11-15T08:27:00.000Z,16
12,1,53,2025-11-15T08:28:00.000Z,12
12,1,68,2025-11-15T08:29:00.000Z,8
12,1,82,2025-11-15T08:30:00.000Z,4
13,1,91,2025-11-15T08:31:00.000Z,2
13,1,97,2025-11-15T08:32:00.000Z,1
13,1,93,2025-11-15T08:33:00.000Z,2
13,1,93,2025-11-15T08:34:00.000Z,2
13,1,92,2025-11-15T08:35:00.000Z,2
13,1,93,2025-11-15T08:36:00.000Z,2
14,1,90,2025-11-15T08:37:00.000Z,2
14,1,94,2025-11-15T08:38:00.000Z,1
14,1,97,2025-11-15T08:39:00.000Z,1
14,1,95,2025-11-15T08:40:00.000Z,1
14,1,93,2025-11-15T08:41:00.000Z,2
14,1,96,2025-11-15T08:42:00.000Z,1
15,1,91,2025-11-15T08:43:00.000Z,2
15,1,74,2025-11-15T08:44:00.000Z,6
15,1,90,2025-11-15T08:45:00.000Z,2
15,1,93,2025-11-15T08:46:00.000Z,2
16,1,64,2025-11-15T08:47:00.000Z,9
16,1,98,2025-11-15T08:48:00.000Z,0
16,1,89,2025-11-15T08:49:00.000Z,3
16,1,98,2025-11-15T08:50:00.000Z,0
16,1,96,2025-11-15T08:51:00.000Z,1
17,1,95,2025-11-15T08:52:00.000Z,1
17,1,97,2025-11-15T08:53:00.000Z,1
17,1,98,2025-11-15T08:54:00.000Z,0
17,1,97,2025-11-15T08:55:00.000Z,1
17,1,97,2025-11-15T08:56:00.000Z,1
18,1,96,2025-11-15T08:57:00.000Z,1
18,1,94,2025-11-15T08:58:00.000Z,1
18,1,93,2025-11-15T08:59:00.000Z,2
18,1,95,2025-11-15T09:00:00.000Z,1
19,1,94,2025-11-15T09:01:00.000Z,1
19,1,90,2025-11-15T09:02:00.000Z,2
19,1,95,2025-11-15T09:03:00.000Z,1
20,1,90,2025-11-15T09:04:00.000Z,2
20,1,91,2025-11-15T09:05:00.000Z,2
20,1,93,2025-11-15T09:07:00.000Z,2
20,1,90,2025-11-15T09:08:00.000Z,2
20,1,91,2025-11-15T09:09:00.000Z,2
20,1,68,2025-11-15T09:10:00.000Z,8
21,1,62,2025-11-15T09:11:00.000Z,9
21,1,62,2025-11-15T09:12:00.000Z,9
21,1,90,2025-11-15T09:13:00.000Z,2
21,1,62,2025-11-15T09:14:00.000Z,9
21,1,38,2025-11-15T09:15:00.000Z,15
21,1,13,2025-11-15T09:16:00.000Z,22
21,1,13,2025-11-15T09:17:00.000Z,22
21,1,9,2025-11-15T09:18:00.000Z,23
21,1,6,2025-11-15T09:19:00.000Z,23
21,1,50,2025-11-15T09:20:00.000Z,12
21,1,44,2025-11-15T09:21:00.000Z,14
22,1,44,2025-11-15T09:22:00.000Z,14
22,1,29,2025-11-15T09:23:00.000Z,18
22,1,22,2025-11-15T09:24:00.000Z,19
22,1,37,2025-11-15T09:25:00.000Z,16
22,1,33,2025-11-15T09:26:00.000Z,17
22,1,7,2025-11-15T09:27:00.000Z,23
22,1,34,2025-11-15T09:28:00.000Z,16
22,1,22,2025-11-15T09:29:00.000Z,19
22,1,30,2025-11-15T09:30:00.000Z,17
22,1,23,2025-11-15T09:31:00.000Z,19
22,1,10,2025-11-15T09:32:00.000Z,22
23,1,8,2025-11-15T09:33:00.000Z,23
23,1,8,2025-11-15T09:34:00.000Z,23
23,1,56,2025-11-15T09:35:00.000Z,11
23,1,17,2025-11-15T09:36:00.000Z,21
23,1,36,2025-11-15T09:37:00.000Z,16
23,1,15,2025-11-15T09:38:00.000Z,21
23,1,18,2025-11-15T09:39:00.000Z,20
24,1,15,2025-11-15T09:40:00.000Z,21
24,1,57,2025-11-15T09:41:00.000Z,11
24,1,92,2025-11-15T09:42:00.000Z,2
24,1,89,2025-11-15T09:43:00.000Z,3
25,1,72,2025-11-15T09:44:00.000Z,7
25,1,76,2025-11-15T09:45:00.000Z,6
25,1,82,2025-11-15T09:46:00.000Z,4
25,1,87,2025-11-15T09:47:00.000Z,3
26,1,91,2025-11-15T09:48:00.000Z,2
26,1,90,2025-11-15T09:49:00.000Z,2
26,1,84,2025-11-15T09:50:00.000Z,4
26,1,89,2025-11-15T09:51:00.000Z,3
27,1,87,2025-11-15T09:52:00.000Z,3
27,1,90,2025-11-15T09:53:00.000Z,2
27,1,78,2025-11-15T09:54:00.000Z,5
28,1,86,2025-11-15T09:55:00.000Z,3
28,1,82,2025-11-15T09:56:00.000Z,4
28,1,85,2025-11-15T09:57:00.000Z,4
28,1,85,2025-11-15T09:58:00.000Z,4
29,1,78,2025-11-15T09:59:00.000Z,5
29,1,81,2025-11-15T10:00:00.000Z,5
29,1,84,2025-11-15T10:01:00.000Z,4
29,1,88,2025-11-15T10:02:00.000Z,3
30,1,86,2025-11-15T10:03:00.000Z,3
30,1,87,2025-11-15T10:04:00.000Z,3
30,1,90,2025-11-15T10:05:00.000Z,2
30,1,86,2025-11-15T10:06:00.000Z,3
31,1,72,2025-11-15T10:07:00.000Z,7
31,1,82,2025-11-15T10:08:00.000Z,4
31,1,82,2025-11-15T10:09:00.000Z,4
32,1,73,2025-11-15T10:10:00.000Z,7
32,1,62,2025-11-15T10:11:00.000Z,9
32,1,71,2025-11-15T10:12:00.000Z,7
32,1,74,2025-11-15T10:13:00.000Z,6
32,1,52,2025-11-15T10:14:00.000Z,12
32,1,73,2025-11-15T10:15:00.000Z,7
33,1,98,2025-11-15T10:16:00.000Z,0
33,1,98,2025-11-15T10:17:00.000Z,0
33,1,88,2025-11-15T10:18:00.000Z,3
34,1,84,2025-11-15T10:19:00.000Z,4
34,1,79,2025-11-15T10:20:00.000Z,5
34,1,71,2025-11-15T10:21:00.000Z,7
35,1,66,2025-11-15T10:22:00.000Z,8
35,1,75,2025-11-15T10:23:00.000Z,6
35,1,48,2025-11-15T10:24:00.000Z,13
36,1,31,2025-11-15T10:25:00.000Z,17
36,1,49,2025-11-15T10:26:00.000Z,13
36,1,40,2025-11-15T10:27:00.000Z,15
36,1,38,2025-11-15T10:28:00.000Z,15
36,1,23,2025-11-15T10:29:00.000Z,19
36,1,69,2025-11-15T10:30:00.000Z,8
37,1,50,2025-11-15T10:31:00.000Z,12
37,1,72,2025-11-15T10:32:00.000Z,7
37,1,74,2025-11-15T10:33:00.000Z,6
38,1,53,2025-11-15T10:34:00.000Z,12
38,1,54,2025-11-15T10:35:00.000Z,11
38,1,71,2025-11-15T10:36:00.000Z,7
38,1,59,2025-11-15T10:37:00.000Z,10
38,1,24,2025-11-15T10:38:00.000Z,19
38,1,38,2025-11-15T10:39:00.000Z,15
39,1,36,2025-11-15T10:40:00.000Z,16
39,1,25,2025-11-15T10:41:00.000Z,19
39,1,37,2025-11-15T10:42:00.000Z,16
40,1,51,2025-11-15T10:43:00.000Z,12
40,1,23,2025-11-15T10:44:00.000Z,19
40,1,24,2025-11-15T10:45:00.000Z,19
40,1,53,2025-11-15T10:47:00.000Z,12
40,1,55,2025-11-15T10:48:00.000Z,11
41,1,56,2025-11-15T10:49:00.000Z,11
42,1,49,2025-11-15T10:50:00.000Z,13
42,1,10,2025-11-15T10:51:00.000Z,22
42,1,29,2025-11-15T10:52:00.000Z,18
42,1,14,2025-11-15T10:53:00.000Z,21
42,1,10,2025-11-15T10:54:00.000Z,22
42,1,43,2025-11-15T10:55:00.000Z,14
42,1,14,2025-11-15T10:56:00.000Z,21
42,1,18,2025-11-15T10:57:00.000Z,20
43,1,16,2025-11-15T10:58:00.000Z,21
43,1,17,2025-11-15T10:59:00.000Z,21
43,1,41,2025-11-15T11:00:00.000Z,15
43,1,31,2025-11-15T11:01:00.000Z,17
43,1,45,2025-11-15T11:02:00.000Z,14
43,1,19,2025-11-15T11:03:00.000Z,20
44,1,13,2025-11-15T11:04:00.000Z,22
44,1,23,2025-11-15T11:05:00.000Z,19
44,1,19,2025-11-15T11:06:00.000Z,20
44,1,40,2025-11-15T11:07:00.000Z,15
45,1,59,2025-11-15T11:08:00.000Z,10
45,1,88,2025-11-15T11:09:00.000Z,3
45,1,89,2025-11-15T11:10:00.000Z,3
45,1,81,2025-11-15T11:11:00.000Z,5
45,1,75,2025-11-15T11:12:00.000Z,6
46,1,66,2025-11-15T11:13:00.000Z,8
46,1,62,2025-11-15T11:14:00.000Z,9
46,1,68,2025-11-15T11:15:00.000Z,8
47,1,54,2025-11-15T11:16:00.000Z,11
47,1,68,2025-11-15T11:17:00.000Z,8
48,1,80,2025-11-15T11:18:00.000Z,5
48,1,64,2025-11-15T11:19:00.000Z,9
48,1,72,2025-11-15T11:20:00.000Z,7
48,1,58,2025-11-15T11:21:00.000Z,10
49,1,60,2025-11-15T11:22:00.000Z,10
49,1,48,2025-11-15T11:23:00.000Z,13
49,1,41,2025-11-15T11:24:00.000Z,15
50,1,70,2025-11-15T11:25:00.000Z,7
50,1,60,2025-11-15T11:26:00.000Z,10
50,1,73,2025-11-15T11:27:00.000Z,7
50,1,49,2025-11-15T11:28:00.000Z,13
50,1,84,2025-11-15T11:29:00.000Z,4
50,1,86,2025-11-15T11:30:00.000Z,3
