active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
18,7.567011707354012e-40,"generic",,0,0,997,,,2025-11-25T21:37:00.000Z,,
234,9.559658123623902e-39,"walking",,9.020158214858847e-42,7.387617477951149e-43,997,,,2025-11-25T21:37:00.000Z,,
,,,,,,,,,2025-11-25T21:37:00.000Z,,
,,,,,,,98,,2025-11-25T21:38:00.000Z,54712,
,,,,,,,105,,2025-11-25T21:39:00.000Z,54772,
241,9.699787970056384e-39,,70,9.237359476829194e-42,,,,,2025-11-25T21:39:00.000Z,54772,
,,,,,,,112,,2025-11-25T21:40:00.000Z,54832,
,,,,,,,110,,2025-11-25T21:41:00.000Z,54892,
22,9.248569864543793e-40,,160,0,,,,,2025-11-25T21:41:00.000Z,54892,
,,,,,,,96,,2025-11-25T21:42:00.000Z,54952,
,,,104,,,,,,2025-11-25T21:42:00.000Z,,
,,,,,,,93,,2025-11-25T21:43:00.000Z,55012,
,,,8,,,,,,2025-11-25T21:43:00.000Z,,
,,,,,,,86,,2025-11-25T21:44:00.000Z,55072,
,,,,,,,88,,2025-11-25T21:45:00.000Z,55132,
243,9.867943785775362e-39,,70,9.34105556318923e-42,,,,,2025-11-25T21:45:00.000Z,55132,
,,,,,,,99,,2025-11-25T21:46:00.000Z,55192,
,,,,,,,86,,2025-11-25T21:47:00.000Z,55252,
,,,104,,,,,,2025-11-25T21:47:00.000Z,,
,,,,,,,81,,2025-11-25T21:48:00.000Z,55312,
,,,,,,,83,,2025-11-25T21:49:00.000Z,55372,
244,1.003609960149434e-38,,70,9.370482830940052e-42,,,,,2025-11-25T21:49:00.000Z,55372,
,,,,,,,91,,2025-11-25T21:50:00.000Z,55432,
,,,,,,,81,,2025-11-25T21:51:00.000Z,55492,
,,,72,,,,,,2025-11-25T21:51:00.000Z,,
,,,,,,,80,,2025-11-25T21:52:00.000Z,55552,
,,,,,,,84,,2025-11-25T21:53:00.000Z,55612,
,,,,,,,88,,2025-11-25T21:54:00.000Z,55672,
,,,8,,,,,,2025-11-25T21:54:00.000Z,,
,,,,,,,89,,2025-11-25T21:56:00.000Z,55792,
,,,136,,,,,,2025-11-25T21:56:00.000Z,,
,,,,,,,98,,2025-11-25T21:57:00.000Z,55852,
,,,,,,,115,,2025-11-25T21:58:00.000Z,55912,
,,,,,,,122,,2025-11-25T21:59:00.000Z,55972,
258,1.0288333325072807e-38,,70,9.750234714772077e-42,,,,,2025-11-25T21:59:00.000Z,55972,
,,,,,,,138,,2025-11-25T22:00:00.000Z,56032,
262,1.0372411232932296e-38,,70,9.776859385594249e-42,,,,,2025-11-25T22:00:00.000Z,56032,
,,,,,,,126,,2025-11-25T22:01:00.000Z,56092,
,,,,,,,114,,2025-11-25T22:02:00.000Z,56152,
,,,,,,,101,,2025-11-25T22:03:00.000Z,56212,
,,,,,,,109,,2025-11-25T22:04:00.000Z,56272,
,,,,,,,112,,2025-11-25T22:05:00.000Z,56332,
274,1.0792800772229741e-38,,102,1.0110368420103555e-41,,,,,2025-11-25T22:05:00.000Z,56332,
23,1.0089348943138683e-39,,96,0,,,,,2025-11-25T22:06:00.000Z,56392,
,,,,,,,103,,2025-11-25T22:07:00.000Z,56452,
,,,,,,,90,,2025-11-25T22:08:00.000Z,56512,
,,,,,,,84,,2025-11-25T22:09:00.000Z,56572,
,,,72,,,,,,2025-11-25T22:10:00.000Z,,
,,,,,,,82,,2025-11-25T22:11:00.000Z,56692,
,,,8,,,,,,2025-11-25T22:11:00.000Z,,
,,,,,,,87,,2025-11-25T22:12:00.000Z,56752,
,,,,,,,91,,2025-11-25T22:13:00.000Z,56812,
,,,104,,,,,,2025-11-25T22:13:00.000Z,,
,,,,,,,102,,2025-11-25T22:14:00.000Z,56872,
,,,,,,,103,,2025-11-25T22:15:00.000Z,56932,
26,1.1770907100328463e-39,,64,0,,,,,2025-11-25T22:15:00.000Z,56932,
,,,,,,,102,,2025-11-25T22:16:00.000Z,56992,
28,1.2611686178923354e-39,,0,0,,,,,2025-11-25T22:16:00.000Z,56992,
,,,,,,,101,,2025-11-25T22:17:00.000Z,57052,
,,,,,,,99,,2025-11-25T22:18:00.000Z,57112,
,,,,,,,98,,2025-11-25T22:19:00.000Z,57172,
,,,,,,,99,,2025-11-25T22:20:00.000Z,57232,
,,,,,,,101,,2025-11-25T22:21:00.000Z,57292,
,,,,,,,92,,2025-11-25T22:22:00.000Z,57352,
,,,104,,,,,,2025-11-25T22:22:00.000Z,,
,,,,,,,90,,2025-11-25T22:23:00.000Z,57412,
,,,8,,,,,,2025-11-25T22:23:00.000Z,,
,,,,,,,84,,2025-11-25T22:24:00.000Z,57472,
275,1.087687868008923e-38,,102,1.0124381404746803e-41,,,,,2025-11-25T22:24:00.000Z,57472,
,,,,,,,88,,2025-11-25T22:25:00.000Z,57532,
,,,,,,,91,,2025-11-25T22:26:00.000Z,57592,
,,,,,,,87,,2025-11-25T22:27:00.000Z,57652,
,,,,,,,85,,2025-11-25T22:28:00.000Z,57712,
,,,,,,,83,,2025-11-25T22:29:00.000Z,57772,
,,,,,,,84,,2025-11-25T22:30:00.000Z,57832,
,,,,,,,82,,2025-11-25T22:33:00.000Z,58012,
,,,,,,,84,,2025-11-25T22:34:00.000Z,58072,
,,,104,,,,,,2025-11-25T22:34:00.000Z,,
,,,8,,,,,,2025-11-25T22:35:00.000Z,,
,,,,,,,90,,2025-11-25T22:37:00.000Z,58252,
,,,,,,,81,,2025-11-25T22:38:00.000Z,58312,
,,,136,,,,,,2025-11-25T22:38:00.000Z,,
,,,8,,,,,,2025-11-25T22:39:00.000Z,,
,,,,,,,84,,2025-11-25T22:40:00.000Z,58432,
,,,136,,,,,,2025-11-25T22:40:00.000Z,,
,,,,,,,82,,2025-11-25T22:41:00.000Z,58492,
275,1.0960956587948719e-38,,102,1.0153808672497624e-41,,,,,2025-11-25T22:41:00.000Z,58492,
,,,,,,,83,,2025-11-25T22:42:00.000Z,58552,
,,,8,,,,,,2025-11-25T22:42:00.000Z,,
,,,,,,,78,,2025-11-25T22:43:00.000Z,58612,
,,,,,,,86,,2025-11-25T22:45:00.000Z,58732,
,,,,,,,95,,2025-11-25T22:46:00.000Z,58792,
,,,168,,,,,,2025-11-25T22:46:00.000Z,,
,,,,,,,104,,2025-11-25T22:47:00.000Z,58852,
,,,,,,,102,,2025-11-25T22:48:00.000Z,58912,
,,,,,,,97,,2025-11-25T22:49:00.000Z,58972,
279,1.1213190311527186e-38,,134,1.0310754100502004e-41,,,,,2025-11-25T22:49:00.000Z,58972,
,,,,,,,89,,2025-11-25T22:50:00.000Z,59032,
,,,,,,,97,,2025-11-25T22:51:00.000Z,59092,
,,,136,,,,,,2025-11-25T22:51:00.000Z,,
,,,,,,,95,,2025-11-25T22:52:00.000Z,59152,
279,1.1297268219386675e-38,,134,1.0358398248289048e-41,,,,,2025-11-25T22:52:00.000Z,59152,
,,,,,,,80,,2025-11-25T22:53:00.000Z,59212,
,,,8,,,,,,2025-11-25T22:53:00.000Z,,
