Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T15:59:00.000Z,,,0,0.145
2025-11-18T15:59:00.000Z,googleapis.com,Google,13.291,12.3
2025-11-18T15:58:00.000Z,googleapis.com,Google,0.04,0.128
2025-11-18T15:57:00.000Z,,,0,0.133
2025-11-18T15:57:00.000Z,googleapis.com,Google,24.474,22.312
2025-11-18T15:56:00.000Z,,,0,0.132
2025-11-18T15:56:00.000Z,googleapis.com,Google,89.966,51.394
2025-11-18T15:55:00.000Z,,,0,0.065
2025-11-18T15:55:00.000Z,whatsapp.com,Facebook,0.128,0.104
2025-11-18T15:55:00.000Z,googleapis.com,Google,5.775,7.665
2025-11-18T15:55:00.000Z,whatsapp.net,Facebook,0.845,0.821
2025-11-18T15:54:00.000Z,,,0,0.257
