Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T02:59:00.000Z,,,0,0.065
2025-11-18T02:59:00.000Z,googleapis.com,Google,2.857,33.843
2025-11-18T02:59:00.000Z,youtube.com,Google,0.452,5.302
2025-11-18T02:58:00.000Z,,,0,0.212
2025-11-18T02:58:00.000Z,googleapis.com,Google,4.908,11.815
2025-11-18T02:58:00.000Z,googlevideo.com,Google,36.584,44.848
2025-11-18T02:58:00.000Z,youtube.com,Google,29.331,11.974
2025-11-18T02:57:00.000Z,,,0,0.065
2025-11-18T02:57:00.000Z,youtube.com,Google,0.525,4.446
2025-11-18T02:57:00.000Z,googleapis.com,Google,4.236,29.258
2025-11-18T02:57:00.000Z,googlevideo.com,Google,6432.426,30.755
2025-11-18T02:57:00.000Z,ytimg.com,Google,60.369,2.286
