Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T20:58:00.000Z,,,0,0.068
2025-11-18T20:58:00.000Z,googleapis.com,Google,6.021,5.802
2025-11-18T20:57:00.000Z,,,0,0.174
2025-11-18T20:57:00.000Z,googleapis.com,Google,18.618,20.411
2025-11-18T20:56:00.000Z,,,0,0.236
2025-11-18T20:56:00.000Z,googleapis.com,Google,91.18,14.263
2025-11-18T20:56:00.000Z,garmin.com,Garmin International,0.388,0.488
2025-11-18T20:55:00.000Z,garmin.com,Garmin International,0.468,1.08
2025-11-18T20:55:00.000Z,googleapis.com,Google,0.404,0.18
2025-11-18T20:55:00.000Z,googleusercontent.com,Google,0.285,0.156
2025-11-18T20:54:00.000Z,googleapis.com,Google,0.052,0.052
2025-11-18T20:54:00.000Z,google.com,Google,0,0.104
