Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T03:59:00.000Z,,,0,0.213
2025-11-18T03:59:00.000Z,googleapis.com,Google,2.581,3.095
2025-11-18T03:58:00.000Z,google.com,Google,1.583,1.807
2025-11-18T03:58:00.000Z,gstatic.com,Google,3.238,1.704
2025-11-18T03:58:00.000Z,linkedin.com,Microsoft,20.582,14.27
2025-11-18T03:58:00.000Z,whatsapp.net,Facebook,2.771,1.477
2025-11-18T03:58:00.000Z,,,0.094,0.834
2025-11-18T03:58:00.000Z,googleapis.com,Google,1734.853,88.561
2025-11-18T03:57:00.000Z,,,0,0.141
2025-11-18T03:57:00.000Z,google.com,Google,16.884,6.713
2025-11-18T03:57:00.000Z,googleapis.com,Google,6.237,5.345
2025-11-18T03:56:00.000Z,google.com,Google,0,0.052
