Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T00:59:00.000Z,,,0,0.06
2025-11-18T00:59:00.000Z,garmin.com,Garmin International,6.453,1.525
2025-11-18T00:47:00.000Z,google.com,Google,0.52,0.143
2025-11-18T00:38:00.000Z,googleapis.com,Google,0,0.052
2025-11-18T00:37:00.000Z,,,0.04,0.064
2025-11-18T00:36:00.000Z,,,0.04,3.91
2025-11-18T00:36:00.000Z,garmin.com,Garmin International,0,0.276
2025-11-18T00:36:00.000Z,google.com,Google,50.363,18.718
2025-11-18T00:36:00.000Z,googleapis.com,Google,107.69,62.445
2025-11-18T00:36:00.000Z,googleusercontent.com,Google,0,0.052
2025-11-18T00:35:00.000Z,garmin.com,Garmin International,0.377,0
2025-11-18T00:32:00.000Z,garmin.com,Garmin International,0.104,0.232
