Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T04:59:00.000Z,,,0,0.068
2025-11-18T04:59:00.000Z,googleapis.com,Google,5.415,4.824
2025-11-18T04:57:00.000Z,googleapis.com,Google,0.967,0.63
2025-11-18T04:56:00.000Z,,,0,0.069
2025-11-18T04:56:00.000Z,googleapis.com,Google,6.889,12.553
2025-11-18T04:55:00.000Z,,,0,0.54
2025-11-18T04:55:00.000Z,googleapis.com,Google,65.835,55.612
2025-11-18T04:55:00.000Z,linkedin.com,Microsoft,20.536,13.964
2025-11-18T04:53:00.000Z,google.com,Google,0.128,0.134
2025-11-18T04:51:00.000Z,googleapis.com,Google,0.285,0.156
2025-11-18T04:50:00.000Z,,,0,0.059
2025-11-18T04:50:00.000Z,youtube.com,Google,4.44,5.328
