Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T13:59:00.000Z,,,0,0.061
2025-11-18T13:57:00.000Z,,,0,0.132
2025-11-18T13:57:00.000Z,googleapis.com,Google,93.317,55.046
2025-11-18T13:52:00.000Z,,,0,0.132
2025-11-18T13:52:00.000Z,googleapis.com,Google,90.122,54.489
2025-11-18T13:51:00.000Z,google.com,Google,0.618,0.49
2025-11-18T13:50:00.000Z,,,0,0.2
2025-11-18T13:50:00.000Z,googleapis.com,Google,0.04,0.091
2025-11-18T13:50:00.000Z,google.com,Google,16.812,1.246
2025-11-18T13:48:00.000Z,googleapis.com,Google,0.92,0.567
2025-11-18T13:45:00.000Z,googleapis.com,Google,0.337,0.168
2025-11-18T13:44:00.000Z,google.com,Google,0.903,0.143
