Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T07:57:00.000Z,youtube.com,Google,4.393,5.37
2025-11-18T07:57:00.000Z,,,0,0.196
2025-11-18T07:57:00.000Z,googleapis.com,Google,13.024,18.222
2025-11-18T07:56:00.000Z,youtube.com,Google,0.275,3.138
2025-11-18T07:56:00.000Z,googleapis.com,Google,1.01,3.223
2025-11-18T07:55:00.000Z,,,0.084,0.187
2025-11-18T07:55:00.000Z,googleapis.com,Google,8.421,15.594
2025-11-18T07:55:00.000Z,youtube.com,Google,5.715,6.79
2025-11-18T07:54:00.000Z,,,0,0.08
2025-11-18T07:54:00.000Z,googleapis.com,Google,7.597,8.497
2025-11-18T07:53:00.000Z,googleapis.com,Google,21.427,7.755
2025-11-18T07:52:00.000Z,googleapis.com,Google,2.194,3.286
