Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T19:59:00.000Z,garmin.com,Garmin International,329.435,81.621
2025-11-18T19:59:00.000Z,google.com,Google,8.32,9.822
2025-11-18T19:59:00.000Z,googleusercontent.com,Google,7.742,2.091
2025-11-18T19:59:00.000Z,awswaf.com,Amazon.com,2.169,5.268
2025-11-18T19:59:00.000Z,instacart.com,Instacart,3.544,4.597
2025-11-18T19:59:00.000Z,sentry.io,Functional Software,3.53,2.882
2025-11-18T19:59:00.000Z,,,0,1.536
2025-11-18T19:59:00.000Z,googleapis.com,Google,329.742,79.518
2025-11-18T19:59:00.000Z,facebook.com,Facebook,1.865,1.922
2025-11-18T19:59:00.000Z,uber.com,Uber,11.574,42.613
2025-11-18T19:58:00.000Z,googleapis.com,Google,1.598,0.856
2025-11-18T19:58:00.000Z,,,0,0.094
