Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T12:53:00.000Z,,,0,0.132
2025-11-18T12:53:00.000Z,googleapis.com,Google,89.751,54.576
2025-11-18T12:53:00.000Z,google.com,Google,0.432,0.081
2025-11-18T12:42:00.000Z,garmin.com,Garmin International,0.504,0.696
2025-11-18T12:41:00.000Z,garmin.com,Garmin International,1.152,1.672
2025-11-18T12:41:00.000Z,googleapis.com,Google,0.04,0.18
2025-11-18T12:40:00.000Z,googleapis.com,Google,0.104,0.064
2025-11-18T12:39:00.000Z,google.com,Google,0.584,0.13
2025-11-18T12:37:00.000Z,,,0,0.06
2025-11-18T12:37:00.000Z,garmin.com,Garmin International,99.457,5.439
2025-11-18T12:37:00.000Z,whatsapp.net,Facebook,2.055,2.393
2025-11-18T12:36:00.000Z,crashlytics.com,Google,6.698,1.356
