Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T05:59:00.000Z,google.com,Google,0.128,0.134
2025-11-18T05:57:00.000Z,,,0,0.068
2025-11-18T05:57:00.000Z,googleapis.com,Google,5.169,4.71
2025-11-18T05:56:00.000Z,gstatic.com,Google,1.546,0.736
2025-11-18T05:56:00.000Z,,,0,0.161
2025-11-18T05:56:00.000Z,googleapis.com,Google,13.538,18.748
2025-11-18T05:55:00.000Z,,,0,0.396
2025-11-18T05:55:00.000Z,googleapis.com,Google,69.966,51.951
2025-11-18T05:53:00.000Z,,,0,0.061
2025-11-18T05:53:00.000Z,google.com,Google,0,0.156
2025-11-18T05:53:00.000Z,googleapis.com,Google,0,0.156
2025-11-18T05:52:00.000Z,,,0,0.791
