Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T14:59:00.000Z,actiondash.com,,27.537,10.311
2025-11-18T14:59:00.000Z,googleusercontent.com,Google,21.033,3.829
2025-11-18T14:59:00.000Z,,,0,1.491
2025-11-18T14:59:00.000Z,google.com,Google,183.163,29.474
2025-11-18T14:59:00.000Z,googleapis.com,Google,379.187,92.47
2025-11-18T14:59:00.000Z,gstatic.com,Google,11.01,3.384
2025-11-18T14:50:00.000Z,,,0,0.132
2025-11-18T14:50:00.000Z,googleapis.com,Google,91.312,54.716
2025-11-18T14:47:00.000Z,google.com,Google,1.752,0.143
2025-11-18T14:46:00.000Z,google.com,Google,1.7,0
2025-11-18T14:43:00.000Z,google.com,Google,0.83,0.052
2025-11-18T14:42:00.000Z,google.com,Google,0.354,0.168
