Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T22:59:00.000Z,,,0,0.068
2025-11-18T22:59:00.000Z,googleapis.com,Google,4.708,4.464
2025-11-18T22:58:00.000Z,,,0,0.067
2025-11-18T22:58:00.000Z,garmin.com,Garmin International,8.609,2.698
2025-11-18T22:54:00.000Z,,,0,0.517
2025-11-18T22:54:00.000Z,googleapis.com,Google,93.616,71.391
2025-11-18T22:54:00.000Z,google.com,Google,21.988,7.677
2025-11-18T22:51:00.000Z,,,0,0.069
2025-11-18T22:51:00.000Z,googleapis.com,Google,6.793,11.964
2025-11-18T22:48:00.000Z,google.com,Google,0.128,0.136
2025-11-18T22:46:00.000Z,googleapis.com,Google,0.212,0.116
2025-11-18T22:45:00.000Z,googleapis.com,Google,0.25,0.064
