Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T09:59:00.000Z,,,0.197,0.24
2025-11-18T09:59:00.000Z,googleapis.com,Google,16.086,9.061
2025-11-18T09:59:00.000Z,googlevideo.com,Google,0.052,0.052
2025-11-18T09:59:00.000Z,youtube.com,Google,11.025,37.539
2025-11-18T09:58:00.000Z,,,0.131,0.227
2025-11-18T09:58:00.000Z,googleapis.com,Google,18.055,19.996
2025-11-18T09:58:00.000Z,googlevideo.com,Google,15.018,9.181
2025-11-18T09:57:00.000Z,,,0,0.059
2025-11-18T09:57:00.000Z,youtube.com,Google,5.701,6.548
2025-11-18T09:57:00.000Z,googleapis.com,Google,1.373,2.002
2025-11-18T09:56:00.000Z,googleapis.com,Google,1.491,1.9
2025-11-18T09:55:00.000Z,,,0,0.08
