Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T16:59:00.000Z,,,0,0.214
2025-11-18T16:59:00.000Z,whatsapp.net,Facebook,3.496,3.874
2025-11-18T16:59:00.000Z,googleapis.com,Google,20.242,25.192
2025-11-18T16:58:00.000Z,googleapis.com,Google,0.75,0
2025-11-18T16:57:00.000Z,googleusercontent.com,Google,83.288,8.97
2025-11-18T16:57:00.000Z,google.com,Google,54.903,14.841
2025-11-18T16:57:00.000Z,,,0,0.339
2025-11-18T16:57:00.000Z,googleapis.com,Google,14.862,7.97
2025-11-18T16:56:00.000Z,,,0,0.322
2025-11-18T16:56:00.000Z,garmin.com,Garmin International,138.347,64.557
2025-11-18T16:56:00.000Z,googleapis.com,Google,14.57,3.863
2025-11-18T16:55:00.000Z,,,0,0.61
