Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T01:59:00.000Z,youtube.com,Google,5.73,6.794
2025-11-18T01:59:00.000Z,,,0.215,0.276
2025-11-18T01:59:00.000Z,googleapis.com,Google,17.279,9.889
2025-11-18T01:59:00.000Z,googlevideo.com,Google,6502.081,53.577
2025-11-18T01:58:00.000Z,googleapis.com,Google,5.715,5.101
2025-11-18T01:57:00.000Z,googleapis.com,Google,5.856,5.18
2025-11-18T01:56:00.000Z,googleapis.com,Google,5.773,5.21
2025-11-18T01:55:00.000Z,googleapis.com,Google,6.372,6.768
2025-11-18T01:54:00.000Z,,,0.178,0.256
2025-11-18T01:54:00.000Z,googleapis.com,Google,9.108,14.12
2025-11-18T01:54:00.000Z,youtube.com,Google,5.872,8.333
2025-11-18T01:50:00.000Z,google.com,Google,0.413,0.052
