Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T06:56:00.000Z,,,0,0.137
2025-11-18T06:56:00.000Z,googleapis.com,Google,12.414,16.934
2025-11-18T06:55:00.000Z,,,0,0.069
2025-11-18T06:55:00.000Z,googleapis.com,Google,7.338,25.814
2025-11-18T06:53:00.000Z,google.com,Google,0,0.052
2025-11-18T06:52:00.000Z,,,0,0.136
2025-11-18T06:52:00.000Z,google.com,Google,20.07,6.782
2025-11-18T06:51:00.000Z,googleapis.com,Google,0.04,0.18
2025-11-18T06:49:00.000Z,googleapis.com,Google,0.364,0.052
2025-11-18T06:47:00.000Z,,,0,0.08
2025-11-18T06:47:00.000Z,googleapis.com,Google,3.614,2.582
2025-11-18T06:46:00.000Z,google.com,Google,0,0.052
