Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T18:59:00.000Z,,,0,0.263
2025-11-18T18:59:00.000Z,google.com,Google,9.323,8.237
2025-11-18T18:59:00.000Z,googleapis.com,Google,31.055,88.896
2025-11-18T18:57:00.000Z,,,0,0.273
2025-11-18T18:57:00.000Z,google.com,Google,18.195,6.343
2025-11-18T18:57:00.000Z,googleapis.com,Google,15.83,5.4
2025-11-18T18:56:00.000Z,,,0,0.083
2025-11-18T18:56:00.000Z,googleapis.com,Google,7.541,8.19
2025-11-18T18:55:00.000Z,,,0,0.073
2025-11-18T18:55:00.000Z,googleapis.com,Google,0.333,0.271
2025-11-18T18:54:00.000Z,whatsapp.net,Facebook,0.052,0.104
2025-11-18T18:53:00.000Z,,,0,0.06
