Time,Domain,Company,Download (kB),Upload (kB)
2025-11-18T13:59:00.000Z,netflix.com,Netflix,5.875,9.714
2025-11-18T13:58:00.000Z,nflxvideo.net,Netflix,0.464,0.312
2025-11-18T13:58:00.000Z,netflix.com,Netflix,2.367,3.614
2025-11-18T13:57:00.000Z,googleapis.com,Google,89.417,51.44
2025-11-18T13:57:00.000Z,nflxvideo.net,Netflix,3607.609,41.53
2025-11-18T13:57:00.000Z,,,0,0.194
2025-11-18T13:57:00.000Z,netflix.com,Netflix,2.308,4.174
2025-11-18T13:56:00.000Z,,,0,0.062
2025-11-18T13:56:00.000Z,netflix.com,Netflix,2.438,3.819
2025-11-18T13:56:00.000Z,nflxvideo.net,Netflix,6247.752,66.294
2025-11-18T13:55:00.000Z,nflxvideo.net,Netflix,3296.355,40.055
2025-11-18T13:55:00.000Z,netflix.com,Netflix,6.319,10.385
