data16,event,event_type,timestamp
200,,"marker",2025-11-28T05:00:00.000Z
21,,"marker",2025-11-28T05:15:00.000Z
2,,"marker",2025-11-28T05:17:00.000Z
1,,"marker",2025-11-28T05:18:00.000Z
12,,"marker",2025-11-28T05:30:00.000Z
1,,"marker",2025-11-28T05:31:00.000Z
4,,"marker",2025-11-28T05:35:00.000Z
1,,"marker",2025-11-28T05:36:00.000Z
2,,"marker",2025-11-28T05:38:00.000Z
1,,"marker",2025-11-28T05:39:00.000Z
2,,"marker",2025-11-28T05:41:00.000Z
1,,"marker",2025-11-28T05:42:00.000Z
5,,"marker",2025-11-28T05:47:00.000Z
1,,"marker",2025-11-28T05:48:00.000Z
1,,"marker",2025-11-28T05:49:00.000Z
1,,"marker",2025-11-28T05:50:00.000Z
1,,"marker",2025-11-28T05:53:00.000Z
10,,"marker",2025-11-28T06:00:00.000Z
0,,"marker",2025-11-28T06:00:00.000Z
2,,"marker",2025-11-28T06:02:00.000Z
2,,"marker",2025-11-28T06:04:00.000Z
3,,"marker",2025-11-28T06:07:00.000Z
4,,"marker",2025-11-28T06:11:00.000Z
1,,"marker",2025-11-28T06:12:00.000Z
2,,"marker",2025-11-28T06:14:00.000Z
2,,"marker",2025-11-28T06:16:00.000Z
7,,"marker",2025-11-28T06:23:00.000Z
1,,"marker",2025-11-28T06:24:00.000Z
1,,"marker",2025-11-28T06:25:00.000Z
1,,"marker",2025-11-28T06:26:00.000Z
3,,"marker",2025-11-28T06:29:00.000Z
4,,"marker",2025-11-28T06:33:00.000Z
1,,"marker",2025-11-28T06:34:00.000Z
2,,"marker",2025-11-28T06:36:00.000Z
2,,"marker",2025-11-28T06:38:00.000Z
1,,"marker",2025-11-28T06:39:00.000Z
22,,"marker",2025-11-28T07:01:00.000Z
1,,"marker",2025-11-28T07:02:00.000Z
9,,"marker",2025-11-28T07:11:00.000Z
2,,"marker",2025-11-28T07:13:00.000Z
