data16,event,event_type,timestamp
200,,"marker",2025-11-06T05:00:00.000Z
5,,"marker",2025-11-06T05:03:00.000Z
1,,"marker",2025-11-06T05:04:00.000Z
1,,"marker",2025-11-06T05:05:00.000Z
1,,"marker",2025-11-06T05:06:00.000Z
4,,"marker",2025-11-06T05:10:00.000Z
2,,"marker",2025-11-06T05:12:00.000Z
2,,"marker",2025-11-06T05:14:00.000Z
1,,"marker",2025-11-06T05:15:00.000Z
5,,"marker",2025-11-06T05:20:00.000Z
2,,"marker",2025-11-06T05:22:00.000Z
3,,"marker",2025-11-06T05:25:00.000Z
3,,"marker",2025-11-06T05:28:00.000Z
1,,"marker",2025-11-06T05:29:00.000Z
3,,"marker",2025-11-06T05:32:00.000Z
7,,"marker",2025-11-06T05:39:00.000Z
1,,"marker",2025-11-06T05:40:00.000Z
5,,"marker",2025-11-06T05:45:00.000Z
3,,"marker",2025-11-06T05:48:00.000Z
3,,"marker",2025-11-06T05:51:00.000Z
1,,"marker",2025-11-06T05:52:00.000Z
1,,"marker",2025-11-06T05:53:00.000Z
2,,"marker",2025-11-06T05:55:00.000Z
2,,"marker",2025-11-06T05:57:00.000Z
0,,"marker",2025-11-06T06:00:00.000Z
5,,"marker",2025-11-06T06:02:00.000Z
1,,"marker",2025-11-06T06:03:00.000Z
1,,"marker",2025-11-06T06:04:00.000Z
2,,"marker",2025-11-06T06:06:00.000Z
2,,"marker",2025-11-06T06:08:00.000Z
1,,"marker",2025-11-06T06:09:00.000Z
6,,"marker",2025-11-06T06:15:00.000Z
1,,"marker",2025-11-06T06:16:00.000Z
14,,"marker",2025-11-06T06:30:00.000Z
2,,"marker",2025-11-06T06:32:00.000Z
6,,"marker",2025-11-06T06:38:00.000Z
6,,"marker",2025-11-06T06:44:00.000Z
3,,"marker",2025-11-06T06:47:00.000Z
10,,"marker",2025-11-06T06:57:00.000Z
1,,"marker",2025-11-06T06:58:00.000Z
7,,"marker",2025-11-06T07:05:00.000Z
1,,"marker",2025-11-06T07:06:00.000Z
4,,"marker",2025-11-06T07:10:00.000Z
