body_battery,field_four,field_two,stress_level_time,stress_level_value
80,1,41,2025-11-29T16:56:00.000Z,15
80,1,35,2025-11-29T16:57:00.000Z,16
80,1,250,2025-11-29T16:58:00.000Z,30
80,1,255,2025-11-29T16:59:00.000Z,26
80,1,14,2025-11-29T17:00:00.000Z,21
80,1,16,2025-11-29T17:01:00.000Z,21
80,1,20,2025-11-29T17:02:00.000Z,20
80,1,23,2025-11-29T17:03:00.000Z,19
80,1,10,2025-11-29T17:04:00.000Z,22
80,1,43,2025-11-29T17:05:00.000Z,14
80,1,51,2025-11-29T17:06:00.000Z,12
80,1,21,2025-11-29T17:07:00.000Z,20
80,1,7,2025-11-29T17:08:00.000Z,23
80,1,1,2025-11-29T17:09:00.000Z,25
80,1,7,2025-11-29T17:10:00.000Z,23
80,1,29,2025-11-29T17:11:00.000Z,18
80,1,18,2025-11-29T17:12:00.000Z,20
80,1,254,2025-11-29T17:13:00.000Z,27
80,1,102,2025-11-29T17:14:00.000Z,65534
80,1,250,2025-11-29T17:15:00.000Z,30
80,1,12,2025-11-29T17:16:00.000Z,22
80,1,1,2025-11-29T17:17:00.000Z,25
80,1,15,2025-11-29T17:18:00.000Z,21
80,1,19,2025-11-29T17:19:00.000Z,20
80,1,247,2025-11-29T17:20:00.000Z,32
80,1,254,2025-11-29T17:21:00.000Z,27
80,1,247,2025-11-29T17:22:00.000Z,32
80,1,253,2025-11-29T17:23:00.000Z,27
80,1,255,2025-11-29T17:24:00.000Z,26
80,1,254,2025-11-29T17:25:00.000Z,27
80,1,24,2025-11-29T17:26:00.000Z,19
80,1,228,2025-11-29T17:27:00.000Z,46
80,1,248,2025-11-29T17:28:00.000Z,31
80,1,244,2025-11-29T17:29:00.000Z,34
80,1,241,2025-11-29T17:30:00.000Z,36
78,1,5,2025-11-29T17:31:00.000Z,24
78,1,30,2025-11-29T17:32:00.000Z,17
78,1,19,2025-11-29T17:33:00.000Z,20
78,1,249,2025-11-29T17:34:00.000Z,30
78,1,225,2025-11-29T17:35:00.000Z,48
78,1,201,2025-11-29T17:36:00.000Z,66
78,1,209,2025-11-29T17:37:00.000Z,60
78,1,201,2025-11-29T17:38:00.000Z,66
78,1,102,2025-11-29T17:39:00.000Z,65534
78,1,213,2025-11-29T17:40:00.000Z,57
78,1,201,2025-11-29T17:41:00.000Z,66
78,1,102,2025-11-29T17:42:00.000Z,65534
78,1,221,2025-11-29T17:43:00.000Z,51
78,1,79,2025-11-29T17:44:00.000Z,5
77,1,53,2025-11-29T17:45:00.000Z,12
77,1,76,2025-11-29T17:46:00.000Z,6
77,1,60,2025-11-29T17:47:00.000Z,10
77,1,38,2025-11-29T17:48:00.000Z,15
77,1,96,2025-11-29T17:49:00.000Z,1
77,1,71,2025-11-29T17:50:00.000Z,7
77,1,85,2025-11-29T17:51:00.000Z,4
77,1,82,2025-11-29T17:52:00.000Z,4
77,1,81,2025-11-29T17:53:00.000Z,5
77,1,86,2025-11-29T17:54:00.000Z,3
79,1,69,2025-11-29T17:55:00.000Z,8
79,1,84,2025-11-29T17:56:00.000Z,4
79,1,43,2025-11-29T17:57:00.000Z,14
79,1,81,2025-11-29T17:58:00.000Z,5
79,1,65,2025-11-29T17:59:00.000Z,9
79,1,72,2025-11-29T18:00:00.000Z,7
79,1,63,2025-11-29T18:01:00.000Z,9
79,1,76,2025-11-29T18:02:00.000Z,6
79,1,54,2025-11-29T18:03:00.000Z,11
79,1,27,2025-11-29T18:04:00.000Z,18
79,1,53,2025-11-29T18:05:00.000Z,12
79,1,43,2025-11-29T18:06:00.000Z,14
79,1,47,2025-11-29T18:07:00.000Z,13
79,1,74,2025-11-29T18:08:00.000Z,6
79,1,37,2025-11-29T18:09:00.000Z,16
79,1,72,2025-11-29T18:10:00.000Z,7
79,1,43,2025-11-29T18:11:00.000Z,14
79,1,29,2025-11-29T18:12:00.000Z,18
79,1,52,2025-11-29T18:13:00.000Z,12
79,1,76,2025-11-29T18:14:00.000Z,6
79,1,64,2025-11-29T18:15:00.000Z,9
79,1,56,2025-11-29T18:16:00.000Z,11
79,1,57,2025-11-29T18:17:00.000Z,11
79,1,69,2025-11-29T18:18:00.000Z,8
79,1,73,2025-11-29T18:19:00.000Z,7
79,1,33,2025-11-29T18:20:00.000Z,17
80,1,79,2025-11-29T18:21:00.000Z,5
80,1,45,2025-11-29T18:22:00.000Z,14
80,1,24,2025-11-29T18:23:00.000Z,19
80,1,32,2025-11-29T18:24:00.000Z,17
80,1,42,2025-11-29T18:25:00.000Z,14
80,1,11,2025-11-29T18:26:00.000Z,22
80,1,29,2025-11-29T18:27:00.000Z,18
80,1,57,2025-11-29T18:28:00.000Z,11
80,1,26,2025-11-29T18:29:00.000Z,18
80,1,21,2025-11-29T18:30:00.000Z,20
80,1,7,2025-11-29T18:31:00.000Z,23
