data16,event,event_type,timestamp
200,,"marker",2025-11-13T07:05:00.000Z
61,,"marker",2025-11-13T07:27:00.000Z
18,,"marker",2025-11-13T07:45:00.000Z
1,,"marker",2025-11-13T07:46:00.000Z
1,,"marker",2025-11-13T07:47:00.000Z
3,,"marker",2025-11-13T07:50:00.000Z
1,,"marker",2025-11-13T07:51:00.000Z
1,,"marker",2025-11-13T07:52:00.000Z
7,,"marker",2025-11-13T07:59:00.000Z
5,,"marker",2025-11-13T08:04:00.000Z
3,,"marker",2025-11-13T08:07:00.000Z
2,,"marker",2025-11-13T08:09:00.000Z
16,,"marker",2025-11-13T08:25:00.000Z
1,,"marker",2025-11-13T08:26:00.000Z
1,,"marker",2025-11-13T08:27:00.000Z
21,,"marker",2025-11-13T08:48:00.000Z
6,,"marker",2025-11-13T08:54:00.000Z
3,,"marker",2025-11-13T08:57:00.000Z
2,,"marker",2025-11-13T08:59:00.000Z
9,,"marker",2025-11-13T09:08:00.000Z
3,,"marker",2025-11-13T09:11:00.000Z
2,,"marker",2025-11-13T09:13:00.000Z
2,,"marker",2025-11-13T09:15:00.000Z
2,,"marker",2025-11-13T09:17:00.000Z
25,,"marker",2025-11-13T09:42:00.000Z
8,,"marker",2025-11-13T09:50:00.000Z
2,,"marker",2025-11-13T09:52:00.000Z
1,,"marker",2025-11-13T09:53:00.000Z
104,,"marker",2025-11-13T11:37:00.000Z
1,,"marker",2025-11-13T11:38:00.000Z
57,,"marker",2025-11-13T12:35:00.000Z
2,,"marker",2025-11-13T12:37:00.000Z
15,,"marker",2025-11-13T12:52:00.000Z
1,,"marker",2025-11-13T12:53:00.000Z
2,,"marker",2025-11-13T12:55:00.000Z
1,,"marker",2025-11-13T12:56:00.000Z
189,,"marker",2025-11-13T16:05:00.000Z
1,,"marker",2025-11-13T16:06:00.000Z
49,,"marker",2025-11-13T16:55:00.000Z
4,,"marker",2025-11-13T16:59:00.000Z
1,,"marker",2025-11-13T17:00:00.000Z
1,,"marker",2025-11-13T17:00:00.000Z
3,,"marker",2025-11-13T17:03:00.000Z
11,,"marker",2025-11-13T17:14:00.000Z
2,,"marker",2025-11-13T17:15:00.000Z
2,,"marker",2025-11-13T17:16:00.000Z
1,,"marker",2025-11-13T17:17:00.000Z
1,,"marker",2025-11-13T17:18:00.000Z
1,,"marker",2025-11-13T17:19:00.000Z
4,,"marker",2025-11-13T17:23:00.000Z
4,,"marker",2025-11-13T17:27:00.000Z
1,,"marker",2025-11-13T17:28:00.000Z
3,,"marker",2025-11-13T17:30:00.000Z
5,,"marker",2025-11-13T17:33:00.000Z
9,,"marker",2025-11-13T17:42:00.000Z
1,,"marker",2025-11-13T17:43:00.000Z
1,,"marker",2025-11-13T17:44:00.000Z
4,,"marker",2025-11-13T17:45:00.000Z
3,,"marker",2025-11-13T17:47:00.000Z
6,,"marker",2025-11-13T17:53:00.000Z
5,,"marker",2025-11-13T18:00:00.000Z
10,,"marker",2025-11-13T18:03:00.000Z
2,,"marker",2025-11-13T18:05:00.000Z
3,,"marker",2025-11-13T18:08:00.000Z
1,,"marker",2025-11-13T18:09:00.000Z
17,,"marker",2025-11-13T18:26:00.000Z
2,,"marker",2025-11-13T18:28:00.000Z
32,,"marker",2025-11-13T19:00:00.000Z
1,,"marker",2025-11-13T19:01:00.000Z
10,,"marker",2025-11-13T19:11:00.000Z
1,,"marker",2025-11-13T19:12:00.000Z
6,,"marker",2025-11-13T19:18:00.000Z
1,,"marker",2025-11-13T19:19:00.000Z
3,,"marker",2025-11-13T19:22:00.000Z
40,,"marker",2025-11-13T20:02:00.000Z
2,,"marker",2025-11-13T20:04:00.000Z
3,,"marker",2025-11-13T20:07:00.000Z
3,,"marker",2025-11-13T20:10:00.000Z
8,,"marker",2025-11-13T20:18:00.000Z
3,,"marker",2025-11-13T20:21:00.000Z
1,,"marker",2025-11-13T20:22:00.000Z
5,,"marker",2025-11-13T20:27:00.000Z
3,,"marker",2025-11-13T20:30:00.000Z
1,,"marker",2025-11-13T20:31:00.000Z
16,,"marker",2025-11-13T20:47:00.000Z
1,,"marker",2025-11-13T20:48:00.000Z
1,,"marker",2025-11-13T20:49:00.000Z
1,,"marker",2025-11-13T20:50:00.000Z
1,,"marker",2025-11-13T20:51:00.000Z
2,,"marker",2025-11-13T20:53:00.000Z
4,,"marker",2025-11-13T20:57:00.000Z
3,,"marker",2025-11-13T21:00:00.000Z
12,,"marker",2025-11-13T21:12:00.000Z
1,,"marker",2025-11-13T21:13:00.000Z
1,,"marker",2025-11-13T21:14:00.000Z
25,,"marker",2025-11-13T21:39:00.000Z
0,,"marker",2025-11-13T21:56:00.000Z
