active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
13,4.834479701920619e-40,"generic",,0,0,1026,,,2025-11-13T22:06:00.000Z,
130,6.373105415749268e-39,"walking",,4.337018747085309e-42,3.552053386324476e-43,1026,,,2025-11-13T22:06:00.000Z,
,,,,,,,,,2025-11-13T22:06:00.000Z,
,,,,,,,106,,2025-11-13T22:07:00.000Z,2692
14,5.675258780515509e-40,,96,0,,,,,2025-11-13T22:07:00.000Z,2692
,,,,,,,100,,2025-11-13T22:08:00.000Z,2752
,,,,,,,98,,2025-11-13T22:09:00.000Z,2812
,,,104,,,,,,2025-11-13T22:10:00.000Z,
,,,,,,,94,,2025-11-13T22:11:00.000Z,2932
,,,8,,,,,,2025-11-13T22:11:00.000Z,
,,,,,,,93,,2025-11-13T22:12:00.000Z,2992
,,,,,,,91,,2025-11-13T22:13:00.000Z,3052
,,,104,,,,,,2025-11-13T22:13:00.000Z,
,,,8,,,,,,2025-11-13T22:14:00.000Z,
,,,,,,,89,,2025-11-13T22:16:00.000Z,3232
,,,,,,,92,,2025-11-13T22:17:00.000Z,3292
,,,,,,,91,,2025-11-13T22:18:00.000Z,3352
,,,104,,,,,,2025-11-13T22:18:00.000Z,
,,,8,,,,,,2025-11-13T22:19:00.000Z,
,,,,,,,89,,2025-11-13T22:20:00.000Z,3472
,,,,,,,90,,2025-11-13T22:21:00.000Z,3532
,,,,,,,88,,2025-11-13T22:22:00.000Z,3592
,,,104,,,,,,2025-11-13T22:22:00.000Z,
,,,8,,,,,,2025-11-13T22:23:00.000Z,
,,,,,,,85,,2025-11-13T22:25:00.000Z,3772
,,,,,,,87,,2025-11-13T22:26:00.000Z,3832
,,,104,,,,,,2025-11-13T22:26:00.000Z,
,,,,,,,89,,2025-11-13T22:27:00.000Z,3892
,,,,,,,88,,2025-11-13T22:28:00.000Z,3952
,,,,,,,85,,2025-11-13T22:30:00.000Z,4072
,,,8,,,,,,2025-11-13T22:30:00.000Z,
,,,,,,,86,,2025-11-13T22:31:00.000Z,4132
,,,104,,,,,,2025-11-13T22:32:00.000Z,
,,,8,,,,,,2025-11-13T22:34:00.000Z,
,,,,,,,89,,2025-11-13T22:36:00.000Z,4432
,,,72,,,,,,2025-11-13T22:36:00.000Z,
,,,,,,,91,,2025-11-13T22:37:00.000Z,4492
,,,,,,,110,,2025-11-13T22:38:00.000Z,4552
,,,,,,,123,,2025-11-13T22:39:00.000Z,4612
,,,,,,,128,,2025-11-13T22:40:00.000Z,4672
,,,,,,,134,,2025-11-13T22:41:00.000Z,4732
,,,,,,,137,,2025-11-13T22:42:00.000Z,4792
,,,,,,,134,,2025-11-13T22:43:00.000Z,4852
,,,,,,,,4,2025-11-13T22:43:00.000Z,4852
,,,,,,,129,,2025-11-13T22:44:00.000Z,4912
,,,,,,,130,,2025-11-13T22:45:00.000Z,4972
167,7.129806586484669e-39,,70,5.432834146187316e-42,,,,,2025-11-13T22:45:00.000Z,4972
,,,,,,,117,,2025-11-13T22:46:00.000Z,5032
,,,,,,,111,,2025-11-13T22:47:00.000Z,5092
,,,,,,,,2,2025-11-13T22:47:00.000Z,5092
18,7.35681693770529e-40,,160,0,,,,,2025-11-13T22:47:00.000Z,5092
,,,,,,,99,,2025-11-13T22:48:00.000Z,5152
