body_battery,field_four,field_two,stress_level_time,stress_level_value
20,1,248,2025-11-14T02:08:00.000Z,31
20,1,251,2025-11-14T02:09:00.000Z,29
20,1,102,2025-11-14T02:10:00.000Z,65534
20,1,102,2025-11-14T02:11:00.000Z,65534
20,1,221,2025-11-14T02:12:00.000Z,51
20,1,218,2025-11-14T02:13:00.000Z,54
20,1,102,2025-11-14T02:14:00.000Z,65534
20,1,218,2025-11-14T02:15:00.000Z,54
20,1,217,2025-11-14T02:16:00.000Z,54
20,1,202,2025-11-14T02:17:00.000Z,66
20,1,211,2025-11-14T02:18:00.000Z,59
20,1,200,2025-11-14T02:19:00.000Z,67
20,1,221,2025-11-14T02:20:00.000Z,51
20,1,230,2025-11-14T02:21:00.000Z,45
19,1,102,2025-11-14T02:22:00.000Z,65534
19,1,193,2025-11-14T02:23:00.000Z,72
19,1,200,2025-11-14T02:24:00.000Z,67
19,1,199,2025-11-14T02:25:00.000Z,68
19,1,228,2025-11-14T02:26:00.000Z,46
19,1,102,2025-11-14T02:27:00.000Z,65534
19,1,102,2025-11-14T02:28:00.000Z,65534
19,1,201,2025-11-14T02:29:00.000Z,66
19,1,210,2025-11-14T02:30:00.000Z,60
19,1,194,2025-11-14T02:31:00.000Z,72
19,1,198,2025-11-14T02:32:00.000Z,69
19,1,197,2025-11-14T02:33:00.000Z,69
19,1,192,2025-11-14T02:34:00.000Z,73
19,1,211,2025-11-14T02:35:00.000Z,59
18,1,102,2025-11-14T02:36:00.000Z,65534
18,1,102,2025-11-14T02:37:00.000Z,65534
18,1,208,2025-11-14T02:38:00.000Z,61
18,1,199,2025-11-14T02:39:00.000Z,68
18,1,193,2025-11-14T02:40:00.000Z,72
18,1,192,2025-11-14T02:41:00.000Z,73
18,1,180,2025-11-14T02:42:00.000Z,82
18,1,190,2025-11-14T02:43:00.000Z,75
18,1,180,2025-11-14T02:44:00.000Z,82
18,1,184,2025-11-14T02:45:00.000Z,79
18,1,187,2025-11-14T02:46:00.000Z,77
18,1,180,2025-11-14T02:47:00.000Z,82
18,1,180,2025-11-14T02:48:00.000Z,82
18,1,199,2025-11-14T02:49:00.000Z,68
17,1,102,2025-11-14T02:50:00.000Z,65534
17,1,102,2025-11-14T02:51:00.000Z,65534
17,1,183,2025-11-14T02:52:00.000Z,80
17,1,102,2025-11-14T02:53:00.000Z,65534
17,1,215,2025-11-14T02:54:00.000Z,56
17,1,195,2025-11-14T02:55:00.000Z,71
17,1,180,2025-11-14T02:56:00.000Z,82
17,1,203,2025-11-14T02:57:00.000Z,65
17,1,246,2025-11-14T02:58:00.000Z,33
17,1,243,2025-11-14T02:59:00.000Z,35
17,1,252,2025-11-14T03:00:00.000Z,28
17,1,248,2025-11-14T03:01:00.000Z,31
17,1,244,2025-11-14T03:02:00.000Z,34
17,1,246,2025-11-14T03:03:00.000Z,33
16,1,235,2025-11-14T03:04:00.000Z,41
16,1,240,2025-11-14T03:05:00.000Z,37
16,1,251,2025-11-14T03:06:00.000Z,29
16,1,244,2025-11-14T03:07:00.000Z,34
16,1,234,2025-11-14T03:08:00.000Z,42
16,1,238,2025-11-14T03:09:00.000Z,39
16,1,237,2025-11-14T03:10:00.000Z,39
16,1,223,2025-11-14T03:11:00.000Z,50
16,1,216,2025-11-14T03:12:00.000Z,55
16,1,238,2025-11-14T03:13:00.000Z,39
16,1,102,2025-11-14T03:14:00.000Z,65534
16,1,208,2025-11-14T03:15:00.000Z,61
16,1,230,2025-11-14T03:16:00.000Z,45
16,1,252,2025-11-14T03:17:00.000Z,28
16,1,209,2025-11-14T03:18:00.000Z,60
16,1,225,2025-11-14T03:19:00.000Z,48
16,1,237,2025-11-14T03:20:00.000Z,39
16,1,233,2025-11-14T03:21:00.000Z,42
16,1,246,2025-11-14T03:22:00.000Z,33
16,1,237,2025-11-14T03:23:00.000Z,39
16,1,223,2025-11-14T03:24:00.000Z,50
16,1,227,2025-11-14T03:25:00.000Z,47
16,1,243,2025-11-14T03:26:00.000Z,35
16,1,217,2025-11-14T03:27:00.000Z,54
16,1,231,2025-11-14T03:28:00.000Z,44
16,1,1,2025-11-14T03:29:00.000Z,25
16,1,250,2025-11-14T03:30:00.000Z,30
16,1,238,2025-11-14T03:31:00.000Z,39
16,1,198,2025-11-14T03:32:00.000Z,69
15,1,200,2025-11-14T03:33:00.000Z,67
15,1,226,2025-11-14T03:34:00.000Z,48
15,1,253,2025-11-14T03:35:00.000Z,27
15,1,247,2025-11-14T03:36:00.000Z,32
15,1,223,2025-11-14T03:37:00.000Z,50
15,1,251,2025-11-14T03:38:00.000Z,29
15,1,1,2025-11-14T03:39:00.000Z,25
15,1,238,2025-11-14T03:40:00.000Z,39
15,1,102,2025-11-14T03:41:00.000Z,65534
15,1,102,2025-11-14T03:42:00.000Z,65534
15,1,216,2025-11-14T03:43:00.000Z,55
15,1,102,2025-11-14T03:44:00.000Z,65534
15,1,196,2025-11-14T03:45:00.000Z,70
15,1,173,2025-11-14T03:46:00.000Z,87
15,1,180,2025-11-14T03:47:00.000Z,82
14,1,183,2025-11-14T03:48:00.000Z,80
14,1,223,2025-11-14T03:49:00.000Z,50
14,1,191,2025-11-14T03:50:00.000Z,74
14,1,102,2025-11-14T03:51:00.000Z,65534
14,1,102,2025-11-14T03:52:00.000Z,65534
14,1,170,2025-11-14T03:53:00.000Z,90
14,1,174,2025-11-14T03:54:00.000Z,87
14,1,219,2025-11-14T03:55:00.000Z,53
14,1,174,2025-11-14T03:56:00.000Z,87
14,1,189,2025-11-14T03:57:00.000Z,75
14,1,215,2025-11-14T03:58:00.000Z,56
14,1,237,2025-11-14T03:59:00.000Z,39
14,1,210,2025-11-14T04:00:00.000Z,60
14,1,230,2025-11-14T04:01:00.000Z,45
14,1,249,2025-11-14T04:02:00.000Z,30
13,1,230,2025-11-14T04:03:00.000Z,45
13,1,228,2025-11-14T04:04:00.000Z,46
13,1,216,2025-11-14T04:05:00.000Z,55
13,1,197,2025-11-14T04:06:00.000Z,69
13,1,194,2025-11-14T04:07:00.000Z,72
13,1,201,2025-11-14T04:08:00.000Z,66
13,1,219,2025-11-14T04:09:00.000Z,53
13,1,225,2025-11-14T04:10:00.000Z,48
13,1,249,2025-11-14T04:11:00.000Z,30
13,1,232,2025-11-14T04:12:00.000Z,43
