active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
11,3.363116314379561e-40,"generic",,0,0,619,,2025-11-05T15:19:00.000Z,
31,1.2611686178923354e-39,"walking",,4.8064537326341226e-43,3.9365276459812764e-44,619,,2025-11-05T15:19:00.000Z,
,,,,,,,,2025-11-05T15:19:00.000Z,
,,,,,,,104,2025-11-05T15:20:00.000Z,7968
33,1.3452465257518244e-39,,70,5.114739394785582e-43,,,,2025-11-05T15:20:00.000Z,7968
,,,,,,,81,2025-11-05T15:21:00.000Z,8028
,,,,,,,78,2025-11-05T15:22:00.000Z,8088
,,,,,,,81,2025-11-05T15:23:00.000Z,8148
,,,,,,,88,2025-11-05T15:24:00.000Z,8208
,,,,,,,85,2025-11-05T15:25:00.000Z,8268
,,,,,,,88,2025-11-05T15:26:00.000Z,8328
,,,136,,,,,2025-11-05T15:26:00.000Z,
,,,,,,,96,2025-11-05T15:27:00.000Z,8388
36,1.4293244336113134e-39,,70,5.352960133720801e-43,,,,2025-11-05T15:27:00.000Z,8388
,,,,,,,98,2025-11-05T15:28:00.000Z,8448
,,,168,,,,,2025-11-05T15:28:00.000Z,
,,,,,,,99,2025-11-05T15:29:00.000Z,8508
38,1.5134023414708024e-39,,70,5.5351289340830274e-43,,,,2025-11-05T15:29:00.000Z,8508
,,,,,,,94,2025-11-05T15:30:00.000Z,8568
,,,200,,,,,2025-11-05T15:30:00.000Z,
,,,,,,,91,2025-11-05T15:31:00.000Z,8628
39,1.5974802493302915e-39,,38,5.689271765158757e-43,,,,2025-11-05T15:31:00.000Z,8628
,,,,,,,94,2025-11-05T15:32:00.000Z,8688
,,,136,,,,,2025-11-05T15:32:00.000Z,
,,,,,,,90,2025-11-05T15:33:00.000Z,8748
,,,,,,,98,2025-11-05T15:34:00.000Z,8808
,,,,,,,108,2025-11-05T15:35:00.000Z,8868
47,1.8497139729087585e-39,,102,6.656167705542881e-43,,,,2025-11-05T15:35:00.000Z,8868
,,,,,,,92,2025-11-05T15:36:00.000Z,8928
,,,72,,,,,2025-11-05T15:36:00.000Z,
,,,,,,,82,2025-11-05T15:37:00.000Z,8988
,,,,,,,89,2025-11-05T15:38:00.000Z,9048
49,2.0178697886277366e-39,,166,7.595037676640509e-43,,,,2025-11-05T15:38:00.000Z,9048
,,,,,,,90,2025-11-05T15:39:00.000Z,9108
,,,,,,,87,2025-11-05T15:40:00.000Z,9168
,,,,,,,88,2025-11-05T15:41:00.000Z,9228
,,,136,,,,,2025-11-05T15:41:00.000Z,
,,,,,,,87,2025-11-05T15:42:00.000Z,9288
1,8.407790785948902e-41,,161,3.2229864679470793e-44,,,,2025-11-05T15:42:00.000Z,9288
,,,,,,,91,2025-11-05T15:43:00.000Z,9348
,,,104,,,,,2025-11-05T15:43:00.000Z,
,,,,,,,80,2025-11-05T15:44:00.000Z,9408
,,,,,,,76,2025-11-05T15:45:00.000Z,9468
,,,8,,,,,2025-11-05T15:45:00.000Z,
,,,,,,,80,2025-11-05T15:46:00.000Z,9528
,,,104,,,,,2025-11-05T15:46:00.000Z,
,,,,,,,79,2025-11-05T15:47:00.000Z,9588
,,,8,,,,,2025-11-05T15:47:00.000Z,
,,,,,,,83,2025-11-05T15:48:00.000Z,9648
,,,104,,,,,2025-11-05T15:48:00.000Z,
50,2.1019476964872256e-39,,38,7.777206477002735e-43,,,,2025-11-05T15:49:00.000Z,9708
,,,,,,,75,2025-11-05T15:50:00.000Z,9768
,,,,,,,73,2025-11-05T15:51:00.000Z,9828
,,,104,,,,,2025-11-05T15:51:00.000Z,
,,,,,,,74,2025-11-05T15:52:00.000Z,9888
,,,,,,,77,2025-11-05T15:53:00.000Z,9948
,,,8,,,,,2025-11-05T15:53:00.000Z,
,,,136,,,,,2025-11-05T15:56:00.000Z,
,,,,,,,88,2025-11-05T15:57:00.000Z,10188
,,,,,,,100,2025-11-05T15:58:00.000Z,10248
55,2.2701035122062037e-39,,134,8.379764816662406e-43,,,,2025-11-05T15:58:00.000Z,10248
,,,,,,,104,2025-11-05T15:59:00.000Z,10308
13,4.203895392974451e-40,,192,0,,,,2025-11-05T15:59:00.000Z,10308
,,,,,,,101,2025-11-05T16:00:00.000Z,10368
,,,168,,,,,2025-11-05T16:00:00.000Z,
,,,,,,,88,2025-11-05T16:01:00.000Z,10428
57,2.3541814200656927e-39,,134,8.57594660166788e-43,,,,2025-11-05T16:01:00.000Z,10428
,,,,,,,91,2025-11-05T16:02:00.000Z,10488
,,,,,,,89,2025-11-05T16:03:00.000Z,10548
,,,168,,,,,2025-11-05T16:03:00.000Z,
,,,,,,,87,2025-11-05T16:04:00.000Z,10608
,,,,,,,88,2025-11-05T16:05:00.000Z,10668
57,2.5223372357846707e-39,,134,9.584881495981749e-43,,,,2025-11-05T16:05:00.000Z,10668
,,,,,,,87,2025-11-05T16:07:00.000Z,10788
,,,,,,,88,2025-11-05T16:08:00.000Z,10848
,,,,,,,89,2025-11-05T16:09:00.000Z,10908
,,,,,,,88,2025-11-05T16:11:00.000Z,11028
,,,136,,,,,2025-11-05T16:11:00.000Z,
,,,,,,,89,2025-11-05T16:12:00.000Z,11088
,,,,,,,95,2025-11-05T16:13:00.000Z,11148
60,2.6904930515036488e-39,,70,1.0075335958495435e-42,,,,2025-11-05T16:13:00.000Z,11148
,,,,,,,89,2025-11-05T16:14:00.000Z,11208
,,,,,,,86,2025-11-05T16:15:00.000Z,11268
,,,168,,,,,2025-11-05T16:15:00.000Z,
,,,,,,,88,2025-11-05T16:16:00.000Z,11328
62,2.7745709593631378e-39,,38,1.0285530728144157e-42,,,,2025-11-05T16:16:00.000Z,11328
,,,,,,,93,2025-11-05T16:17:00.000Z,11388
,,,,,,,92,2025-11-05T16:18:00.000Z,11448
,,,136,,,,,2025-11-05T16:18:00.000Z,
,,,,,,,93,2025-11-05T16:19:00.000Z,11508
,,,,,,,91,2025-11-05T16:20:00.000Z,11568
64,2.942726775082116e-39,,102,1.064986832886861e-42,,,,2025-11-05T16:20:00.000Z,11568
,,,,,,,93,2025-11-05T16:21:00.000Z,11628
,,,,,,,97,2025-11-05T16:22:00.000Z,11688
,,,,,,,89,2025-11-05T16:23:00.000Z,11748
,,,,,,,96,2025-11-05T16:24:00.000Z,11808
,,,136,,,,,2025-11-05T16:24:00.000Z,
,,,,,,,88,2025-11-05T16:25:00.000Z,11868
,,,,,,,91,2025-11-05T16:26:00.000Z,11928
,,,,,,,84,2025-11-05T16:27:00.000Z,11988
66,3.194960498660583e-39,,102,1.1168348760668792e-42,,,,2025-11-05T16:27:00.000Z,11988
,,,,,,,95,2025-11-05T16:28:00.000Z,12048
,,,200,,,,,2025-11-05T16:28:00.000Z,
,,,,,,,100,2025-11-05T16:29:00.000Z,12108
69,3.279038406520072e-39,,70,1.1392556514960763e-42,,,,2025-11-05T16:29:00.000Z,12108
,,,,,,,95,2025-11-05T16:30:00.000Z,12168
,,,,,,,86,2025-11-05T16:31:00.000Z,12228
,,,,,,,83,2025-11-05T16:32:00.000Z,12288
,,,,,,,81,2025-11-05T16:33:00.000Z,12348
,,,,,,,85,2025-11-05T16:34:00.000Z,12408
,,,,,,,84,2025-11-05T16:35:00.000Z,12468
,,,,,,,85,2025-11-05T16:36:00.000Z,12528
,,,,,,,82,2025-11-05T16:38:00.000Z,12648
,,,,,,,86,2025-11-05T16:39:00.000Z,12708
,,,,,,,88,2025-11-05T16:40:00.000Z,12768
,,,,,,,82,2025-11-05T16:41:00.000Z,12828
,,,,,,,84,2025-11-05T16:42:00.000Z,12888
,,,104,,,,,2025-11-05T16:42:00.000Z,
,,,,,,,98,2025-11-05T16:43:00.000Z,12948
,,,,,,,105,2025-11-05T16:44:00.000Z,13008
72,3.44719422223905e-39,,102,1.1854985008187952e-42,,,,2025-11-05T16:44:00.000Z,13008
,,,,,,,96,2025-11-05T16:45:00.000Z,13068
,,,,,,,79,2025-11-05T16:46:00.000Z,13128
,,,,,,,76,2025-11-05T16:47:00.000Z,13188
,,,,,,,79,2025-11-05T16:48:00.000Z,13248
,,,,,,,76,2025-11-05T16:49:00.000Z,13308
,,,,,,,77,2025-11-05T16:50:00.000Z,13368
,,,,,,,80,2025-11-05T16:52:00.000Z,13488
,,,104,,,,,2025-11-05T16:52:00.000Z,
,,,,,,,82,2025-11-05T16:53:00.000Z,13548
,,,,,,,80,2025-11-05T16:54:00.000Z,13608
,,,8,,,,,2025-11-05T16:54:00.000Z,
,,,,,,,81,2025-11-05T16:55:00.000Z,13668
,,,,,,,89,2025-11-05T16:56:00.000Z,13728
,,,,,,,85,2025-11-05T16:57:00.000Z,13788
,,,,,,,95,2025-11-05T16:58:00.000Z,13848
,,,168,,,,,2025-11-05T16:58:00.000Z,
,,,,,,,106,2025-11-05T16:59:00.000Z,13908
16,5.0446744715693415e-40,,160,0,,,,2025-11-05T16:59:00.000Z,13908
,,,,,,,102,2025-11-05T17:00:00.000Z,13968
,,,,,,,90,2025-11-05T17:01:00.000Z,14028
,,,,,,,92,2025-11-05T17:02:00.000Z,14088
,,,,,,,90,2025-11-05T17:03:00.000Z,14148
,,,,,,,93,2025-11-05T17:04:00.000Z,14208
,,,,,,,94,2025-11-05T17:05:00.000Z,14268
,,,104,,,,,2025-11-05T17:05:00.000Z,
,,,,,,,97,2025-11-05T17:06:00.000Z,14328
,,,,,,,99,2025-11-05T17:07:00.000Z,14388
,,,104,,,,,2025-11-05T17:07:00.000Z,
,,,,,,,105,2025-11-05T17:08:00.000Z,14448
19,5.885453550164232e-40,,0,0,,,,2025-11-05T17:08:00.000Z,14448
,,,,,,,101,2025-11-05T17:09:00.000Z,14508
,,,,,,,103,2025-11-05T17:10:00.000Z,14568
,,,,,,,102,2025-11-05T17:11:00.000Z,14628
,,,,,,,103,2025-11-05T17:12:00.000Z,14688
28,9.03837509489507e-40,,96,0,,,,2025-11-05T17:12:00.000Z,14688
,,,,,,,98,2025-11-05T17:13:00.000Z,14748
,,,8,,,,,2025-11-05T17:13:00.000Z,
,,,,,,,103,2025-11-05T17:14:00.000Z,14808
28,9.248569864543793e-40,,64,0,,,,2025-11-05T17:14:00.000Z,14808
,,,,,,,94,2025-11-05T17:15:00.000Z,14868
,,,104,,,,,2025-11-05T17:16:00.000Z,
,,,,,,,103,2025-11-05T17:17:00.000Z,14988
29,9.458764634192515e-40,,96,0,,,,2025-11-05T17:17:00.000Z,14988
,,,,,,,100,2025-11-05T17:18:00.000Z,15048
,,,,,,,97,2025-11-05T17:19:00.000Z,15108
,,,,,,,96,2025-11-05T17:20:00.000Z,15168
,,,,,,,97,2025-11-05T17:21:00.000Z,15228
,,,,,,,96,2025-11-05T17:22:00.000Z,15288
,,,,,,,92,2025-11-05T17:23:00.000Z,15348
,,,,,,,90,2025-11-05T17:24:00.000Z,15408
,,,,,,,87,2025-11-05T17:25:00.000Z,15468
,,,,,,,88,2025-11-05T17:26:00.000Z,15528
,,,,,,,92,2025-11-05T17:28:00.000Z,15648
,,,,,,,91,2025-11-05T17:29:00.000Z,15708
,,,,,,,90,2025-11-05T17:31:00.000Z,15828
,,,,,,,89,2025-11-05T17:33:00.000Z,15948
,,,,,,,96,2025-11-05T17:34:00.000Z,16008
,,,,,,,89,2025-11-05T17:35:00.000Z,16068
,,,104,,,,,2025-11-05T17:35:00.000Z,
,,,,,,,88,2025-11-05T17:36:00.000Z,16128
,,,,,,,91,2025-11-05T17:37:00.000Z,16188
,,,,,,,89,2025-11-05T17:38:00.000Z,16248
,,,8,,,,,2025-11-05T17:38:00.000Z,
,,,,,,,87,2025-11-05T17:39:00.000Z,16308
,,,72,,,,,2025-11-05T17:39:00.000Z,
,,,,,,,95,2025-11-05T17:40:00.000Z,16368
74,3.4892331761687945e-39,,70,1.2401491409274631e-42,,,,2025-11-05T17:40:00.000Z,16368
,,,,,,,107,2025-11-05T17:41:00.000Z,16428
31,1.0089348943138683e-39,,96,0,,,,2025-11-05T17:41:00.000Z,16428
,,,,,,,90,2025-11-05T17:42:00.000Z,16488
,,,104,,,,,2025-11-05T17:42:00.000Z,
,,,,,,,87,2025-11-05T17:43:00.000Z,16548
,,,8,,,,,2025-11-05T17:43:00.000Z,
,,,,,,,89,2025-11-05T17:45:00.000Z,16668
,,,,,,,97,2025-11-05T17:46:00.000Z,16728
,,,,,,,90,2025-11-05T17:47:00.000Z,16788
,,,,,,,88,2025-11-05T17:48:00.000Z,16848
,,,,,,,92,2025-11-05T17:49:00.000Z,16908
,,,,,,,89,2025-11-05T17:50:00.000Z,16968
,,,,,,,86,2025-11-05T17:51:00.000Z,17028
,,,,,,,87,2025-11-05T17:52:00.000Z,17088
,,,,,,,86,2025-11-05T17:53:00.000Z,17148
,,,136,,,,,2025-11-05T17:54:00.000Z,
,,,,,,,84,2025-11-05T17:55:00.000Z,17268
,,,,,,,88,2025-11-05T17:56:00.000Z,17328
,,,,,,,87,2025-11-05T17:57:00.000Z,17388
,,,,,,,91,2025-11-05T17:58:00.000Z,17448
,,,8,,,,,2025-11-05T17:58:00.000Z,
,,,,,,,89,2025-11-05T17:59:00.000Z,17508
,,,,,,,88,2025-11-05T18:00:00.000Z,17568
,,,,,,,89,2025-11-05T18:01:00.000Z,17628
,,,,,,,88,2025-11-05T18:02:00.000Z,17688
,,,,,,,89,2025-11-05T18:03:00.000Z,17748
,,,,,,,88,2025-11-05T18:04:00.000Z,17808
,,,104,,,,,2025-11-05T18:04:00.000Z,
,,,8,,,,,2025-11-05T18:05:00.000Z,
,,,,,,,87,2025-11-05T18:06:00.000Z,17928
,,,,,,,88,2025-11-05T18:07:00.000Z,17988
,,,8,,,,,2025-11-05T18:07:00.000Z,
,,,,,,,89,2025-11-05T18:08:00.000Z,18048
,,,72,,,,,2025-11-05T18:08:00.000Z,
,,,,,,,86,2025-11-05T18:09:00.000Z,18108
,,,8,,,,,2025-11-05T18:09:00.000Z,
,,,,,,,89,2025-11-05T18:11:00.000Z,18228
,,,,,,,86,2025-11-05T18:12:00.000Z,18288
,,,,,,,87,2025-11-05T18:13:00.000Z,18348
,,,,,,,89,2025-11-05T18:14:00.000Z,18408
,,,,,,,88,2025-11-05T18:15:00.000Z,18468
,,,,,,,87,2025-11-05T18:16:00.000Z,18528
,,,,,,,90,2025-11-05T18:17:00.000Z,18588
,,,,,,,85,2025-11-05T18:18:00.000Z,18648
,,,,,,,94,2025-11-05T18:19:00.000Z,18708
,,,104,,,,,2025-11-05T18:20:00.000Z,
,,,,,,,91,2025-11-05T18:21:00.000Z,18828
,,,,,,,103,2025-11-05T18:22:00.000Z,18888
,,,,,,,107,2025-11-05T18:23:00.000Z,18948
80,3.678408468852645e-39,,70,1.3732724950383207e-42,,,,2025-11-05T18:23:00.000Z,18948
,,,,,,,106,2025-11-05T18:24:00.000Z,19008
34,1.071993325208485e-39,,128,0,,,,2025-11-05T18:24:00.000Z,19008
,,,,,,,98,2025-11-05T18:25:00.000Z,19068
,,,8,,,,,2025-11-05T18:25:00.000Z,
,,,,,,,92,2025-11-05T18:26:00.000Z,19128
,,,,,,,93,2025-11-05T18:27:00.000Z,19188
,,,,,,,92,2025-11-05T18:28:00.000Z,19248
,,,,,,,88,2025-11-05T18:29:00.000Z,19308
,,,,,,,90,2025-11-05T18:31:00.000Z,19428
,,,,,,,89,2025-11-05T18:32:00.000Z,19488
,,,,,,,90,2025-11-05T18:35:00.000Z,19668
,,,,,,,86,2025-11-05T18:37:00.000Z,19788
,,,,,,,87,2025-11-05T18:38:00.000Z,19848
,,,,,,,88,2025-11-05T18:39:00.000Z,19908
,,,,,,,86,2025-11-05T18:40:00.000Z,19968
,,,,,,,87,2025-11-05T18:42:00.000Z,20088
,,,,,,,86,2025-11-05T18:44:00.000Z,20208
,,,,,,,85,2025-11-05T18:45:00.000Z,20268
,,,,,,,84,2025-11-05T18:46:00.000Z,20328
,,,,,,,85,2025-11-05T18:47:00.000Z,20388
,,,,,,,84,2025-11-05T18:48:00.000Z,20448
,,,,,,,88,2025-11-05T18:49:00.000Z,20508
,,,,,,,90,2025-11-05T18:50:00.000Z,20568
,,,,,,,92,2025-11-05T18:51:00.000Z,20628
,,,104,,,,,2025-11-05T18:51:00.000Z,
,,,,,,,88,2025-11-05T18:52:00.000Z,20688
,,,,,,,86,2025-11-05T18:53:00.000Z,20748
,,,8,,,,,2025-11-05T18:53:00.000Z,
,,,,,,,90,2025-11-05T18:54:00.000Z,20808
,,,,,,,89,2025-11-05T18:55:00.000Z,20868
,,,,,,,87,2025-11-05T18:56:00.000Z,20928
,,,,,,,85,2025-11-05T18:57:00.000Z,20988
,,,,,,,88,2025-11-05T18:58:00.000Z,21048
,,,,,,,83,2025-11-05T18:59:00.000Z,21108
,,,,,,,85,2025-11-05T19:00:00.000Z,21168
,,,,,,,88,2025-11-05T19:01:00.000Z,21228
,,,,,,,86,2025-11-05T19:02:00.000Z,21288
,,,,,,,84,2025-11-05T19:03:00.000Z,21348
,,,,,,,87,2025-11-05T19:04:00.000Z,21408
,,,104,,,,,2025-11-05T19:04:00.000Z,
,,,,,,,85,2025-11-05T19:05:00.000Z,21468
,,,8,,,,,2025-11-05T19:05:00.000Z,
,,,,,,,84,2025-11-05T19:06:00.000Z,21528
,,,,,,,85,2025-11-05T19:07:00.000Z,21588
,,,,,,,83,2025-11-05T19:08:00.000Z,21648
,,,,,,,84,2025-11-05T19:09:00.000Z,21708
,,,,,,,83,2025-11-05T19:10:00.000Z,21768
,,,,,,,84,2025-11-05T19:13:00.000Z,21948
,,,,,,,86,2025-11-05T19:16:00.000Z,22128
,,,,,,,83,2025-11-05T19:17:00.000Z,22188
,,,,,,,84,2025-11-05T19:19:00.000Z,22308
,,,,,,,82,2025-11-05T19:20:00.000Z,22368
,,,,,,,84,2025-11-05T19:21:00.000Z,22428
,,,104,,,,,2025-11-05T19:21:00.000Z,
,,,,,,,85,2025-11-05T19:22:00.000Z,22488
,,,8,,,,,2025-11-05T19:22:00.000Z,
,,,,,,,84,2025-11-05T19:23:00.000Z,22548
,,,,,,,100,2025-11-05T19:24:00.000Z,22608
82,3.762486376712134e-39,,38,1.4111075535750908e-42,,,,2025-11-05T19:24:00.000Z,22608
,,,,,,,89,2025-11-05T19:25:00.000Z,22668
,,,,,,,86,2025-11-05T19:26:00.000Z,22728
,,,,,,,85,2025-11-05T19:27:00.000Z,22788
,,,,,,,86,2025-11-05T19:29:00.000Z,22908
,,,,,,,82,2025-11-05T19:30:00.000Z,22968
,,,8,,,,,2025-11-05T19:30:00.000Z,
,,,,,,,83,2025-11-05T19:31:00.000Z,23028
,,,40,,,,,2025-11-05T19:31:00.000Z,
,,,,,,,84,2025-11-05T19:34:00.000Z,23208
,,,,,,,85,2025-11-05T19:35:00.000Z,23268
,,,,,,,87,2025-11-05T19:36:00.000Z,23328
,,,8,,,,,2025-11-05T19:36:00.000Z,
,,,,,,,88,2025-11-05T19:37:00.000Z,23388
,,,104,,,,,2025-11-05T19:37:00.000Z,
,,,,,,,84,2025-11-05T19:38:00.000Z,23448
,,,8,,,,,2025-11-05T19:38:00.000Z,
,,,,,,,85,2025-11-05T19:39:00.000Z,23508
,,,,,,,91,2025-11-05T19:40:00.000Z,23568
,,,,,,,90,2025-11-05T19:41:00.000Z,23628
,,,,,,,87,2025-11-05T19:42:00.000Z,23688
,,,,,,,88,2025-11-05T19:43:00.000Z,23748
,,,,,,,90,2025-11-05T19:44:00.000Z,23808
,,,,,,,91,2025-11-05T19:45:00.000Z,23868
,,,,,,,89,2025-11-05T19:46:00.000Z,23928
,,,,,,,88,2025-11-05T19:47:00.000Z,23988
,,,,,,,85,2025-11-05T19:49:00.000Z,24108
,,,,,,,87,2025-11-05T19:50:00.000Z,24168
,,,,,,,88,2025-11-05T19:51:00.000Z,24228
,,,,,,,89,2025-11-05T19:52:00.000Z,24288
,,,136,,,,,2025-11-05T19:52:00.000Z,
,,,,,,,88,2025-11-05T19:53:00.000Z,24348
,,,8,,,,,2025-11-05T19:53:00.000Z,
,,,,,,,87,2025-11-05T19:54:00.000Z,24408
,,,,,,,86,2025-11-05T19:55:00.000Z,24468
,,,,,,,87,2025-11-05T19:56:00.000Z,24528
,,,,,,,88,2025-11-05T19:58:00.000Z,24648
,,,,,,,87,2025-11-05T19:59:00.000Z,24708
,,,,,,,89,2025-11-05T20:00:00.000Z,24768
,,,104,,,,,2025-11-05T20:00:00.000Z,
,,,,,,,93,2025-11-05T20:01:00.000Z,24828
,,,8,,,,,2025-11-05T20:01:00.000Z,
,,,,,,,87,2025-11-05T20:02:00.000Z,24888
,,,,,,,89,2025-11-05T20:03:00.000Z,24948
,,,,,,,93,2025-11-05T20:04:00.000Z,25008
,,,,,,,96,2025-11-05T20:05:00.000Z,25068
,,,104,,,,,2025-11-05T20:05:00.000Z,
,,,,,,,91,2025-11-05T20:06:00.000Z,25128
,,,136,,,,,2025-11-05T20:06:00.000Z,
,,,,,,,90,2025-11-05T20:07:00.000Z,25188
,,,8,,,,,2025-11-05T20:08:00.000Z,
,,,,,,,91,2025-11-05T20:09:00.000Z,25308
,,,,,,,92,2025-11-05T20:10:00.000Z,25368
,,,104,,,,,2025-11-05T20:10:00.000Z,
,,,,,,,94,2025-11-05T20:11:00.000Z,25428
,,,8,,,,,2025-11-05T20:11:00.000Z,
,,,,,,,91,2025-11-05T20:12:00.000Z,25488
,,,,,,,93,2025-11-05T20:13:00.000Z,25548
,,,,,,,94,2025-11-05T20:14:00.000Z,25608
,,,,,,,90,2025-11-05T20:16:00.000Z,25728
,,,,,,,92,2025-11-05T20:17:00.000Z,25788
,,,,,,,90,2025-11-05T20:19:00.000Z,25908
,,,,,,,96,2025-11-05T20:20:00.000Z,25968
,,,,,,,89,2025-11-05T20:21:00.000Z,26028
,,,,,,,90,2025-11-05T20:22:00.000Z,26088
,,,,,,,91,2025-11-05T20:23:00.000Z,26148
,,,,,,,92,2025-11-05T20:25:00.000Z,26268
,,,,,,,90,2025-11-05T20:26:00.000Z,26328
,,,,,,,93,2025-11-05T20:27:00.000Z,26388
,,,,,,,87,2025-11-05T20:28:00.000Z,26448
,,,136,,,,,2025-11-05T20:28:00.000Z,
,,,,,,,92,2025-11-05T20:29:00.000Z,26508
82,3.783505853677006e-39,,38,1.4349296274686127e-42,,,,2025-11-05T20:29:00.000Z,26508
,,,,,,,104,2025-11-05T20:30:00.000Z,26568
34,1.0930128021733573e-39,,160,0,,,,2025-11-05T20:30:00.000Z,26568
,,,,,,,112,2025-11-05T20:31:00.000Z,26628
,,,,,,,114,2025-11-05T20:32:00.000Z,26688
