body_battery,field_four,field_two,stress_level_time,stress_level_value
64,1,15,2025-11-17T16:43:00.000Z,21
64,1,8,2025-11-17T16:44:00.000Z,23
64,1,37,2025-11-17T16:45:00.000Z,16
64,1,20,2025-11-17T16:46:00.000Z,20
64,1,251,2025-11-17T16:47:00.000Z,29
64,1,102,2025-11-17T16:48:00.000Z,65534
63,1,204,2025-11-17T16:49:00.000Z,64
63,1,102,2025-11-17T16:50:00.000Z,65534
63,1,1,2025-11-17T16:51:00.000Z,25
63,1,247,2025-11-17T16:52:00.000Z,32
63,1,246,2025-11-17T16:53:00.000Z,33
63,1,240,2025-11-17T16:54:00.000Z,37
63,1,102,2025-11-17T16:55:00.000Z,65534
63,1,234,2025-11-17T16:56:00.000Z,42
62,1,102,2025-11-17T16:57:00.000Z,65534
62,1,176,2025-11-17T16:58:00.000Z,85
62,1,214,2025-11-17T16:59:00.000Z,57
62,1,196,2025-11-17T17:00:00.000Z,70
62,1,204,2025-11-17T17:01:00.000Z,64
62,1,227,2025-11-17T17:02:00.000Z,47
62,1,233,2025-11-17T17:03:00.000Z,42
62,1,234,2025-11-17T17:04:00.000Z,42
61,1,224,2025-11-17T17:05:00.000Z,49
61,1,217,2025-11-17T17:06:00.000Z,54
61,1,232,2025-11-17T17:07:00.000Z,43
61,1,247,2025-11-17T17:08:00.000Z,32
61,1,251,2025-11-17T17:09:00.000Z,29
61,1,7,2025-11-17T17:10:00.000Z,23
61,1,4,2025-11-17T17:11:00.000Z,24
61,1,250,2025-11-17T17:12:00.000Z,30
61,1,252,2025-11-17T17:13:00.000Z,28
61,1,234,2025-11-17T17:14:00.000Z,42
61,1,102,2025-11-17T17:15:00.000Z,65534
61,1,204,2025-11-17T17:16:00.000Z,64
60,1,213,2025-11-17T17:17:00.000Z,57
60,1,229,2025-11-17T17:18:00.000Z,45
60,1,213,2025-11-17T17:19:00.000Z,57
60,1,206,2025-11-17T17:20:00.000Z,63
60,1,241,2025-11-17T17:21:00.000Z,36
60,1,232,2025-11-17T17:22:00.000Z,43
60,1,229,2025-11-17T17:23:00.000Z,45
60,1,228,2025-11-17T17:24:00.000Z,46
60,1,251,2025-11-17T17:25:00.000Z,29
60,1,250,2025-11-17T17:26:00.000Z,30
60,1,244,2025-11-17T17:27:00.000Z,34
60,1,233,2025-11-17T17:28:00.000Z,42
59,1,102,2025-11-17T17:29:00.000Z,65534
59,1,238,2025-11-17T17:30:00.000Z,39
59,1,231,2025-11-17T17:31:00.000Z,44
59,1,216,2025-11-17T17:32:00.000Z,55
59,1,210,2025-11-17T17:33:00.000Z,60
59,1,241,2025-11-17T17:34:00.000Z,36
59,1,102,2025-11-17T17:35:00.000Z,65534
59,1,193,2025-11-17T17:36:00.000Z,72
59,1,203,2025-11-17T17:37:00.000Z,65
58,1,198,2025-11-17T17:38:00.000Z,69
58,1,206,2025-11-17T17:39:00.000Z,63
58,1,102,2025-11-17T17:40:00.000Z,65534
58,1,102,2025-11-17T17:41:00.000Z,65534
58,1,102,2025-11-17T17:42:00.000Z,65534
58,1,169,2025-11-17T17:43:00.000Z,90
57,1,102,2025-11-17T17:44:00.000Z,65534
57,1,176,2025-11-17T17:45:00.000Z,85
57,1,190,2025-11-17T17:46:00.000Z,75
57,1,200,2025-11-17T17:47:00.000Z,67
57,1,218,2025-11-17T17:48:00.000Z,54
57,1,251,2025-11-17T17:49:00.000Z,29
57,1,247,2025-11-17T17:50:00.000Z,32
57,1,246,2025-11-17T17:51:00.000Z,33
57,1,222,2025-11-17T17:52:00.000Z,51
56,1,233,2025-11-17T17:53:00.000Z,42
56,1,245,2025-11-17T17:54:00.000Z,33
56,1,252,2025-11-17T17:55:00.000Z,28
56,1,210,2025-11-17T17:56:00.000Z,60
56,1,234,2025-11-17T17:57:00.000Z,42
56,1,222,2025-11-17T17:58:00.000Z,51
56,1,230,2025-11-17T17:59:00.000Z,45
56,1,222,2025-11-17T18:00:00.000Z,51
56,1,234,2025-11-17T18:01:00.000Z,42
56,1,247,2025-11-17T18:02:00.000Z,32
56,1,227,2025-11-17T18:03:00.000Z,47
56,1,224,2025-11-17T18:04:00.000Z,49
56,1,247,2025-11-17T18:05:00.000Z,32
56,1,244,2025-11-17T18:06:00.000Z,34
56,1,225,2025-11-17T18:07:00.000Z,48
55,1,197,2025-11-17T18:08:00.000Z,69
55,1,201,2025-11-17T18:09:00.000Z,66
55,1,205,2025-11-17T18:10:00.000Z,63
55,1,207,2025-11-17T18:11:00.000Z,62
55,1,194,2025-11-17T18:12:00.000Z,72
55,1,200,2025-11-17T18:13:00.000Z,67
55,1,102,2025-11-17T18:14:00.000Z,65534
54,1,102,2025-11-17T18:15:00.000Z,65534
54,1,102,2025-11-17T18:16:00.000Z,65534
54,1,159,2025-11-17T18:17:00.000Z,98
54,1,102,2025-11-17T18:18:00.000Z,65534
54,1,102,2025-11-17T18:19:00.000Z,65534
54,1,232,2025-11-17T18:20:00.000Z,43
53,1,207,2025-11-17T18:21:00.000Z,62
53,1,223,2025-11-17T18:22:00.000Z,50
53,1,208,2025-11-17T18:23:00.000Z,61
53,1,218,2025-11-17T18:24:00.000Z,54
53,1,191,2025-11-17T18:25:00.000Z,74
53,1,194,2025-11-17T18:26:00.000Z,72
53,1,192,2025-11-17T18:27:00.000Z,73
53,1,199,2025-11-17T18:28:00.000Z,68
52,1,199,2025-11-17T18:29:00.000Z,68
52,1,210,2025-11-17T18:30:00.000Z,60
52,1,213,2025-11-17T18:31:00.000Z,57
52,1,249,2025-11-17T18:32:00.000Z,30
52,1,247,2025-11-17T18:33:00.000Z,32
52,1,215,2025-11-17T18:34:00.000Z,56
52,1,235,2025-11-17T18:35:00.000Z,41
52,1,248,2025-11-17T18:36:00.000Z,31
52,1,203,2025-11-17T18:37:00.000Z,65
52,1,195,2025-11-17T18:38:00.000Z,71
52,1,200,2025-11-17T18:39:00.000Z,67
52,1,221,2025-11-17T18:40:00.000Z,51
51,1,205,2025-11-17T18:41:00.000Z,63
51,1,206,2025-11-17T18:42:00.000Z,63
51,1,209,2025-11-17T18:43:00.000Z,60
51,1,209,2025-11-17T18:44:00.000Z,60
51,1,213,2025-11-17T18:45:00.000Z,57
51,1,214,2025-11-17T18:46:00.000Z,57
51,1,194,2025-11-17T18:47:00.000Z,72
51,1,200,2025-11-17T18:48:00.000Z,67
51,1,236,2025-11-17T18:49:00.000Z,40
50,1,198,2025-11-17T18:50:00.000Z,69
50,1,178,2025-11-17T18:51:00.000Z,84
50,1,182,2025-11-17T18:52:00.000Z,81
50,1,192,2025-11-17T18:53:00.000Z,73
50,1,179,2025-11-17T18:54:00.000Z,83
50,1,218,2025-11-17T18:55:00.000Z,54
50,1,239,2025-11-17T18:56:00.000Z,38
50,1,211,2025-11-17T18:57:00.000Z,59
50,1,224,2025-11-17T18:58:00.000Z,49
49,1,233,2025-11-17T18:59:00.000Z,42
49,1,216,2025-11-17T19:00:00.000Z,55
49,1,208,2025-11-17T19:01:00.000Z,61
49,1,222,2025-11-17T19:02:00.000Z,51
49,1,217,2025-11-17T19:03:00.000Z,54
49,1,214,2025-11-17T19:04:00.000Z,57
49,1,216,2025-11-17T19:05:00.000Z,55
49,1,233,2025-11-17T19:06:00.000Z,42
49,1,205,2025-11-17T19:07:00.000Z,63
49,1,227,2025-11-17T19:08:00.000Z,47
49,1,212,2025-11-17T19:09:00.000Z,58
