data16,event,event_type,timestamp
200,,"marker",2025-11-17T05:07:00.000Z
5,,"marker",2025-11-17T05:10:00.000Z
1,,"marker",2025-11-17T05:11:00.000Z
1,,"marker",2025-11-17T05:12:00.000Z
2,,"marker",2025-11-17T05:14:00.000Z
5,,"marker",2025-11-17T05:17:00.000Z
1,,"marker",2025-11-17T05:18:00.000Z
1,,"marker",2025-11-17T05:19:00.000Z
2,,"marker",2025-11-17T05:21:00.000Z
1,,"marker",2025-11-17T05:22:00.000Z
1,,"marker",2025-11-17T05:23:00.000Z
3,,"marker",2025-11-17T05:29:00.000Z
14,,"marker",2025-11-17T05:37:00.000Z
2,,"marker",2025-11-17T05:39:00.000Z
1,,"marker",2025-11-17T05:40:00.000Z
1,,"marker",2025-11-17T05:41:00.000Z
4,,"marker",2025-11-17T05:44:00.000Z
17,,"marker",2025-11-17T05:58:00.000Z
5,,"marker",2025-11-17T05:59:00.000Z
0,,"marker",2025-11-17T06:00:00.000Z
21,,"marker",2025-11-17T06:19:00.000Z
3,,"marker",2025-11-17T06:22:00.000Z
1,,"marker",2025-11-17T06:23:00.000Z
2,,"marker",2025-11-17T06:25:00.000Z
1,,"marker",2025-11-17T06:26:00.000Z
5,,"marker",2025-11-17T06:31:00.000Z
21,,"marker",2025-11-17T06:52:00.000Z
1,,"marker",2025-11-17T06:53:00.000Z
3,,"marker",2025-11-17T06:56:00.000Z
22,,"marker",2025-11-17T07:18:00.000Z
1,,"marker",2025-11-17T07:19:00.000Z
4,,"marker",2025-11-17T07:23:00.000Z
2,,"marker",2025-11-17T07:25:00.000Z
2,,"marker",2025-11-17T07:27:00.000Z
1,,"marker",2025-11-17T07:28:00.000Z
3,,"marker",2025-11-17T07:31:00.000Z
5,,"marker",2025-11-17T07:36:00.000Z
1,,"marker",2025-11-17T07:37:00.000Z
4,,"marker",2025-11-17T07:41:00.000Z
15,,"marker",2025-11-17T07:56:00.000Z
1,,"marker",2025-11-17T07:57:00.000Z
2,,"marker",2025-11-17T07:59:00.000Z
1,,"marker",2025-11-17T08:00:00.000Z
31,,"marker",2025-11-17T08:31:00.000Z
1,,"marker",2025-11-17T08:32:00.000Z
49,,"marker",2025-11-17T09:21:00.000Z
1,,"marker",2025-11-17T09:22:00.000Z
157,,"marker",2025-11-17T11:59:00.000Z
1,,"marker",2025-11-17T12:00:00.000Z
54,,"marker",2025-11-17T12:54:00.000Z
1,,"marker",2025-11-17T12:55:00.000Z
28,,"marker",2025-11-17T13:23:00.000Z
1,,"marker",2025-11-17T13:24:00.000Z
3,,"marker",2025-11-17T13:27:00.000Z
1,,"marker",2025-11-17T13:28:00.000Z
97,,"marker",2025-11-17T15:05:00.000Z
1,,"marker",2025-11-17T15:06:00.000Z
8,,"marker",2025-11-17T15:14:00.000Z
1,,"marker",2025-11-17T15:15:00.000Z
14,,"marker",2025-11-17T15:29:00.000Z
2,,"marker",2025-11-17T15:31:00.000Z
1,,"marker",2025-11-17T15:32:00.000Z
1,,"marker",2025-11-17T15:33:00.000Z
2,,"marker",2025-11-17T15:35:00.000Z
1,,"marker",2025-11-17T15:36:00.000Z
14,,"marker",2025-11-17T15:50:00.000Z
1,,"marker",2025-11-17T15:51:00.000Z
1,,"marker",2025-11-17T15:52:00.000Z
1,,"marker",2025-11-17T15:53:00.000Z
2,,"marker",2025-11-17T15:55:00.000Z
1,,"marker",2025-11-17T15:56:00.000Z
1,,"marker",2025-11-17T15:57:00.000Z
1,,"marker",2025-11-17T15:58:00.000Z
2,,"marker",2025-11-17T16:00:00.000Z
3,,"marker",2025-11-17T16:03:00.000Z
1,,"marker",2025-11-17T16:04:00.000Z
1,,"marker",2025-11-17T16:05:00.000Z
1,,"marker",2025-11-17T16:06:00.000Z
1,,"marker",2025-11-17T16:07:00.000Z
1,,"marker",2025-11-17T16:08:00.000Z
6,,"marker",2025-11-17T16:14:00.000Z
1,,"marker",2025-11-17T16:15:00.000Z
2,,"marker",2025-11-17T16:17:00.000Z
1,,"marker",2025-11-17T16:18:00.000Z
2,,"marker",2025-11-17T16:20:00.000Z
1,,"marker",2025-11-17T16:21:00.000Z
3,,"marker",2025-11-17T16:24:00.000Z
