active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
17,5.885453550164232e-40,"generic",,0,0,842,,,2025-11-18T19:02:00.000Z,
133,7.156431257306841e-39,"walking",,4.2249148699393235e-42,3.4602122849726276e-43,842,,,2025-11-18T19:02:00.000Z,
1,1.6815581571897805e-40,"running",,6.866362475191604e-44,8.4358167552354e-45,842,,,2025-11-18T19:02:00.000Z,
,,,,,,,,,2025-11-18T19:02:00.000Z,
,,,,,,,110,,2025-11-18T19:03:00.000Z,30436
,,,,,,,104,,2025-11-18T19:04:00.000Z,30496
137,7.324587073025819e-39,,6,4.266953823869068e-42,,,,,2025-11-18T19:04:00.000Z,30496
,,,,,,,102,,2025-11-18T19:05:00.000Z,30556
18,6.516037859110399e-40,,128,0,,,,,2025-11-18T19:05:00.000Z,30556
,,,,,,,97,,2025-11-18T19:06:00.000Z,30616
139,7.387645503920436e-39,,134,4.344025239406933e-42,,,,,2025-11-18T19:06:00.000Z,30616
,,,,,,,91,,2025-11-18T19:07:00.000Z,30676
,,,,,,,85,,2025-11-18T19:08:00.000Z,30736
,,,8,,,,,,2025-11-18T19:08:00.000Z,
,,,,,,,84,,2025-11-18T19:09:00.000Z,30796
,,,,,,,85,,2025-11-18T19:10:00.000Z,30856
,,,,,,,90,,2025-11-18T19:11:00.000Z,30916
,,,,,,,86,,2025-11-18T19:12:00.000Z,30976
,,,72,,,,,,2025-11-18T19:12:00.000Z,
,,,,,,,85,,2025-11-18T19:14:00.000Z,31096
,,,,,,,86,,2025-11-18T19:16:00.000Z,31216
,,,8,,,,,,2025-11-18T19:16:00.000Z,
,,,,,,,84,,2025-11-18T19:17:00.000Z,31276
,,,104,,,,,,2025-11-18T19:17:00.000Z,
,,,,,,,92,,2025-11-18T19:18:00.000Z,31336
139,7.408664980885308e-39,,70,4.356636925585856e-42,,,,,2025-11-18T19:18:00.000Z,31336
,,,,,,,90,,2025-11-18T19:19:00.000Z,31396
,,,,,,,87,,2025-11-18T19:20:00.000Z,31456
,,,8,,,,,,2025-11-18T19:20:00.000Z,
,,,,,,,84,,2025-11-18T19:21:00.000Z,31516
,,,,,,,91,,2025-11-18T19:22:00.000Z,31576
,,,,,,,90,,2025-11-18T19:24:00.000Z,31696
,,,,,,,87,,2025-11-18T19:25:00.000Z,31756
,,,,,,,98,,2025-11-18T19:26:00.000Z,31816
,,,136,,,,,,2025-11-18T19:26:00.000Z,
,,,,,,,108,,2025-11-18T19:27:00.000Z,31876
141,7.492742888744797e-39,,38,4.381860297943703e-42,,,,,2025-11-18T19:27:00.000Z,31876
,,,,,,,98,,2025-11-18T19:28:00.000Z,31936
,,,168,,,,,,2025-11-18T19:28:00.000Z,
,,,,,,,96,,2025-11-18T19:29:00.000Z,31996
,,,,,,,101,,2025-11-18T19:30:00.000Z,32056
144,7.597840273569158e-39,,38,4.450523922695619e-42,,,,,2025-11-18T19:30:00.000Z,32056
,,,,,,,94,,2025-11-18T19:31:00.000Z,32116
,,,,,,,83,,2025-11-18T19:32:00.000Z,32176
,,,,,,,84,,2025-11-18T19:33:00.000Z,32236
,,,104,,,,,,2025-11-18T19:33:00.000Z,
,,,8,,,,,,2025-11-18T19:34:00.000Z,
,,,,,,,82,,2025-11-18T19:35:00.000Z,32356
,,,,,,,88,,2025-11-18T19:36:00.000Z,32416
,,,,,,,89,,2025-11-18T19:37:00.000Z,32476
,,,136,,,,,,2025-11-18T19:37:00.000Z,
,,,8,,,,,,2025-11-18T19:38:00.000Z,
,,,,,,,86,,2025-11-18T19:39:00.000Z,32596
,,,,,,,84,,2025-11-18T19:40:00.000Z,32656
,,,,,,,93,,2025-11-18T19:41:00.000Z,32716
,,,,,,,88,,2025-11-18T19:42:00.000Z,32776
,,,,,,,90,,2025-11-18T19:43:00.000Z,32836
,,,168,,,,,,2025-11-18T19:43:00.000Z,
,,,,,,,97,,2025-11-18T19:45:00.000Z,32956
145,7.660898704463775e-39,,70,4.5009706674113124e-42,,,,,2025-11-18T19:45:00.000Z,32956
,,,,,,,103,,2025-11-18T19:46:00.000Z,33016
20,7.35681693770529e-40,,224,0,,,,,2025-11-18T19:46:00.000Z,33016
,,,,,,,99,,2025-11-18T19:47:00.000Z,33076
147,7.744976612323264e-39,,38,4.51778624898321e-42,,,,,2025-11-18T19:47:00.000Z,33076
,,,,,,,97,,2025-11-18T19:48:00.000Z,33136
,,,,,,,99,,2025-11-18T19:49:00.000Z,33196
,,,200,,,,,,2025-11-18T19:49:00.000Z,
,,,,,,,101,,2025-11-18T19:50:00.000Z,33256
22,7.987401246651457e-40,,160,0,,,,,2025-11-18T19:50:00.000Z,33256
,,,,,,,100,,2025-11-18T19:51:00.000Z,33316
,,,200,,,,,,2025-11-18T19:51:00.000Z,
,,,,,,,104,,2025-11-18T19:52:00.000Z,33376
,,,,,,,103,,2025-11-18T19:53:00.000Z,33436
,,,,,,,104,,2025-11-18T19:54:00.000Z,33496
,,,,,,,107,,2025-11-18T19:55:00.000Z,33556
,,,,,,,109,,2025-11-18T19:56:00.000Z,33616
,,,,,,,102,,2025-11-18T19:57:00.000Z,33676
,,,,,,,100,,2025-11-18T19:58:00.000Z,33736
,,,,,,,109,,2025-11-18T19:59:00.000Z,33796
,,,,,,,112,,2025-11-18T20:00:00.000Z,33856
164,8.368554428947808e-39,,38,4.919958908244433e-42,,,,,2025-11-18T20:00:00.000Z,33856
,,,,,,,113,,2025-11-18T20:01:00.000Z,33916
,,,,,,,118,,2025-11-18T20:03:00.000Z,34036
,,,,,,,120,,2025-11-18T20:04:00.000Z,34096
,,,,,,,123,,2025-11-18T20:05:00.000Z,34156
182,8.788943968245253e-39,,70,5.661245795872261e-42,,,,,2025-11-18T20:05:00.000Z,34156
,,,,,,,116,,2025-11-18T20:07:00.000Z,34276
,,,,,,,119,,2025-11-18T20:08:00.000Z,34336
,,,,,,,122,,2025-11-18T20:09:00.000Z,34396
,,,,,,,125,,2025-11-18T20:10:00.000Z,34456
,,,,,,,122,,2025-11-18T20:11:00.000Z,34516
,,,,,,,116,,2025-11-18T20:12:00.000Z,34576
,,,,,,,113,,2025-11-18T20:13:00.000Z,34636
,,,,,,,117,,2025-11-18T20:14:00.000Z,34696
208,9.545645138980654e-39,,70,6.630944333185034e-42,,,,,2025-11-18T20:14:00.000Z,34696
,,,,,,,100,,2025-11-18T20:15:00.000Z,34756
,,,,,,,99,,2025-11-18T20:16:00.000Z,34816
,,,,,,,97,,2025-11-18T20:17:00.000Z,34876
,,,136,,,,,,2025-11-18T20:17:00.000Z,
,,,,,,,94,,2025-11-18T20:18:00.000Z,34936
,,,,,,,90,,2025-11-18T20:19:00.000Z,34996
,,,,,,,88,,2025-11-18T20:20:00.000Z,35056
,,,,,,,85,,2025-11-18T20:22:00.000Z,35176
,,,,,,,82,,2025-11-18T20:24:00.000Z,35296
,,,8,,,,,,2025-11-18T20:26:00.000Z,
,,,,,,,83,,2025-11-18T20:30:00.000Z,35656
,,,,,,,86,,2025-11-18T20:31:00.000Z,35716
,,,,,,,91,,2025-11-18T20:32:00.000Z,35776
,,,,,,,96,,2025-11-18T20:33:00.000Z,35836
,,,,,,,93,,2025-11-18T20:34:00.000Z,35896
,,,,,,,94,,2025-11-18T20:35:00.000Z,35956
,,,,,,,93,,2025-11-18T20:36:00.000Z,36016
,,,,,,,91,,2025-11-18T20:37:00.000Z,36076
,,,,,,,93,,2025-11-18T20:39:00.000Z,36196
,,,104,,,,,,2025-11-18T20:39:00.000Z,
,,,,,,,95,,2025-11-18T20:40:00.000Z,36256
,,,,,,,113,,2025-11-18T20:41:00.000Z,36316
,,,,,,,126,,2025-11-18T20:42:00.000Z,36376
,,,,,,,139,,2025-11-18T20:44:00.000Z,36496
,,,,,,,133,,2025-11-18T20:45:00.000Z,36556
,,,,,,,,4,2025-11-18T20:45:00.000Z,36556
235,1.0050112586137588e-38,,70,7.466118217922625e-42,,,,,2025-11-18T20:45:00.000Z,36556
,,,,,,,131,,2025-11-18T20:46:00.000Z,36616
,,,,,,,126,,2025-11-18T20:47:00.000Z,36676
248,1.0302346309716055e-38,,70,7.600642870497808e-42,,,,,2025-11-18T20:48:00.000Z,36736
,,,,,,,107,,2025-11-18T20:50:00.000Z,36856
26,9.668959403841238e-40,,128,0,,,,,2025-11-18T20:50:00.000Z,36856
,,,,,,,99,,2025-11-18T20:51:00.000Z,36916
,,,,,,,,4,2025-11-18T20:51:00.000Z,36916
,,,,,,,97,,2025-11-18T20:52:00.000Z,36976
,,,,,,,95,,2025-11-18T20:53:00.000Z,37036
,,,,,,,97,,2025-11-18T20:54:00.000Z,37096
,,,104,,,,,,2025-11-18T20:55:00.000Z,
,,,,,,,100,,2025-11-18T20:56:00.000Z,37216
,,,8,,,,,,2025-11-18T20:56:00.000Z,
,,,,,,,98,,2025-11-18T20:57:00.000Z,37276
,,,,,,,99,,2025-11-18T20:59:00.000Z,37396
,,,,,,,103,,2025-11-18T21:00:00.000Z,37456
,,,,,,,95,,2025-11-18T21:01:00.000Z,37516
,,,,,,,96,,2025-11-18T21:02:00.000Z,37576
,,,,,,,94,,2025-11-18T21:04:00.000Z,37696
,,,104,,,,,,2025-11-18T21:05:00.000Z,
,,,,,,,92,,2025-11-18T21:06:00.000Z,37816
,,,,,,,93,,2025-11-18T21:07:00.000Z,37876
,,,,,,,95,,2025-11-18T21:08:00.000Z,37936
,,,,,,,94,,2025-11-18T21:09:00.000Z,37996
,,,,,,,92,,2025-11-18T21:10:00.000Z,38056
,,,,,,,95,,2025-11-18T21:11:00.000Z,38116
,,,,,,,94,,2025-11-18T21:12:00.000Z,38176
,,,,,,,93,,2025-11-18T21:13:00.000Z,38236
,,,,,,,97,,2025-11-18T21:14:00.000Z,38296
,,,104,,,,,,2025-11-18T21:14:00.000Z,
,,,,,,,95,,2025-11-18T21:15:00.000Z,38356
,,,8,,,,,,2025-11-18T21:15:00.000Z,
,,,,,,,93,,2025-11-18T21:16:00.000Z,38416
,,,,,,,90,,2025-11-18T21:17:00.000Z,38476
,,,,,,,92,,2025-11-18T21:19:00.000Z,38596
,,,,,,,89,,2025-11-18T21:20:00.000Z,38656
,,,,,,,87,,2025-11-18T21:21:00.000Z,38716
,,,104,,,,,,2025-11-18T21:21:00.000Z,
,,,,,,,89,,2025-11-18T21:22:00.000Z,38776
,,,,,,,90,,2025-11-18T21:23:00.000Z,38836
,,,8,,,,,,2025-11-18T21:23:00.000Z,
,,,104,,,,,,2025-11-18T21:24:00.000Z,
,,,,,,,91,,2025-11-18T21:26:00.000Z,39016
,,,,,,,93,,2025-11-18T21:27:00.000Z,39076
,,,8,,,,,,2025-11-18T21:27:00.000Z,
26,9.668959403841238e-40,"generic",,0,0,987,,,2025-11-18T21:27:00.000Z,
248,1.0302346309716055e-38,"walking",,7.600642870497808e-42,6.224932116131562e-43,987,,,2025-11-18T21:27:00.000Z,
1,1.6815581571897805e-40,"running",,6.866362475191604e-44,8.4358167552354e-45,987,,,2025-11-18T21:27:00.000Z,
,,,,,,,,,2025-11-18T21:27:00.000Z,
