active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
26,9.668959403841238e-40,"generic",,0,0,987,,2025-11-18T21:27:00.000Z,
248,1.0302346309716055e-38,"walking",,7.600642870497808e-42,6.224932116131562e-43,987,,2025-11-18T21:27:00.000Z,
1,1.6815581571897805e-40,"running",,6.866362475191604e-44,8.4358167552354e-45,987,,2025-11-18T21:27:00.000Z,
,,,,,,,,2025-11-18T21:27:00.000Z,
,,,,,,,90,2025-11-18T21:28:00.000Z,39136
,,,104,,,,,2025-11-18T21:28:00.000Z,
26,9.668959403841238e-40,"generic",,0,0,988,,2025-11-18T21:28:00.000Z,
248,1.0302346309716055e-38,"walking",,7.600642870497808e-42,6.224932116131562e-43,988,,2025-11-18T21:28:00.000Z,
1,1.6815581571897805e-40,"running",,6.866362475191604e-44,8.4358167552354e-45,988,,2025-11-18T21:28:00.000Z,
,,,,,,,,2025-11-18T21:28:00.000Z,
