body_battery,field_four,field_two,stress_level_time,stress_level_value
20,1,247,2025-11-18T21:29:00.000Z,32
20,1,217,2025-11-18T21:30:00.000Z,54
20,1,211,2025-11-18T21:31:00.000Z,59
20,1,214,2025-11-18T21:32:00.000Z,57
20,1,223,2025-11-18T21:33:00.000Z,50
20,1,225,2025-11-18T21:34:00.000Z,48
20,1,102,2025-11-18T21:35:00.000Z,65534
20,1,102,2025-11-18T21:36:00.000Z,65534
20,1,102,2025-11-18T21:37:00.000Z,65534
20,1,175,2025-11-18T21:38:00.000Z,86
20,1,102,2025-11-18T21:39:00.000Z,65534
19,1,180,2025-11-18T21:40:00.000Z,82
19,1,102,2025-11-18T21:41:00.000Z,65534
19,1,102,2025-11-18T21:42:00.000Z,65534
19,1,102,2025-11-18T21:43:00.000Z,65534
19,1,101,2025-11-18T21:44:00.000Z,
19,1,102,2025-11-18T21:45:00.000Z,65534
19,1,167,2025-11-18T21:46:00.000Z,92
19,1,183,2025-11-18T21:47:00.000Z,80
19,1,211,2025-11-18T21:48:00.000Z,59
19,1,210,2025-11-18T21:49:00.000Z,60
19,1,212,2025-11-18T21:50:00.000Z,58
19,1,209,2025-11-18T21:51:00.000Z,60
19,1,211,2025-11-18T21:52:00.000Z,59
19,1,186,2025-11-18T21:53:00.000Z,78
19,1,222,2025-11-18T21:54:00.000Z,51
18,1,192,2025-11-18T21:55:00.000Z,73
