active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
23,9.248569864543793e-40,"generic",,0,0,753,,,2025-11-30T17:33:00.000Z,
263,8.681043986492242e-39,"walking",,8.629195943312224e-42,7.067476830791502e-43,753,,,2025-11-30T17:33:00.000Z,
5,8.407790785948902e-41,"running",,2.200038588989963e-43,2.7026843481432745e-44,753,,,2025-11-30T17:33:00.000Z,
,,,,,,,,,2025-11-30T17:33:00.000Z,
,,,,,,,110,,2025-11-30T17:34:00.000Z,13320
,,,,,,,109,,2025-11-30T17:35:00.000Z,13380
,,,,,,,103,,2025-11-30T17:36:00.000Z,13440
269,8.933277710070709e-39,,70,8.875824473033391e-42,,,,,2025-11-30T17:36:00.000Z,13440
24,1.0089348943138683e-39,,160,0,,,,,2025-11-30T17:37:00.000Z,13500
,,,,,,,94,,2025-11-30T17:38:00.000Z,13560
271,9.017355617930198e-39,,70,8.901047845391238e-42,,,,,2025-11-30T17:38:00.000Z,13560
,,,,,,,101,,2025-11-30T17:39:00.000Z,13620
,,,,,,,111,,2025-11-30T17:40:00.000Z,13680
30,1.1770907100328463e-39,,160,0,,,,,2025-11-30T17:40:00.000Z,13680
,,,,,,,103,,2025-11-30T17:41:00.000Z,13740
,,,,,,,83,,2025-11-30T17:42:00.000Z,13800
,,,,,,,75,,2025-11-30T17:43:00.000Z,13860
,,,,,,,76,,2025-11-30T17:44:00.000Z,13920
,,,,,,,77,,2025-11-30T17:45:00.000Z,13980
,,,,,,,75,,2025-11-30T17:46:00.000Z,14040
,,,,,,,79,,2025-11-30T17:47:00.000Z,14100
,,,,,,,75,,2025-11-30T17:48:00.000Z,14160
,,,,,,,76,,2025-11-30T17:50:00.000Z,14280
,,,,,,,73,,2025-11-30T17:51:00.000Z,14340
,,,136,,,,,,2025-11-30T17:51:00.000Z,
271,9.101433525789687e-39,,70,8.913659531570161e-42,,,,,2025-11-30T17:52:00.000Z,14400
,,,,,,,75,,2025-11-30T17:53:00.000Z,14460
,,,,,,,73,,2025-11-30T17:54:00.000Z,14520
,,,,,,,74,,2025-11-30T17:55:00.000Z,14580
,,,,,,,75,,2025-11-30T17:56:00.000Z,14640
,,,72,,,,,,2025-11-30T17:56:00.000Z,
,,,,,,,74,,2025-11-30T17:57:00.000Z,14700
,,,8,,,,,,2025-11-30T17:57:00.000Z,
,,,,,,,73,,2025-11-30T17:59:00.000Z,14820
,,,136,,,,,,2025-11-30T17:59:00.000Z,
,,,,,,,77,,2025-11-30T18:00:00.000Z,14880
272,9.185511433649176e-39,,70,8.971112768607479e-42,,,,,2025-11-30T18:00:00.000Z,14880
,,,,,,,85,,2025-11-30T18:01:00.000Z,14940
273,9.353667249368154e-39,,134,9.07901275036049e-42,,,,,2025-11-30T18:02:00.000Z,15000
,,,,,,,90,,2025-11-30T18:03:00.000Z,15060
,,,,,,,73,,2025-11-30T18:04:00.000Z,15120
,,,104,,,,,,2025-11-30T18:04:00.000Z,
,,,,,,,71,,2025-11-30T18:05:00.000Z,15180
,,,,,,,72,,2025-11-30T18:06:00.000Z,15240
,,,72,,,,,,2025-11-30T18:06:00.000Z,
,,,,,,,70,,2025-11-30T18:07:00.000Z,15300
,,,8,,,,,,2025-11-30T18:07:00.000Z,
,,,,,,,72,,2025-11-30T18:08:00.000Z,15360
,,,,,,,73,,2025-11-30T18:11:00.000Z,15540
,,,,,,,76,,2025-11-30T18:12:00.000Z,15600
,,,,,,,78,,2025-11-30T18:13:00.000Z,15660
,,,,,,,74,,2025-11-30T18:14:00.000Z,15720
,,,,,,,76,,2025-11-30T18:15:00.000Z,15780
,,,136,,,,,,2025-11-30T18:15:00.000Z,
,,,,,,,74,,2025-11-30T18:16:00.000Z,15840
,,,,,,,70,,2025-11-30T18:17:00.000Z,15900
,,,8,,,,,,2025-11-30T18:17:00.000Z,
,,,,,,,72,,2025-11-30T18:18:00.000Z,15960
,,,,,,,71,,2025-11-30T18:19:00.000Z,16020
,,,,,,,72,,2025-11-30T18:20:00.000Z,16080
,,,72,,,,,,2025-11-30T18:20:00.000Z,
,,,,,,,77,,2025-11-30T18:22:00.000Z,16200
,,,,,,,91,,2025-11-30T18:23:00.000Z,16260
,,,,,,,99,,2025-11-30T18:24:00.000Z,16320
278,9.68997888080611e-39,,102,9.292010116937862e-42,,,,,2025-11-30T18:24:00.000Z,16320
,,,,,,,100,,2025-11-30T18:25:00.000Z,16380
,,,104,,,,,,2025-11-30T18:25:00.000Z,
,,,,,,,84,,2025-11-30T18:26:00.000Z,16440
,,,8,,,,,,2025-11-30T18:26:00.000Z,
,,,,,,,72,,2025-11-30T18:27:00.000Z,16500
,,,40,,,,,,2025-11-30T18:27:00.000Z,
,,,,,,,68,,2025-11-30T18:28:00.000Z,16560
,,,8,,,,,,2025-11-30T18:28:00.000Z,
,,,,,,,69,,2025-11-30T18:29:00.000Z,16620
,,,,,,,71,,2025-11-30T18:30:00.000Z,16680
,,,136,,,,,,2025-11-30T18:30:00.000Z,
,,,,,,,69,,2025-11-30T18:31:00.000Z,16740
,,,8,,,,,,2025-11-30T18:31:00.000Z,
,,,,,,,72,,2025-11-30T18:32:00.000Z,16800
,,,72,,,,,,2025-11-30T18:32:00.000Z,
,,,,,,,70,,2025-11-30T18:33:00.000Z,16860
278,9.774056788665599e-39,,70,9.324239981617333e-42,,,,,2025-11-30T18:33:00.000Z,16860
,,,,,,,76,,2025-11-30T18:34:00.000Z,16920
,,,,,,,79,,2025-11-30T18:35:00.000Z,16980
,,,,,,,71,,2025-11-30T18:36:00.000Z,17040
,,,,,,,73,,2025-11-30T18:37:00.000Z,17100
,,,136,,,,,,2025-11-30T18:37:00.000Z,
,,,,,,,79,,2025-11-30T18:38:00.000Z,17160
,,,8,,,,,,2025-11-30T18:38:00.000Z,
,,,,,,,72,,2025-11-30T18:39:00.000Z,17220
,,,,,,,71,,2025-11-30T18:40:00.000Z,17280
,,,,,,,73,,2025-11-30T18:41:00.000Z,17340
,,,104,,,,,,2025-11-30T18:41:00.000Z,
,,,,,,,71,,2025-11-30T18:42:00.000Z,17400
,,,,,,,77,,2025-11-30T18:43:00.000Z,17460
,,,,,,,88,,2025-11-30T18:44:00.000Z,17520
,,,,,,,93,,2025-11-30T18:45:00.000Z,17580
281,1.0110368420103555e-38,,70,9.513415274301183e-42,,,,,2025-11-30T18:45:00.000Z,17580
,,,,,,,96,,2025-11-30T18:46:00.000Z,17640
,,,,,,,95,,2025-11-30T18:47:00.000Z,17700
,,,,,,,97,,2025-11-30T18:48:00.000Z,17760
,,,,,,,109,,2025-11-30T18:49:00.000Z,17820
,,,,,,,113,,2025-11-30T18:50:00.000Z,17880
,,,,,,,120,,2025-11-30T18:51:00.000Z,17940
,,,,,,,123,,2025-11-30T18:52:00.000Z,18000
,,,,,,,122,,2025-11-30T18:53:00.000Z,18060
,,,,,,,128,,2025-11-30T18:54:00.000Z,18120
,,,,,,,113,,2025-11-30T18:55:00.000Z,18180
,,,,,,,106,,2025-11-30T18:56:00.000Z,18240
318,1.1035225406557934e-38,,70,1.0792800772229741e-41,,,,,2025-11-30T18:56:00.000Z,18240
,,,,,,,117,,2025-11-30T18:57:00.000Z,18300
,,,,,,,130,,2025-11-30T18:58:00.000Z,18360
39,1.3452465257518244e-39,,128,0,,,,,2025-11-30T18:58:00.000Z,18360
,,,,,,,100,,2025-11-30T18:59:00.000Z,18420
,,,,,,,92,,2025-11-30T19:00:00.000Z,18480
,,,,,,,95,,2025-11-30T19:01:00.000Z,18540
,,,,,,,96,,2025-11-30T19:02:00.000Z,18600
,,,,,,,94,,2025-11-30T19:03:00.000Z,18660
,,,,,,,90,,2025-11-30T19:04:00.000Z,18720
,,,104,,,,,,2025-11-30T19:04:00.000Z,
,,,,,,,91,,2025-11-30T19:05:00.000Z,18780
,,,,,,,90,,2025-11-30T19:06:00.000Z,18840
,,,,,,,92,,2025-11-30T19:07:00.000Z,18900
,,,,,,,91,,2025-11-30T19:08:00.000Z,18960
,,,,,,,92,,2025-11-30T19:09:00.000Z,19020
,,,,,,,95,,2025-11-30T19:12:00.000Z,19200
,,,,,,,94,,2025-11-30T19:14:00.000Z,19320
,,,,,,,96,,2025-11-30T19:15:00.000Z,19380
,,,,,,,95,,2025-11-30T19:16:00.000Z,19440
