active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
41,1.4293244336113134e-39,"generic",,0,0,993,,,2025-11-30T21:33:00.000Z,
408,1.3389406826623627e-38,"walking",,1.2742006936105562e-41,1.0435918079335496e-42,993,,,2025-11-30T21:33:00.000Z,
5,8.407790785948902e-41,"running",,2.200038588989963e-43,2.7026843481432745e-44,993,,,2025-11-30T21:33:00.000Z,
,,,,,,,,,2025-11-30T21:33:00.000Z,
,,,,,,,76,,2025-11-30T21:35:00.000Z,27780
,,,,,,,78,,2025-11-30T21:36:00.000Z,27840
,,,,,,,75,,2025-11-30T21:37:00.000Z,27900
,,,,,,,77,,2025-11-30T21:38:00.000Z,27960
,,,,,,,76,,2025-11-30T21:39:00.000Z,28020
,,,,,,,77,,2025-11-30T21:40:00.000Z,28080
,,,,,,,78,,2025-11-30T21:41:00.000Z,28140
,,,,,,,74,,2025-11-30T21:42:00.000Z,28200
,,,,,,,76,,2025-11-30T21:43:00.000Z,28260
,,,104,,,,,,2025-11-30T21:43:00.000Z,
,,,,,,,77,,2025-11-30T21:44:00.000Z,28320
,,,104,,,,,,2025-11-30T21:44:00.000Z,
,,,,,,,74,,2025-11-30T21:45:00.000Z,28380
,,,8,,,,,,2025-11-30T21:45:00.000Z,
,,,72,,,,,,2025-11-30T21:46:00.000Z,
,,,,,,,73,,2025-11-30T21:47:00.000Z,28500
,,,8,,,,,,2025-11-30T21:47:00.000Z,
,,,,,,,77,,2025-11-30T21:48:00.000Z,28560
,,,72,,,,,,2025-11-30T21:48:00.000Z,
,,,8,,,,,,2025-11-30T21:49:00.000Z,
,,,,,,,86,,2025-11-30T21:51:00.000Z,28740
409,1.3557562642342605e-38,,70,1.2795256277749905e-41,,,,,2025-11-30T21:51:00.000Z,28740
,,,,,,,87,,2025-11-30T21:52:00.000Z,28800
,,,168,,,,,,2025-11-30T21:52:00.000Z,
,,,,,,,96,,2025-11-30T21:53:00.000Z,28860
412,1.3641640550202094e-38,,70,1.286672249943047e-41,,,,,2025-11-30T21:53:00.000Z,28860
,,,,,,,106,,2025-11-30T21:54:00.000Z,28920
,,,8,,,,,,2025-11-30T21:54:00.000Z,
,,,,,,,92,,2025-11-30T21:55:00.000Z,28980
,,,72,,,,,,2025-11-30T21:55:00.000Z,
,,,,,,,73,,2025-11-30T21:56:00.000Z,29040
,,,,,,,74,,2025-11-30T21:57:00.000Z,29100
,,,,,,,75,,2025-11-30T21:58:00.000Z,29160
,,,,,,,76,,2025-11-30T21:59:00.000Z,29220
,,,8,,,,,,2025-11-30T21:59:00.000Z,
,,,,,,,78,,2025-11-30T22:00:00.000Z,29280
,,,40,,,,,,2025-11-30T22:00:00.000Z,
,,,,,,,79,,2025-11-30T22:01:00.000Z,29340
,,,8,,,,,,2025-11-30T22:01:00.000Z,
,,,,,,,82,,2025-11-30T22:03:00.000Z,29460
,,,,,,,85,,2025-11-30T22:04:00.000Z,29520
,,,104,,,,,,2025-11-30T22:04:00.000Z,
,,,,,,,78,,2025-11-30T22:05:00.000Z,29580
,,,8,,,,,,2025-11-30T22:06:00.000Z,
,,,40,,,,,,2025-11-30T22:07:00.000Z,
,,,,,,,79,,2025-11-30T22:08:00.000Z,29760
,,,,,,,94,,2025-11-30T22:09:00.000Z,29820
414,1.3809796365921072e-38,,38,1.2943793914968335e-41,,,,,2025-11-30T22:09:00.000Z,29820
,,,,,,,82,,2025-11-30T22:10:00.000Z,29880
,,,40,,,,,,2025-11-30T22:10:00.000Z,
,,,,,,,75,,2025-11-30T22:11:00.000Z,29940
,,,,,,,85,,2025-11-30T22:12:00.000Z,30000
,,,,,,,98,,2025-11-30T22:13:00.000Z,30060
,,,,,,,87,,2025-11-30T22:14:00.000Z,30120
,,,,,,,88,,2025-11-30T22:15:00.000Z,30180
422,1.4230185905218517e-38,,70,1.3470682137554467e-41,,,,,2025-11-30T22:15:00.000Z,30180
,,,,,,,96,,2025-11-30T22:16:00.000Z,30240
,,,,,,,136,,2025-11-30T22:17:00.000Z,30300
,,,,,,,151,,2025-11-30T22:18:00.000Z,30360
,,,,,,,,2,2025-11-30T22:18:00.000Z,30360
,,,,,,,141,,2025-11-30T22:19:00.000Z,30420
,,,,,,,126,,2025-11-30T22:20:00.000Z,30480
,,,,,,,125,,2025-11-30T22:21:00.000Z,30540
,,,,,,,116,,2025-11-30T22:22:00.000Z,30600
,,,,,,,,2,2025-11-30T22:22:00.000Z,30600
,,,,,,,115,,2025-11-30T22:23:00.000Z,30660
,,,,,,,110,,2025-11-30T22:24:00.000Z,30720
,,,,,,,112,,2025-11-30T22:25:00.000Z,30780
,,,,,,,109,,2025-11-30T22:26:00.000Z,30840
,,,,,,,107,,2025-11-30T22:27:00.000Z,30900
,,,,,,,108,,2025-11-30T22:28:00.000Z,30960
,,,,,,,109,,2025-11-30T22:29:00.000Z,31020
,,,,,,,107,,2025-11-30T22:30:00.000Z,31080
476,1.5491354523110853e-38,,70,1.5596451907935214e-41,,,,,2025-11-30T22:30:00.000Z,31080
,,,,,,,108,,2025-11-30T22:31:00.000Z,31140
,,,,,,,112,,2025-11-30T22:32:00.000Z,31200
,,,,,,,110,,2025-11-30T22:33:00.000Z,31260
,,,,,,,109,,2025-11-30T22:34:00.000Z,31320
,,,,,,,99,,2025-11-30T22:35:00.000Z,31380
486,1.5911744062408298e-38,,70,1.5883718093121801e-41,,,,,2025-11-30T22:35:00.000Z,31380
,,,,,,,90,,2025-11-30T22:36:00.000Z,31440
,,,136,,,,,,2025-11-30T22:36:00.000Z,
,,,,,,,92,,2025-11-30T22:38:00.000Z,31560
,,,,,,,98,,2025-11-30T22:39:00.000Z,31620
,,,,,,,110,,2025-11-30T22:40:00.000Z,31680
,,,,,,,109,,2025-11-30T22:41:00.000Z,31740
,,,,,,,128,,2025-11-30T22:42:00.000Z,31800
,,,,,,,125,,2025-11-30T22:43:00.000Z,31860
,,,,,,,107,,2025-11-30T22:44:00.000Z,31920
508,1.66684452331437e-38,,70,1.688424519664972e-41,,,,,2025-11-30T22:45:00.000Z,31980
,,,,,,,125,,2025-11-30T22:46:00.000Z,32040
,,,,,,,121,,2025-11-30T22:47:00.000Z,32100
,,,,,,,112,,2025-11-30T22:48:00.000Z,32160
,,,,,,,101,,2025-11-30T22:49:00.000Z,32220
,,,,,,,92,,2025-11-30T22:50:00.000Z,32280
,,,,,,,90,,2025-11-30T22:51:00.000Z,32340
516,1.7172912680300633e-38,,70,1.7321450317519064e-41,,,,,2025-11-30T22:51:00.000Z,32340
,,,,,,,81,,2025-11-30T22:52:00.000Z,32400
,,,,,,,77,,2025-11-30T22:53:00.000Z,32460
,,,8,,,,,,2025-11-30T22:53:00.000Z,
,,,,,,,75,,2025-11-30T22:54:00.000Z,32520
,,,,,,,76,,2025-11-30T22:55:00.000Z,32580
,,,104,,,,,,2025-11-30T22:56:00.000Z,
,,,,,,,74,,2025-11-30T22:57:00.000Z,32700
,,,,,,,77,,2025-11-30T22:58:00.000Z,32760
,,,,,,,76,,2025-11-30T22:59:00.000Z,32820
,,,8,,,,,,2025-11-30T22:59:00.000Z,
,,,104,,,,,,2025-11-30T23:00:00.000Z,
,,,,,,,74,,2025-11-30T23:02:00.000Z,33000
,,,8,,,,,,2025-11-30T23:03:00.000Z,
,,,,,,,75,,2025-11-30T23:05:00.000Z,33180
,,,72,,,,,,2025-11-30T23:06:00.000Z,
,,,8,,,,,,2025-11-30T23:08:00.000Z,
,,,,,,,74,,2025-11-30T23:09:00.000Z,33420
,,,,,,,77,,2025-11-30T23:10:00.000Z,33480
,,,72,,,,,,2025-11-30T23:10:00.000Z,
,,,,,,,74,,2025-11-30T23:11:00.000Z,33540
,,,,,,,73,,2025-11-30T23:12:00.000Z,33600
,,,8,,,,,,2025-11-30T23:12:00.000Z,
,,,,,,,74,,2025-11-30T23:13:00.000Z,33660
,,,,,,,75,,2025-11-30T23:14:00.000Z,33720
