body_battery,field_four,field_two,stress_level_time,stress_level_value
5,1,204,2025-12-03T06:37:00.000Z,64
5,1,217,2025-12-03T06:38:00.000Z,54
5,1,247,2025-12-03T06:39:00.000Z,32
5,1,246,2025-12-03T06:40:00.000Z,33
5,1,233,2025-12-03T06:41:00.000Z,42
5,1,248,2025-12-03T06:42:00.000Z,31
5,1,245,2025-12-03T06:43:00.000Z,33
5,1,0,2025-12-03T06:44:00.000Z,25
5,1,254,2025-12-03T06:45:00.000Z,27
5,1,248,2025-12-03T06:46:00.000Z,31
5,1,252,2025-12-03T06:47:00.000Z,28
5,1,248,2025-12-03T06:48:00.000Z,31
5,1,215,2025-12-03T06:49:00.000Z,56
5,1,242,2025-12-03T06:50:00.000Z,36
5,1,239,2025-12-03T06:51:00.000Z,38
5,1,243,2025-12-03T06:52:00.000Z,35
5,1,249,2025-12-03T06:53:00.000Z,30
5,1,233,2025-12-03T06:54:00.000Z,42
5,1,246,2025-12-03T06:55:00.000Z,33
5,1,249,2025-12-03T06:56:00.000Z,30
5,1,250,2025-12-03T06:57:00.000Z,30
5,1,253,2025-12-03T06:58:00.000Z,27
5,1,238,2025-12-03T06:59:00.000Z,39
5,1,250,2025-12-03T07:00:00.000Z,30
5,1,102,2025-12-03T07:01:00.000Z,65534
5,1,214,2025-12-03T07:02:00.000Z,57
5,1,209,2025-12-03T07:03:00.000Z,60
5,1,3,2025-12-03T07:04:00.000Z,24
5,1,6,2025-12-03T07:05:00.000Z,23
5,1,36,2025-12-03T07:06:00.000Z,16
5,1,51,2025-12-03T07:07:00.000Z,12
5,1,53,2025-12-03T07:08:00.000Z,12
5,1,47,2025-12-03T07:09:00.000Z,13
5,1,30,2025-12-03T07:10:00.000Z,17
5,1,33,2025-12-03T07:11:00.000Z,17
5,1,43,2025-12-03T07:12:00.000Z,14
5,1,43,2025-12-03T07:13:00.000Z,14
5,1,17,2025-12-03T07:14:00.000Z,21
5,1,52,2025-12-03T07:15:00.000Z,12
5,1,32,2025-12-03T07:16:00.000Z,17
5,1,43,2025-12-03T07:17:00.000Z,14
5,1,42,2025-12-03T07:18:00.000Z,14
5,1,34,2025-12-03T07:19:00.000Z,16
5,1,37,2025-12-03T07:20:00.000Z,16
5,1,19,2025-12-03T07:21:00.000Z,20
5,1,29,2025-12-03T07:22:00.000Z,18
5,1,31,2025-12-03T07:23:00.000Z,17
5,1,33,2025-12-03T07:24:00.000Z,17
5,1,28,2025-12-03T07:25:00.000Z,18
5,1,26,2025-12-03T07:26:00.000Z,18
