active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
25,8.828180325246348e-40,"generic",,0,0,1147,,2025-12-02T00:07:00.000Z,
224,8.533907647738136e-39,"walking",,7.652490913677826e-42,6.26750356347775e-43,1147,,2025-12-02T00:07:00.000Z,
1,6.305843089461677e-41,"running",,3.5032461608120427e-44,4.3033875839415135e-45,1147,,2025-12-02T00:07:00.000Z,
,,,,,,,,2025-12-02T00:07:00.000Z,
,,,,,,,76,2025-12-02T00:11:00.000Z,58004
,,,72,,,,,2025-12-02T00:11:00.000Z,
,,,,,,,74,2025-12-02T00:12:00.000Z,58064
,,,,,,,75,2025-12-02T00:13:00.000Z,58124
,,,,,,,73,2025-12-02T00:14:00.000Z,58184
,,,,,,,74,2025-12-02T00:15:00.000Z,58244
,,,,,,,76,2025-12-02T00:16:00.000Z,58304
,,,,,,,74,2025-12-02T00:17:00.000Z,58364
,,,,,,,77,2025-12-02T00:18:00.000Z,58424
,,,,,,,76,2025-12-02T00:19:00.000Z,58484
,,,8,,,,,2025-12-02T00:19:00.000Z,
,,,,,,,75,2025-12-02T00:20:00.000Z,58544
,,,,,,,76,2025-12-02T00:21:00.000Z,58604
,,,,,,,77,2025-12-02T00:23:00.000Z,58724
,,,,,,,76,2025-12-02T00:24:00.000Z,58784
,,,,,,,73,2025-12-02T00:25:00.000Z,58844
,,,,,,,74,2025-12-02T00:26:00.000Z,58904
,,,,,,,75,2025-12-02T00:27:00.000Z,58964
,,,,,,,74,2025-12-02T00:28:00.000Z,59024
,,,104,,,,,2025-12-02T00:28:00.000Z,
,,,,,,,82,2025-12-02T00:30:00.000Z,59144
225,8.66002450952737e-39,,38,7.73516752307299e-42,,,,2025-12-02T00:30:00.000Z,59144
,,,,,,,94,2025-12-02T00:31:00.000Z,59204
,,,104,,,,,2025-12-02T00:31:00.000Z,
,,,,,,,72,2025-12-02T00:32:00.000Z,59264
,,,8,,,,,2025-12-02T00:32:00.000Z,
,,,,,,,70,2025-12-02T00:33:00.000Z,59324
,,,,,,,71,2025-12-02T00:34:00.000Z,59384
,,,136,,,,,2025-12-02T00:34:00.000Z,
,,,,,,,66,2025-12-02T00:35:00.000Z,59444
,,,8,,,,,2025-12-02T00:35:00.000Z,
,,,,,,,64,2025-12-02T00:36:00.000Z,59504
,,,,,,,65,2025-12-02T00:37:00.000Z,59564
,,,,,,,69,2025-12-02T00:38:00.000Z,59624
,,,,,,,66,2025-12-02T00:39:00.000Z,59684
,,,,,,,68,2025-12-02T00:40:00.000Z,59744
,,,,,,,73,2025-12-02T00:41:00.000Z,59804
,,,,,,,76,2025-12-02T00:42:00.000Z,59864
,,,,,,,86,2025-12-02T00:43:00.000Z,59924
,,,168,,,,,2025-12-02T00:44:00.000Z,
,,,,,,,85,2025-12-02T00:45:00.000Z,60044
225,8.681043986492242e-39,,102,7.760390895430837e-42,,,,2025-12-02T00:45:00.000Z,60044
,,,,,,,91,2025-12-02T00:46:00.000Z,60104
226,8.723082940421986e-39,,134,7.806633744753556e-42,,,,2025-12-02T00:46:00.000Z,60104
,,,,,,,89,2025-12-02T00:47:00.000Z,60164
,,,,,,,86,2025-12-02T00:48:00.000Z,60224
,,,168,,,,,2025-12-02T00:48:00.000Z,
,,,,,,,80,2025-12-02T00:49:00.000Z,60284
226,8.765121894351731e-39,,70,7.840264907897352e-42,,,,2025-12-02T00:49:00.000Z,60284
,,,,,,,81,2025-12-02T00:50:00.000Z,60344
,,,72,,,,,2025-12-02T00:51:00.000Z,
,,,,,,,76,2025-12-02T00:52:00.000Z,60464
226,8.786141371316603e-39,,38,7.858481787933574e-42,,,,2025-12-02T00:52:00.000Z,60464
,,,,,,,80,2025-12-02T00:53:00.000Z,60524
,,,,,,,75,2025-12-02T00:55:00.000Z,60644
,,,,,,,76,2025-12-02T00:56:00.000Z,60704
,,,,,,,74,2025-12-02T00:57:00.000Z,60764
,,,,,,,73,2025-12-02T00:58:00.000Z,60824
,,,,,,,82,2025-12-02T01:00:00.000Z,60944
,,,,,,,79,2025-12-02T01:01:00.000Z,61004
,,,,,,,77,2025-12-02T01:02:00.000Z,61064
,,,104,,,,,2025-12-02T01:02:00.000Z,
,,,,,,,79,2025-12-02T01:03:00.000Z,61124
,,,8,,,,,2025-12-02T01:03:00.000Z,
,,,,,,,81,2025-12-02T01:05:00.000Z,61244
,,,72,,,,,2025-12-02T01:05:00.000Z,
,,,,,,,82,2025-12-02T01:06:00.000Z,61304
,,,,,,,80,2025-12-02T01:07:00.000Z,61364
,,,,,,,79,2025-12-02T01:08:00.000Z,61424
,,,,,,,80,2025-12-02T01:09:00.000Z,61484
,,,8,,,,,2025-12-02T01:09:00.000Z,
,,,,,,,78,2025-12-02T01:10:00.000Z,61544
,,,,,,,79,2025-12-02T01:11:00.000Z,61604
,,,,,,,83,2025-12-02T01:12:00.000Z,61664
,,,,,,,80,2025-12-02T01:13:00.000Z,61724
,,,,,,,82,2025-12-02T01:14:00.000Z,61784
,,,,,,,85,2025-12-02T01:15:00.000Z,61844
,,,104,,,,,2025-12-02T01:15:00.000Z,
,,,,,,,84,2025-12-02T01:16:00.000Z,61904
,,,8,,,,,2025-12-02T01:16:00.000Z,
,,,,,,,81,2025-12-02T01:17:00.000Z,61964
,,,104,,,,,2025-12-02T01:17:00.000Z,
,,,,,,,80,2025-12-02T01:18:00.000Z,62024
,,,8,,,,,2025-12-02T01:18:00.000Z,
,,,,,,,78,2025-12-02T01:20:00.000Z,62144
,,,,,,,80,2025-12-02T01:21:00.000Z,62204
,,,,,,,79,2025-12-02T01:22:00.000Z,62264
,,,,,,,88,2025-12-02T01:23:00.000Z,62324
,,,,,,,85,2025-12-02T01:24:00.000Z,62384
