data16,event,event_type,timestamp
200,,"marker",2025-12-02T08:08:00.000Z
1,,"marker",2025-12-02T08:09:00.000Z
3,,"marker",2025-12-02T08:12:00.000Z
11,,"marker",2025-12-02T08:23:00.000Z
1,,"marker",2025-12-02T08:24:00.000Z
92,,"marker",2025-12-02T09:56:00.000Z
1,,"marker",2025-12-02T09:57:00.000Z
14,,"marker",2025-12-02T10:11:00.000Z
1,,"marker",2025-12-02T10:12:00.000Z
23,,"marker",2025-12-02T10:35:00.000Z
1,,"marker",2025-12-02T10:36:00.000Z
43,,"marker",2025-12-02T11:19:00.000Z
1,,"marker",2025-12-02T11:20:00.000Z
1,,"marker",2025-12-02T11:21:00.000Z
1,,"marker",2025-12-02T11:22:00.000Z
41,,"marker",2025-12-02T12:03:00.000Z
1,,"marker",2025-12-02T12:04:00.000Z
5,,"marker",2025-12-02T12:09:00.000Z
1,,"marker",2025-12-02T12:10:00.000Z
62,,"marker",2025-12-02T13:12:00.000Z
1,,"marker",2025-12-02T13:13:00.000Z
1,,"marker",2025-12-02T13:14:00.000Z
1,,"marker",2025-12-02T13:15:00.000Z
2,,"marker",2025-12-02T13:17:00.000Z
1,,"marker",2025-12-02T13:18:00.000Z
10,,"marker",2025-12-02T13:28:00.000Z
2,,"marker",2025-12-02T13:30:00.000Z
1,,"marker",2025-12-02T13:31:00.000Z
9,,"marker",2025-12-02T13:40:00.000Z
1,,"marker",2025-12-02T13:41:00.000Z
17,,"marker",2025-12-02T13:58:00.000Z
1,,"marker",2025-12-02T13:59:00.000Z
10,,"marker",2025-12-02T14:09:00.000Z
1,,"marker",2025-12-02T14:10:00.000Z
5,,"marker",2025-12-02T14:15:00.000Z
2,,"marker",2025-12-02T14:17:00.000Z
6,,"marker",2025-12-02T14:23:00.000Z
3,,"marker",2025-12-02T14:26:00.000Z
2,,"marker",2025-12-02T14:28:00.000Z
14,,"marker",2025-12-02T14:42:00.000Z
