active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
,,,,,,,,2025-11-07T05:00:00.000Z,
,,,8,,,,,2025-11-07T05:00:00.000Z,
,,,,,,,72,2025-11-07T05:01:00.000Z,12556
,,,104,,,,,2025-11-07T05:01:00.000Z,
,,,,,,,73,2025-11-07T05:02:00.000Z,12616
,,,8,,,,,2025-11-07T05:02:00.000Z,
,,,,,,,74,2025-11-07T05:03:00.000Z,12676
,,,,,,,73,2025-11-07T05:06:00.000Z,12856
,,,,,,,74,2025-11-07T05:07:00.000Z,12916
,,,72,,,,,2025-11-07T05:07:00.000Z,
,,,,,,,80,2025-11-07T05:08:00.000Z,12976
,,,,,,,89,2025-11-07T05:09:00.000Z,13036
,,,,,,,95,2025-11-07T05:10:00.000Z,13096
,,,,,,,93,2025-11-07T05:11:00.000Z,13156
,,,,,,,95,2025-11-07T05:12:00.000Z,13216
,,,,,,,97,2025-11-07T05:13:00.000Z,13276
,,,,,,,100,2025-11-07T05:14:00.000Z,13336
,,,,,,,94,2025-11-07T05:15:00.000Z,13396
10,5.324934164434305e-40,,38,5.310921179791057e-43,,,,2025-11-07T05:15:00.000Z,13396
,,,,,,,98,2025-11-07T05:16:00.000Z,13456
,,,,,,,96,2025-11-07T05:17:00.000Z,13516
,,,,,,,94,2025-11-07T05:18:00.000Z,13576
,,,,,,,88,2025-11-07T05:19:00.000Z,13636
,,,,,,,86,2025-11-07T05:20:00.000Z,13696
,,,,,,,91,2025-11-07T05:21:00.000Z,13756
16,1.0299543712787405e-39,,38,7.847271400218976e-43,,,,2025-11-07T05:21:00.000Z,13756
,,,,,,,80,2025-11-07T05:22:00.000Z,13816
,,,8,,,,,2025-11-07T05:22:00.000Z,
,,,,,,,79,2025-11-07T05:23:00.000Z,13876
,,,104,,,,,2025-11-07T05:23:00.000Z,
,,,,,,,82,2025-11-07T05:24:00.000Z,13936
,,,,,,,76,2025-11-07T05:25:00.000Z,13996
,,,8,,,,,2025-11-07T05:26:00.000Z,
,,,,,,,74,2025-11-07T05:28:00.000Z,14176
,,,,,,,72,2025-11-07T05:29:00.000Z,14236
,,,104,,,,,2025-11-07T05:29:00.000Z,
,,,,,,,74,2025-11-07T05:30:00.000Z,14296
,,,,,,,72,2025-11-07T05:31:00.000Z,14356
,,,8,,,,,2025-11-07T05:31:00.000Z,
,,,,,,,73,2025-11-07T05:34:00.000Z,14536
,,,,,,,72,2025-11-07T05:35:00.000Z,14596
,,,,,,,73,2025-11-07T05:37:00.000Z,14716
,,,,,,,74,2025-11-07T05:41:00.000Z,14956
,,,,,,,73,2025-11-07T05:42:00.000Z,15016
,,,,,,,72,2025-11-07T05:43:00.000Z,15076
,,,,,,,73,2025-11-07T05:44:00.000Z,15136
,,,,,,,71,2025-11-07T05:45:00.000Z,15196
,,,,,,,73,2025-11-07T05:46:00.000Z,15256
,,,,,,,72,2025-11-07T05:47:00.000Z,15316
,,,72,,,,,2025-11-07T05:47:00.000Z,
,,,8,,,,,2025-11-07T05:48:00.000Z,
,,,,,,,71,2025-11-07T05:51:00.000Z,15556
,,,104,,,,,2025-11-07T05:51:00.000Z,
,,,,,,,70,2025-11-07T05:52:00.000Z,15616
,,,8,,,,,2025-11-07T05:52:00.000Z,
,,,,,,,71,2025-11-07T05:54:00.000Z,15736
,,,,,,,72,2025-11-07T05:57:00.000Z,15916
,,,72,,,,,2025-11-07T05:57:00.000Z,
,,,,,,,75,2025-11-07T05:58:00.000Z,15976
,,,8,,,,,2025-11-07T05:58:00.000Z,
,,,,,,,74,2025-11-07T05:59:00.000Z,16036
,,,,,,,75,2025-11-07T06:00:00.000Z,16096
,,,,,,,74,2025-11-07T06:01:00.000Z,16156
,,,136,,,,,2025-11-07T06:01:00.000Z,
,,,,,,,76,2025-11-07T06:02:00.000Z,16216
,,,,,,,74,2025-11-07T06:04:00.000Z,16336
,,,,,,,76,2025-11-07T06:06:00.000Z,16456
,,,,,,,75,2025-11-07T06:07:00.000Z,16516
,,,104,,,,,2025-11-07T06:07:00.000Z,
,,,,,,,76,2025-11-07T06:08:00.000Z,16576
,,,8,,,,,2025-11-07T06:08:00.000Z,
,,,104,,,,,2025-11-07T06:09:00.000Z,
,,,,,,,81,2025-11-07T06:10:00.000Z,16696
17,1.1140322791382296e-39,,102,8.870219279176092e-43,,,,2025-11-07T06:10:00.000Z,16696
,,,,,,,98,2025-11-07T06:11:00.000Z,16756
,,,,,,,82,2025-11-07T06:13:00.000Z,16876
,,,,,,,76,2025-11-07T06:14:00.000Z,16936
,,,136,,,,,2025-11-07T06:14:00.000Z,
,,,,,,,75,2025-11-07T06:15:00.000Z,16996
,,,8,,,,,2025-11-07T06:15:00.000Z,
,,,,,,,76,2025-11-07T06:16:00.000Z,17056
,,,,,,,77,2025-11-07T06:17:00.000Z,17116
,,,104,,,,,2025-11-07T06:17:00.000Z,
,,,,,,,78,2025-11-07T06:18:00.000Z,17176
,,,8,,,,,2025-11-07T06:18:00.000Z,
