active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
3,1.6815581571897805e-40,"generic",,0,0,780,,2025-11-26T17:59:00.000Z,
102,5.8420132977701624e-39,"walking",,3.786308450605656e-42,3.101003436627604e-43,780,,2025-11-26T17:59:00.000Z,
,,,,,,,,2025-11-26T17:59:00.000Z,
,,,8,,,,,2025-11-26T17:59:00.000Z,
,5.886854848628557e-39,,70,3.8045253306418783e-42,,,,2025-11-26T18:00:00.000Z,62496
,,,,,,,81,2025-11-26T18:01:00.000Z,62556
,,,8,,,,,2025-11-26T18:01:00.000Z,
,,,,,,,82,2025-11-26T18:02:00.000Z,62616
103,5.970932756488046e-39,,70,3.8199396137494513e-42,,,,2025-11-26T18:02:00.000Z,62616
,,,,,,,83,2025-11-26T18:03:00.000Z,62676
,,,,,,,82,2025-11-26T18:05:00.000Z,62796
,,,104,,,,,2025-11-26T18:07:00.000Z,
,,,,,,,89,2025-11-26T18:09:00.000Z,63036
,,,,,,,114,2025-11-26T18:10:00.000Z,63096
,,,,,,,123,2025-11-26T18:11:00.000Z,63156
,,,,,,,97,2025-11-26T18:12:00.000Z,63216
,,,,,,,99,2025-11-26T18:13:00.000Z,63276
,,,,,,,104,2025-11-26T18:14:00.000Z,63336
,,,,,,,118,2025-11-26T18:15:00.000Z,63396
124,6.643556019363958e-39,,70,4.751803092525455e-42,,,,2025-11-26T18:15:00.000Z,63396
,,,,,,,122,2025-11-26T18:16:00.000Z,63456
,,,,,,,117,2025-11-26T18:17:00.000Z,63516
8,3.363116314379561e-40,,160,0,,,,2025-11-26T18:17:00.000Z,63516
,,,,,,,99,2025-11-26T18:18:00.000Z,63576
,,,,,,,97,2025-11-26T18:19:00.000Z,63636
,,,136,,,,,2025-11-26T18:19:00.000Z,
,,,,,,,96,2025-11-26T18:20:00.000Z,63696
125,6.727633927223447e-39,,70,4.763013480240053e-42,,,,2025-11-26T18:20:00.000Z,63696
,,,,,,,95,2025-11-26T18:21:00.000Z,63756
,,,136,,,,,2025-11-26T18:21:00.000Z,
,,,,,,,96,2025-11-26T18:22:00.000Z,63816
,,,,,,,108,2025-11-26T18:23:00.000Z,63876
,,,,,,,116,2025-11-26T18:24:00.000Z,63936
,,,,,,,124,2025-11-26T18:25:00.000Z,63996
,,,,,,,122,2025-11-26T18:26:00.000Z,64056
,,,,,,,116,2025-11-26T18:27:00.000Z,64116
,,,,,,,117,2025-11-26T18:28:00.000Z,64176
,,,,,,,123,2025-11-26T18:29:00.000Z,64236
,,,,,,,129,2025-11-26T18:30:00.000Z,64296
155,7.484335097958848e-39,,70,5.991952233452918e-42,,,,2025-11-26T18:30:00.000Z,64296
,,,,,,,130,2025-11-26T18:31:00.000Z,64356
,,,,,,,124,2025-11-26T18:32:00.000Z,64416
,,,,,,,125,2025-11-26T18:33:00.000Z,64476
,,,,,,,127,2025-11-26T18:34:00.000Z,64536
,,,,,,,124,2025-11-26T18:35:00.000Z,64596
173,7.904724637256293e-39,,70,6.658970302471531e-42,,,,2025-11-26T18:35:00.000Z,64596
,,,,,,,125,2025-11-26T18:37:00.000Z,64716
,,,,,,,121,2025-11-26T18:38:00.000Z,64776
,,,,,,,122,2025-11-26T18:39:00.000Z,64836
,,,,,,,126,2025-11-26T18:40:00.000Z,64896
188,8.325114176553738e-39,,70,7.04292608169653e-42,,,,2025-11-26T18:40:00.000Z,64896
,,,,,,,114,2025-11-26T18:41:00.000Z,64956
9,4.203895392974451e-40,,96,0,,,,2025-11-26T18:41:00.000Z,64956
,,,,,,,97,2025-11-26T18:42:00.000Z,65016
,,,,,,,99,2025-11-26T18:43:00.000Z,65076
,,,,,,,97,2025-11-26T18:44:00.000Z,65136
,,,,,,,87,2025-11-26T18:45:00.000Z,65196
,,,136,,,,,2025-11-26T18:45:00.000Z,
188,8.409192084413227e-39,,38,7.079359841768976e-42,,,,2025-11-26T18:46:00.000Z,65256
,,,,,,,82,2025-11-26T18:48:00.000Z,65376
,,,,,,,80,2025-11-26T18:50:00.000Z,65496
,,,,,,,83,2025-11-26T18:51:00.000Z,20
,,,,,,,81,2025-11-26T18:53:00.000Z,140
,,,104,,,,,2025-11-26T18:54:00.000Z,
,,,,,,,80,2025-11-26T18:55:00.000Z,260
,,,8,,,,,2025-11-26T18:55:00.000Z,
,,,,,,,79,2025-11-26T18:56:00.000Z,320
,,,,,,,78,2025-11-26T18:57:00.000Z,380
,,,,,,,80,2025-11-26T18:58:00.000Z,440
,,,,,,,79,2025-11-26T18:59:00.000Z,500
,,,,,,,76,2025-11-26T19:00:00.000Z,560
,,,,,,,77,2025-11-26T19:01:00.000Z,620
,,,,,,,76,2025-11-26T19:04:00.000Z,800
,,,,,,,78,2025-11-26T19:05:00.000Z,860
,,,,,,,77,2025-11-26T19:07:00.000Z,980
,,,,,,,78,2025-11-26T19:08:00.000Z,1040
,,,104,,,,,2025-11-26T19:09:00.000Z,
,,,,,,,77,2025-11-26T19:10:00.000Z,1160
,,,8,,,,,2025-11-26T19:10:00.000Z,
,,,,,,,76,2025-11-26T19:11:00.000Z,1220
,,,,,,,77,2025-11-26T19:12:00.000Z,1280
,,,,,,,79,2025-11-26T19:13:00.000Z,1340
,,,,,,,78,2025-11-26T19:15:00.000Z,1460
,,,,,,,77,2025-11-26T19:16:00.000Z,1520
,,,,,,,81,2025-11-26T19:17:00.000Z,1580
,,,,,,,78,2025-11-26T19:18:00.000Z,1640
,,,,,,,76,2025-11-26T19:19:00.000Z,1700
,,,,,,,78,2025-11-26T19:20:00.000Z,1760
,,,,,,,82,2025-11-26T19:21:00.000Z,1820
,,,,,,,80,2025-11-26T19:22:00.000Z,1880
,,,104,,,,,2025-11-26T19:23:00.000Z,
,,,,,,,82,2025-11-26T19:24:00.000Z,2000
,,,,,,,89,2025-11-26T19:25:00.000Z,2060
,,,,,,,102,2025-11-26T19:26:00.000Z,2120
192,8.661425807991694e-39,,102,7.257324746738228e-42,,,,2025-11-26T19:26:00.000Z,2120
,,,,,,,81,2025-11-26T19:27:00.000Z,2180
,,,,,,,68,2025-11-26T19:28:00.000Z,2240
,,,104,,,,,2025-11-26T19:28:00.000Z,
,,,,,,,76,2025-11-26T19:29:00.000Z,2300
,,,8,,,,,2025-11-26T19:29:00.000Z,
,,,,,,,74,2025-11-26T19:31:00.000Z,2420
,,,,,,,75,2025-11-26T19:32:00.000Z,2480
,,,,,,,74,2025-11-26T19:33:00.000Z,2540
,,,,,,,73,2025-11-26T19:34:00.000Z,2600
,,,,,,,74,2025-11-26T19:35:00.000Z,2660
,,,104,,,,,2025-11-26T19:36:00.000Z,
,,,,,,,76,2025-11-26T19:37:00.000Z,2780
,,,104,,,,,2025-11-26T19:37:00.000Z,
,,,,,,,75,2025-11-26T19:38:00.000Z,2840
,,,8,,,,,2025-11-26T19:38:00.000Z,
,,,,,,,73,2025-11-26T19:39:00.000Z,2900
,,,,,,,74,2025-11-26T19:40:00.000Z,2960
,,,,,,,77,2025-11-26T19:41:00.000Z,3020
,,,,,,,84,2025-11-26T19:42:00.000Z,3080
,,,,,,,86,2025-11-26T19:44:00.000Z,3200
,,,,,,,81,2025-11-26T19:46:00.000Z,3320
,,,,,,,82,2025-11-26T19:47:00.000Z,3380
,,,,,,,79,2025-11-26T19:49:00.000Z,3500
,,,,,,,87,2025-11-26T19:50:00.000Z,3560
,,,,,,,91,2025-11-26T19:51:00.000Z,3620
,,,,,,,84,2025-11-26T19:52:00.000Z,3680
,,,,,,,78,2025-11-26T19:53:00.000Z,3740
,,,,,,,80,2025-11-26T19:54:00.000Z,3800
,,,,,,,74,2025-11-26T19:55:00.000Z,3860
,,,136,,,,,2025-11-26T19:55:00.000Z,
,,,,,,,75,2025-11-26T19:56:00.000Z,3920
,,,8,,,,,2025-11-26T19:56:00.000Z,
,,,,,,,76,2025-11-26T19:58:00.000Z,4040
,,,136,,,,,2025-11-26T19:58:00.000Z,
,,,,,,,77,2025-11-26T19:59:00.000Z,4100
,,,,,,,85,2025-11-26T20:00:00.000Z,4160
192,8.829581623710672e-39,,102,7.307771491453921e-42,,,,2025-11-26T20:00:00.000Z,4160
,,,,,,,84,2025-11-26T20:01:00.000Z,4220
,,,,,,,70,2025-11-26T20:02:00.000Z,4280
,,,,,,,69,2025-11-26T20:03:00.000Z,4340
,,,,,,,70,2025-11-26T20:04:00.000Z,4400
,,,,,,,69,2025-11-26T20:05:00.000Z,4460
,,,,,,,66,2025-11-26T20:06:00.000Z,4520
,,,,,,,70,2025-11-26T20:07:00.000Z,4580
,,,,,,,72,2025-11-26T20:08:00.000Z,4640
,,,136,,,,,2025-11-26T20:08:00.000Z,
,,,,,,,71,2025-11-26T20:09:00.000Z,4700
192,8.913659531570161e-39,,134,7.324587073025819e-42,,,,2025-11-26T20:09:00.000Z,4700
,,,,,,,73,2025-11-26T20:10:00.000Z,4760
,,,,,,,72,2025-11-26T20:11:00.000Z,4820
,,,,,,,73,2025-11-26T20:12:00.000Z,4880
,,,,,,,75,2025-11-26T20:14:00.000Z,5000
,,,,,,,77,2025-11-26T20:15:00.000Z,5060
