active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
170,7.146622168056567e-39,"generic",,0,0,1069,,2025-11-23T22:49:00.000Z,
861,5.050158593239323e-38,"walking",,2.5594716450892784e-41,2.096245813035888e-42,1069,,2025-11-23T22:49:00.000Z,
26,7.567011707354012e-40,"running",,6.992479336980837e-43,8.590239846003994e-44,1069,,2025-11-23T22:49:00.000Z,
,,,,,,,,2025-11-23T22:49:00.000Z,
,,,,,,,91,2025-11-23T22:50:00.000Z,17304
,,,,,,,101,2025-11-23T22:51:00.000Z,17364
865,5.095000144097717e-38,,70,2.5688603448002547e-41,,,,2025-11-23T22:51:00.000Z,17364
,,,,,,,105,2025-11-23T22:52:00.000Z,17424
171,7.230700075916056e-39,,128,0,,,,2025-11-23T22:52:00.000Z,17424
,,,,,,,98,2025-11-23T22:53:00.000Z,17484
,,,72,,,,,2025-11-23T22:53:00.000Z,
171,7.230700075916056e-39,"generic",,0,0,1073,,2025-11-23T22:53:00.000Z,
865,5.095000144097717e-38,"walking",,2.5688603448002547e-41,2.1039347377096384e-42,1073,,2025-11-23T22:53:00.000Z,
26,7.567011707354012e-40,"running",,6.992479336980837e-43,8.590239846003994e-44,1073,,2025-11-23T22:53:00.000Z,
,,,,,,,,2025-11-23T22:53:00.000Z,
