active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
,,,,,,,88,,2025-11-24T00:16:00.000Z,22464,
,,,,,,,86,,2025-11-24T00:17:00.000Z,22524,
,,,136,,,,,,2025-11-24T00:17:00.000Z,,
,,,,,,,88,,2025-11-24T00:19:00.000Z,22644,
873,5.666729917542243e-38,,38,2.6299569578448167e-41,,,,,2025-11-24T00:19:00.000Z,22644,
,,,,,,,91,,2025-11-24T00:20:00.000Z,22704,
,,,,,,,88,,2025-11-24T00:21:00.000Z,22764,
,,,,,,,89,,2025-11-24T00:22:00.000Z,22824,
,,,136,,,,,,2025-11-24T00:22:00.000Z,,
,,,,,,,88,,2025-11-24T00:23:00.000Z,22884,
874,5.733992243829834e-38,,70,2.636122671087846e-41,,,,,2025-11-24T00:24:00.000Z,22944,
,,,,,,,89,,2025-11-24T00:25:00.000Z,23004,
,,,,,,,88,,2025-11-24T00:26:00.000Z,23064,
,,,,,,,92,,2025-11-24T00:27:00.000Z,23124,
,,,,,,,91,,2025-11-24T00:28:00.000Z,23184,
,,,,,,,97,,2025-11-24T00:29:00.000Z,23244,
,,,136,,,,,,2025-11-24T00:29:00.000Z,,
,,,,,,,102,,2025-11-24T00:30:00.000Z,23304,
173,7.314777983775545e-39,,128,0,,,,,2025-11-24T00:30:00.000Z,23304,
,,,,,,,99,,2025-11-24T00:31:00.000Z,23364,
,,,104,,,,,,2025-11-24T00:32:00.000Z,,
,,,,,,,104,,2025-11-24T00:33:00.000Z,23484,
877,5.767623406973629e-38,,38,2.637103580012873e-41,,,,,2025-11-24T00:33:00.000Z,23484,
,,,,,,,107,,2025-11-24T00:34:00.000Z,23544,
,,,,,,,110,,2025-11-24T00:35:00.000Z,23604,
,,,,,,,104,,2025-11-24T00:36:00.000Z,23664,
,,,,,,,101,,2025-11-24T00:37:00.000Z,23724,
181,7.651089615213501e-39,,128,0,,,,,2025-11-24T00:37:00.000Z,23724,
,,,,,,,100,,2025-11-24T00:38:00.000Z,23784,
,,,,,,,97,,2025-11-24T00:39:00.000Z,23844,
,,,,,,,93,,2025-11-24T00:40:00.000Z,23904,
,,,,,,,91,,2025-11-24T00:41:00.000Z,23964,
,,,136,,,,,,2025-11-24T00:41:00.000Z,,
,,,,,,,93,,2025-11-24T00:42:00.000Z,24024,
879,5.801254570117425e-38,,70,2.6410272157129827e-41,,,,,2025-11-24T00:42:00.000Z,24024,
,,,,,,,105,,2025-11-24T00:43:00.000Z,24084,
182,7.73516752307299e-39,,160,0,,,,,2025-11-24T00:43:00.000Z,24084,
,,,,,,,101,,2025-11-24T00:44:00.000Z,24144,
,,,,,,,95,,2025-11-24T00:45:00.000Z,24204,
886,5.868516896405016e-38,,102,2.6484540975739043e-41,,,,,2025-11-24T00:45:00.000Z,24204,
,,,,,,,116,,2025-11-24T00:46:00.000Z,24264,
,,,,,,,124,,2025-11-24T00:47:00.000Z,24324,
,,,,,,,122,,2025-11-24T00:48:00.000Z,24384,
,,,,,,,123,,2025-11-24T00:49:00.000Z,24444,
,,,,,,,127,,2025-11-24T00:50:00.000Z,24504,
,,,,,,,130,,2025-11-24T00:51:00.000Z,24564,
922,6.103935038411585e-38,,102,2.733372784511988e-41,,,,,2025-11-24T00:52:00.000Z,24624,
,,,,,,,127,,2025-11-24T00:53:00.000Z,24684,
185,7.819245430932479e-39,,160,0,,,,,2025-11-24T00:53:00.000Z,24684,
,,,,,,,114,,2025-11-24T00:54:00.000Z,24744,
,,,,,,,121,,2025-11-24T00:55:00.000Z,24804,
,,,,,,,116,,2025-11-24T00:56:00.000Z,24864,
,,,,,,,112,,2025-11-24T00:57:00.000Z,24924,
931,6.238459690986768e-38,,70,2.769105895352271e-41,,,,,2025-11-24T00:57:00.000Z,24924,
,,,,,,,110,,2025-11-24T00:58:00.000Z,24984,
,,,,,,,109,,2025-11-24T00:59:00.000Z,25044,
188,7.987401246651457e-39,,160,0,,,,,2025-11-24T00:59:00.000Z,25044,
,,,,,,,105,,2025-11-24T01:00:00.000Z,25104,
932,6.272090854130564e-38,,38,2.7747110892095703e-41,,,,,2025-11-24T01:00:00.000Z,25104,
,,,,,,,102,,2025-11-24T01:01:00.000Z,25164,
189,8.071479154510946e-39,,128,0,,,,,2025-11-24T01:01:00.000Z,25164,
,,,,,,,101,,2025-11-24T01:02:00.000Z,25224,
,,,,,,,95,,2025-11-24T01:03:00.000Z,25284,
,,,,,,,98,,2025-11-24T01:04:00.000Z,25344,
,,,,,,,97,,2025-11-24T01:05:00.000Z,25404,
,,,,,,,98,,2025-11-24T01:06:00.000Z,25464,
,,,,,,,101,,2025-11-24T01:08:00.000Z,25584,
,,,,,,,95,,2025-11-24T01:09:00.000Z,25644,
,,,168,,,,,,2025-11-24T01:09:00.000Z,,
,,,,,,,104,,2025-11-24T01:10:00.000Z,25704,
,,,,,,,97,,2025-11-24T01:11:00.000Z,25764,
934,6.339353180418155e-38,,70,2.7835392695348166e-41,,,,,2025-11-24T01:11:00.000Z,25764,
,,,,,,,96,,2025-11-24T01:12:00.000Z,25824,
,,,168,,,,,,2025-11-24T01:12:00.000Z,,
,,,,,,,98,,2025-11-24T01:13:00.000Z,25884,
,,,,,,,92,,2025-11-24T01:14:00.000Z,25944,
937,6.406615506705746e-38,,70,2.790966151395738e-41,,,,,2025-11-24T01:14:00.000Z,25944,
,,,,,,,107,,2025-11-24T01:15:00.000Z,26004,
190,8.155557062370435e-39,,128,0,,,,,2025-11-24T01:15:00.000Z,26004,
,,,,,,,102,,2025-11-24T01:16:00.000Z,26064,
,,,168,,,,,,2025-11-24T01:16:00.000Z,,
,,,,,,,93,,2025-11-24T01:17:00.000Z,26124,
,,,,,,,89,,2025-11-24T01:18:00.000Z,26184,
,,,,,,,93,,2025-11-24T01:19:00.000Z,26244,
,,,,,,,95,,2025-11-24T01:20:00.000Z,26304,
,,,,,,,92,,2025-11-24T01:21:00.000Z,26364,
,,,,,,,98,,2025-11-24T01:22:00.000Z,26424,
,,,,,,,105,,2025-11-24T01:23:00.000Z,26484,
,,,,,,,103,,2025-11-24T01:24:00.000Z,26544,
946,6.675664811856111e-38,,70,2.822915756382344e-41,,,,,2025-11-24T01:24:00.000Z,26544,
,,,,,,,106,,2025-11-24T01:25:00.000Z,26604,
190,8.239634970229924e-39,,160,0,,,,,2025-11-24T01:25:00.000Z,26604,
,,,,,,,94,,2025-11-24T01:26:00.000Z,26664,
,,,168,,,,,,2025-11-24T01:26:00.000Z,,
,,,,,,,88,,2025-11-24T01:27:00.000Z,26724,
,,,,,,,90,,2025-11-24T01:28:00.000Z,26784,
948,6.742927138143702e-38,,102,2.8273999114681834e-41,,,,,2025-11-24T01:28:00.000Z,26784,
