data16,event,event_type,timestamp
200,,"marker",2025-11-09T07:18:00.000Z
8,,"marker",2025-11-09T07:22:00.000Z
2,,"marker",2025-11-09T07:24:00.000Z
110,,"marker",2025-11-09T09:14:00.000Z
2,,"marker",2025-11-09T09:16:00.000Z
34,,"marker",2025-11-09T09:50:00.000Z
1,,"marker",2025-11-09T09:51:00.000Z
111,,"marker",2025-11-09T11:42:00.000Z
1,,"marker",2025-11-09T11:43:00.000Z
27,,"marker",2025-11-09T12:10:00.000Z
1,,"marker",2025-11-09T12:11:00.000Z
29,,"marker",2025-11-09T12:40:00.000Z
2,,"marker",2025-11-09T12:42:00.000Z
2,,"marker",2025-11-09T12:44:00.000Z
3,,"marker",2025-11-09T12:47:00.000Z
2,,"marker",2025-11-09T12:49:00.000Z
3,,"marker",2025-11-09T12:52:00.000Z
1,,"marker",2025-11-09T12:53:00.000Z
1,,"marker",2025-11-09T12:54:00.000Z
1,,"marker",2025-11-09T12:55:00.000Z
3,,"marker",2025-11-09T12:58:00.000Z
1,,"marker",2025-11-09T12:59:00.000Z
25,,"marker",2025-11-09T13:24:00.000Z
2,,"marker",2025-11-09T13:26:00.000Z
2,,"marker",2025-11-09T13:28:00.000Z
1,,"marker",2025-11-09T13:29:00.000Z
11,,"marker",2025-11-09T13:40:00.000Z
2,,"marker",2025-11-09T13:42:00.000Z
3,,"marker",2025-11-09T13:45:00.000Z
10,,"marker",2025-11-09T13:55:00.000Z
2,,"marker",2025-11-09T13:57:00.000Z
10,,"marker",2025-11-09T14:07:00.000Z
4,,"marker",2025-11-09T14:11:00.000Z
4,,"marker",2025-11-09T14:15:00.000Z
1,,"marker",2025-11-09T14:16:00.000Z
4,,"marker",2025-11-09T14:20:00.000Z
1,,"marker",2025-11-09T14:21:00.000Z
3,,"marker",2025-11-09T14:24:00.000Z
6,,"marker",2025-11-09T14:30:00.000Z
1,,"marker",2025-11-09T14:31:00.000Z
1,,"marker",2025-11-09T14:32:00.000Z
1,,"marker",2025-11-09T14:33:00.000Z
6,,"marker",2025-11-09T14:39:00.000Z
1,,"marker",2025-11-09T14:40:00.000Z
11,,"marker",2025-11-09T14:51:00.000Z
1,,"marker",2025-11-09T14:52:00.000Z
1,,"marker",2025-11-09T14:53:00.000Z
2,,"marker",2025-11-09T14:55:00.000Z
3,,"marker",2025-11-09T14:58:00.000Z
1,,"marker",2025-11-09T14:59:00.000Z
15,,"marker",2025-11-09T15:14:00.000Z
3,,"marker",2025-11-09T15:17:00.000Z
1,,"marker",2025-11-09T15:18:00.000Z
2,,"marker",2025-11-09T15:20:00.000Z
1,,"marker",2025-11-09T15:21:00.000Z
15,,"marker",2025-11-09T15:36:00.000Z
1,,"marker",2025-11-09T15:37:00.000Z
2,,"marker",2025-11-09T15:39:00.000Z
1,,"marker",2025-11-09T15:40:00.000Z
5,,"marker",2025-11-09T15:45:00.000Z
1,,"marker",2025-11-09T15:46:00.000Z
11,,"marker",2025-11-09T15:57:00.000Z
1,,"marker",2025-11-09T15:58:00.000Z
2,,"marker",2025-11-09T16:00:00.000Z
1,,"marker",2025-11-09T16:01:00.000Z
5,,"marker",2025-11-09T16:06:00.000Z
1,,"marker",2025-11-09T16:07:00.000Z
1,,"marker",2025-11-09T16:08:00.000Z
1,,"marker",2025-11-09T16:09:00.000Z
2,,"marker",2025-11-09T16:11:00.000Z
1,,"marker",2025-11-09T16:12:00.000Z
3,,"marker",2025-11-09T16:15:00.000Z
2,,"marker",2025-11-09T16:17:00.000Z
1,,"marker",2025-11-09T16:18:00.000Z
