Time,Domain,Company,Download (kB),Upload (kB)
2025-12-01T19:16:00.000Z,,,0,0.196
2025-12-01T19:16:00.000Z,google.com,,37.063,8.685
2025-12-01T19:16:00.000Z,googleapis.com,,79.888,32.883
2025-12-01T19:15:00.000Z,,,0,0.079
2025-12-01T19:15:00.000Z,google.com,,0.377,0.219
2025-12-01T19:15:00.000Z,googlevideo.com,,17.499,7.123
2025-12-01T19:15:00.000Z,googleapis.com,,7.791,9.159
2025-12-01T19:14:00.000Z,actiondash.com,,0.325,0.303
2025-12-01T19:14:00.000Z,youtube.com,Google,4.498,6.543
2025-12-01T19:14:00.000Z,,,0,0.138
2025-12-01T19:14:00.000Z,google.com,Google,0.853,0.052
2025-12-01T19:14:00.000Z,googleapis.com,Google,14.08,14.576
