active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
141,5.990550934988593e-39,"generic",,0,0,982,,2025-11-16T21:22:00.000Z,,
474,1.4855165020307386e-38,"walking",,1.4357704065472076e-41,1.1759150206212779e-42,982,,2025-11-16T21:22:00.000Z,,
1,8.407790785948902e-41,"running",,1.5974802493302915e-43,1.9625184992869064e-44,982,,2025-11-16T21:22:00.000Z,,
,,,,,,,,2025-11-16T21:22:00.000Z,,
,,,72,,,,,2025-11-16T21:23:00.000Z,,
474,1.4939242928166875e-38,,38,1.436751315472235e-41,,,,2025-11-16T21:24:00.000Z,62704,
,,,,,,,87,2025-11-16T21:26:00.000Z,62824,
,,,104,,,,,2025-11-16T21:26:00.000Z,,
,,,,,,,90,2025-11-16T21:27:00.000Z,62884,
,,,,,,,105,2025-11-16T21:28:00.000Z,62944,
478,1.5107398743885853e-38,,38,1.4479617031868335e-41,,,,2025-11-16T21:28:00.000Z,62944,
,,,,,,,102,2025-11-16T21:29:00.000Z,63004,
,,,136,,,,,2025-11-16T21:29:00.000Z,,
,,,,,,,106,2025-11-16T21:30:00.000Z,63064,
481,1.5191476651745342e-38,,38,1.4581911819764046e-41,,,,2025-11-16T21:30:00.000Z,63064,
,,,,,,,117,2025-11-16T21:31:00.000Z,63124,
,,,,,,,113,2025-11-16T21:32:00.000Z,63184,
148,6.158706750707571e-39,,160,0,,,,2025-11-16T21:32:00.000Z,63184,
,,,,,,,105,2025-11-16T21:33:00.000Z,63244,
,,,,,,,108,2025-11-16T21:34:00.000Z,63304,
,,,,,,,107,2025-11-16T21:35:00.000Z,63364,
,,,,,,,97,2025-11-16T21:36:00.000Z,63424,
,,,,,,,101,2025-11-16T21:37:00.000Z,63484,
489,1.5611866191042787e-38,,70,1.5014913045240415e-41,,,,2025-11-16T21:37:00.000Z,63484,
,,,,,,,86,2025-11-16T21:38:00.000Z,63544,
,,,,,,,85,2025-11-16T21:39:00.000Z,63604,
,,,,,,,87,2025-11-16T21:40:00.000Z,63664,
,,,,,,,82,2025-11-16T21:41:00.000Z,63724,
,,,,,,,83,2025-11-16T21:42:00.000Z,63784,
,,,136,,,,,2025-11-16T21:42:00.000Z,,
,,,,,,,82,2025-11-16T21:43:00.000Z,63844,
,,,8,,,,,2025-11-16T21:43:00.000Z,,
,,,,,,,84,2025-11-16T21:44:00.000Z,63904,
,,,,,,,83,2025-11-16T21:45:00.000Z,63964,
,,,,,,,82,2025-11-16T21:46:00.000Z,64024,
,,,,,,,79,2025-11-16T21:47:00.000Z,64084,
,,,,,,,85,2025-11-16T21:48:00.000Z,64144,
,,,,,,,82,2025-11-16T21:49:00.000Z,64204,
,,,,,,,80,2025-11-16T21:50:00.000Z,64264,
,,,104,,,,,2025-11-16T21:51:00.000Z,,
,,,,,,,79,2025-11-16T21:52:00.000Z,64384,
490,1.5695944098902276e-38,,102,1.5087780565385305e-41,,,,2025-11-16T21:52:00.000Z,64384,
,,,,,,,97,2025-11-16T21:53:00.000Z,64444,
492,1.5780022006761765e-38,,70,1.5150838996279922e-41,,,,2025-11-16T21:53:00.000Z,64444,
,,,,,,,101,2025-11-16T21:54:00.000Z,64504,
,,,,,,,85,2025-11-16T21:55:00.000Z,64564,
,,,104,,,,,2025-11-16T21:55:00.000Z,,
,,,,,,,80,2025-11-16T21:56:00.000Z,64624,
,,,8,,,,,2025-11-16T21:56:00.000Z,,
,,,,,,,82,2025-11-16T21:57:00.000Z,64684,
,,,,,,,80,2025-11-16T21:58:00.000Z,64744,
,,,,,,,83,2025-11-16T22:00:00.000Z,64864,
,,,,,,,79,2025-11-16T22:02:00.000Z,64984,
,,,,,,,80,2025-11-16T22:03:00.000Z,65044,
,,,,,,,81,2025-11-16T22:04:00.000Z,65104,
,,,,,,,82,2025-11-16T22:05:00.000Z,65164,
,,,,,,,84,2025-11-16T22:06:00.000Z,65224,
,,,,,,,83,2025-11-16T22:07:00.000Z,65284,
,,,,,,,88,2025-11-16T22:09:00.000Z,65404,
,,,,,,,95,2025-11-16T22:10:00.000Z,65464,
,,,,,,,97,2025-11-16T22:11:00.000Z,65524,
,,,104,,,,,2025-11-16T22:11:00.000Z,,
,,,,,,,87,2025-11-16T22:12:00.000Z,48,
,,,8,,,,,2025-11-16T22:12:00.000Z,,
