active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
212,8.702063463457114e-39,"generic",,0,0,1429,,2025-11-17T04:49:00.000Z,
793,2.672946552652759e-38,"walking",,2.614963064276541e-41,2.1416857183385487e-42,1429,,2025-11-17T04:49:00.000Z,
1,8.407790785948902e-41,"running",,1.5974802493302915e-43,1.9625184992869064e-44,1429,,2025-11-17T04:49:00.000Z,
,,,,,,,,2025-11-17T04:49:00.000Z,
,,,,,,,80,2025-11-17T04:50:00.000Z,23928
,,,,,,,81,2025-11-17T04:51:00.000Z,23988
,,,72,,,,,2025-11-17T04:52:00.000Z,
,,,,,,,84,2025-11-17T04:53:00.000Z,24108
794,2.689762134224657e-38,,70,2.617485401512326e-41,,,,2025-11-17T04:53:00.000Z,24108
,,,,,,,91,2025-11-17T04:54:00.000Z,24168
,,,136,,,,,2025-11-17T04:54:00.000Z,
,,,,,,,88,2025-11-17T04:55:00.000Z,24228
,,,,,,,95,2025-11-17T04:56:00.000Z,24288
,,,,,,,85,2025-11-17T04:57:00.000Z,24348
,,,,,,,83,2025-11-17T04:59:00.000Z,24468
,,,,,,,82,2025-11-17T05:00:00.000Z,24528
,,,136,,,,,2025-11-17T05:00:00.000Z,
212,8.702063463457114e-39,"generic",,0,0,1440,,2025-11-17T05:00:00.000Z,
794,2.689762134224657e-38,"walking",,2.617485401512326e-41,2.1437512322749637e-42,1440,,2025-11-17T05:00:00.000Z,
1,8.407790785948902e-41,"running",,1.5974802493302915e-43,1.9625184992869064e-44,1440,,2025-11-17T05:00:00.000Z,
,,,,,,,,2025-11-17T05:00:00.000Z,
