data16,event,event_type,timestamp
200,,"marker",2025-11-16T16:30:00.000Z
40,,"marker",2025-11-16T17:06:00.000Z
1,,"marker",2025-11-16T17:07:00.000Z
1,,"marker",2025-11-16T17:08:00.000Z
5,,"marker",2025-11-16T17:13:00.000Z
22,,"marker",2025-11-16T17:35:00.000Z
2,,"marker",2025-11-16T17:37:00.000Z
3,,"marker",2025-11-16T17:40:00.000Z
2,,"marker",2025-11-16T17:42:00.000Z
1,,"marker",2025-11-16T17:43:00.000Z
3,,"marker",2025-11-16T17:46:00.000Z
1,,"marker",2025-11-16T17:47:00.000Z
2,,"marker",2025-11-16T17:49:00.000Z
8,,"marker",2025-11-16T17:57:00.000Z
65534,,"marker",2025-11-16T18:07:00.000Z
18,,"marker",2025-11-16T18:15:00.000Z
1,,"marker",2025-11-16T18:16:00.000Z
10,,"marker",2025-11-16T18:26:00.000Z
6,,"marker",2025-11-16T18:32:00.000Z
1,,"marker",2025-11-16T18:33:00.000Z
3,,"marker",2025-11-16T18:36:00.000Z
3,,"marker",2025-11-16T18:39:00.000Z
1,,"marker",2025-11-16T18:40:00.000Z
2,,"marker",2025-11-16T18:42:00.000Z
1,,"marker",2025-11-16T18:43:00.000Z
1,,"marker",2025-11-16T18:44:00.000Z
1,,"marker",2025-11-16T18:45:00.000Z
16,,"marker",2025-11-16T19:01:00.000Z
1,,"marker",2025-11-16T19:02:00.000Z
4,,"marker",2025-11-16T19:06:00.000Z
3,,"marker",2025-11-16T19:09:00.000Z
6,,"marker",2025-11-16T19:15:00.000Z
3,,"marker",2025-11-16T19:18:00.000Z
10,,"marker",2025-11-16T19:28:00.000Z
2,,"marker",2025-11-16T19:30:00.000Z
3,,"marker",2025-11-16T19:33:00.000Z
1,,"marker",2025-11-16T19:34:00.000Z
6,,"marker",2025-11-16T19:40:00.000Z
1,,"marker",2025-11-16T19:41:00.000Z
1,,"marker",2025-11-16T19:42:00.000Z
1,,"marker",2025-11-16T19:43:00.000Z
5,,"marker",2025-11-16T19:48:00.000Z
4,,"marker",2025-11-16T19:52:00.000Z
1,,"marker",2025-11-16T19:53:00.000Z
1,,"marker",2025-11-16T19:54:00.000Z
2,,"marker",2025-11-16T19:56:00.000Z
1,,"marker",2025-11-16T19:57:00.000Z
2,,"marker",2025-11-16T19:59:00.000Z
10,,"marker",2025-11-16T20:09:00.000Z
1,,"marker",2025-11-16T20:10:00.000Z
2,,"marker",2025-11-16T20:12:00.000Z
9,,"marker",2025-11-16T20:21:00.000Z
1,,"marker",2025-11-16T20:22:00.000Z
1,,"marker",2025-11-16T20:23:00.000Z
3,,"marker",2025-11-16T20:26:00.000Z
1,,"marker",2025-11-16T20:27:00.000Z
2,,"marker",2025-11-16T20:29:00.000Z
