active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
,,,,,,,,2025-11-16T05:00:00.000Z,
,,,8,,,,,2025-11-16T05:00:00.000Z,
,,,168,,,,,2025-11-16T05:01:00.000Z,
,,,,,,,93,2025-11-16T05:02:00.000Z,3784
0,1.5414283107572988e-41,,134,4.624284932271896e-44,,,,2025-11-16T05:02:00.000Z,3784
,,,,,,,96,2025-11-16T05:04:00.000Z,3904
,,,200,,,,,2025-11-16T05:04:00.000Z,
1,7.847271400218976e-41,,70,1.1630777253895982e-43,,,,2025-11-16T05:05:00.000Z,3964
,,,168,,,,,2025-11-16T05:06:00.000Z,
,,,,,,,90,2025-11-16T05:07:00.000Z,4084
2,1.2051166793193427e-40,,70,1.5834672646870433e-43,,,,2025-11-16T05:08:00.000Z,4144
,,,,,,,84,2025-11-16T05:09:00.000Z,4204
,,,,,,,91,2025-11-16T05:10:00.000Z,4264
,,,,,,,92,2025-11-16T05:11:00.000Z,4324
,,,168,,,,,2025-11-16T05:11:00.000Z,
,,,,,,,90,2025-11-16T05:12:00.000Z,4384
3,1.6255062186167878e-40,,102,2.1019476964872256e-43,,,,2025-11-16T05:12:00.000Z,4384
,,,,,,,102,2025-11-16T05:13:00.000Z,4444
,,,,,,,105,2025-11-16T05:14:00.000Z,4504
2,1.0509738482436128e-40,,192,0,,,,2025-11-16T05:14:00.000Z,4504
,,,,,,,90,2025-11-16T05:15:00.000Z,4564
,,,168,,,,,2025-11-16T05:15:00.000Z,
,,,,,,,75,2025-11-16T05:16:00.000Z,4624
,,,,,,,74,2025-11-16T05:17:00.000Z,4684
,,,,,,,76,2025-11-16T05:18:00.000Z,4744
,,,8,,,,,2025-11-16T05:18:00.000Z,
,,,,,,,75,2025-11-16T05:19:00.000Z,4804
,,,,,,,73,2025-11-16T05:21:00.000Z,4924
,,,104,,,,,2025-11-16T05:21:00.000Z,
,,,,,,,72,2025-11-16T05:22:00.000Z,4984
,,,,,,,73,2025-11-16T05:23:00.000Z,5044
,,,,,,,74,2025-11-16T05:24:00.000Z,5104
,,,,,,,77,2025-11-16T05:26:00.000Z,5224
,,,,,,,75,2025-11-16T05:27:00.000Z,5284
,,,,,,,76,2025-11-16T05:29:00.000Z,5404
,,,8,,,,,2025-11-16T05:29:00.000Z,
,,,,,,,75,2025-11-16T05:30:00.000Z,5464
,,,104,,,,,2025-11-16T05:30:00.000Z,
,,,8,,,,,2025-11-16T05:31:00.000Z,
,,,,,,,76,2025-11-16T05:33:00.000Z,5644
,,,,,,,77,2025-11-16T05:34:00.000Z,5704
,,,,,,,78,2025-11-16T05:35:00.000Z,5764
,,,,,,,77,2025-11-16T05:36:00.000Z,5824
,,,,,,,76,2025-11-16T05:37:00.000Z,5884
,,,,,,,75,2025-11-16T05:38:00.000Z,5944
,,,104,,,,,2025-11-16T05:38:00.000Z,
,,,,,,,80,2025-11-16T05:39:00.000Z,6004
3,1.8357009882655104e-40,,166,2.312142466135948e-43,,,,2025-11-16T05:39:00.000Z,6004
,,,,,,,77,2025-11-16T05:40:00.000Z,6064
,,,,,,,75,2025-11-16T05:41:00.000Z,6124
,,,,,,,72,2025-11-16T05:44:00.000Z,6304
,,,,,,,76,2025-11-16T05:45:00.000Z,6364
,,,104,,,,,2025-11-16T05:45:00.000Z,
,,,,,,,78,2025-11-16T05:46:00.000Z,6424
3,2.2560905275629555e-40,,38,2.466285297211678e-43,,,,2025-11-16T05:46:00.000Z,6424
,,,,,,,81,2025-11-16T05:47:00.000Z,6484
,,,,,,,73,2025-11-16T05:48:00.000Z,6544
,,,,,,,72,2025-11-16T05:49:00.000Z,6604
,,,8,,,,,2025-11-16T05:50:00.000Z,
,,,,,,,74,2025-11-16T05:51:00.000Z,6724
,,,40,,,,,2025-11-16T05:51:00.000Z,
,,,,,,,75,2025-11-16T05:55:00.000Z,6964
,,,8,,,,,2025-11-16T05:55:00.000Z,
,,,,,,,74,2025-11-16T05:56:00.000Z,7024
,,,72,,,,,2025-11-16T05:57:00.000Z,
,,,8,,,,,2025-11-16T05:58:00.000Z,
,,,,,,,76,2025-11-16T05:59:00.000Z,7204
,,,,,,,75,2025-11-16T06:00:00.000Z,7264
,,,,,,,76,2025-11-16T06:01:00.000Z,7324
,,,104,,,,,2025-11-16T06:01:00.000Z,
,,,,,,,81,2025-11-16T06:02:00.000Z,7384
,,,104,,,,,2025-11-16T06:02:00.000Z,
,,,,,,,74,2025-11-16T06:03:00.000Z,7444
,,,,,,,73,2025-11-16T06:06:00.000Z,7624
,,,8,,,,,2025-11-16T06:06:00.000Z,
,,,,,,,72,2025-11-16T06:07:00.000Z,7684
,,,,,,,73,2025-11-16T06:08:00.000Z,7744
,,,,,,,74,2025-11-16T06:09:00.000Z,7804
,,,,,,,87,2025-11-16T06:10:00.000Z,7864
,,,,,,,94,2025-11-16T06:11:00.000Z,7924
,,,,,,,86,2025-11-16T06:12:00.000Z,7984
,,,,,,,83,2025-11-16T06:13:00.000Z,8044
,,,,,,,91,2025-11-16T06:14:00.000Z,8104
,,,,,,,96,2025-11-16T06:15:00.000Z,8164
,,,,,,,89,2025-11-16T06:16:00.000Z,8224
,,,,,,,86,2025-11-16T06:18:00.000Z,8344
,,,,,,,92,2025-11-16T06:19:00.000Z,8404
,,,168,,,,,2025-11-16T06:19:00.000Z,
,,,,,,,88,2025-11-16T06:20:00.000Z,8464
,,,,,,,95,2025-11-16T06:21:00.000Z,8524
5,3.937648684752736e-40,,102,3.0127916982983567e-43,,,,2025-11-16T06:21:00.000Z,8524
,,,,,,,83,2025-11-16T06:22:00.000Z,8584
,,,72,,,,,2025-11-16T06:22:00.000Z,
,,,,,,,77,2025-11-16T06:23:00.000Z,8644
,,,,,,,74,2025-11-16T06:24:00.000Z,8704
,,,8,,,,,2025-11-16T06:24:00.000Z,
,,,,,,,78,2025-11-16T06:25:00.000Z,8764
,,,,,,,77,2025-11-16T06:26:00.000Z,8824
,,,,,,,70,2025-11-16T06:27:00.000Z,8884
,,,,,,,71,2025-11-16T06:28:00.000Z,8944
,,,,,,,72,2025-11-16T06:30:00.000Z,9064
,,,104,,,,,2025-11-16T06:30:00.000Z,
,,,,,,,71,2025-11-16T06:31:00.000Z,9124
,,,,,,,73,2025-11-16T06:32:00.000Z,9184
,,,8,,,,,2025-11-16T06:33:00.000Z,
,,,,,,,75,2025-11-16T06:36:00.000Z,9424
,,,,,,,73,2025-11-16T06:37:00.000Z,9484
,,,,,,,75,2025-11-16T06:38:00.000Z,9544
,,,,,,,76,2025-11-16T06:39:00.000Z,9604
,,,,,,,75,2025-11-16T06:40:00.000Z,9664
,,,,,,,76,2025-11-16T06:42:00.000Z,9784
,,,,,,,75,2025-11-16T06:43:00.000Z,9844
,,,,,,,74,2025-11-16T06:44:00.000Z,9904
