active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
2,1.0509738482436128e-40,"generic",,0,0,461,,2025-11-16T12:41:00.000Z,,
7,8.141544077727187e-40,"walking",,4.245934346904196e-43,3.477462269068466e-44,461,,2025-11-16T12:41:00.000Z,,
,,,,,,,,2025-11-16T12:41:00.000Z,,
,,,,,,,78,2025-11-16T12:42:00.000Z,31384,
,,,136,,,,,2025-11-16T12:42:00.000Z,,
,,,,,,,72,2025-11-16T12:43:00.000Z,31444,
7,8.982323156322077e-40,,134,4.428103147266422e-43,,,,2025-11-16T12:43:00.000Z,31444,
,,,,,,,71,2025-11-16T12:45:00.000Z,31564,
,,,,,,,95,2025-11-16T12:46:00.000Z,31624,
,,,,,,,98,2025-11-16T12:47:00.000Z,31684,
,,,136,,,,,2025-11-16T12:47:00.000Z,,
,,,,,,,96,2025-11-16T12:48:00.000Z,31744,
9,9.823102234916968e-40,,70,4.5962589629854e-43,,,,2025-11-16T12:48:00.000Z,31744,
,,,,,,,101,2025-11-16T12:49:00.000Z,31804,
4,1.891752926838503e-40,,160,0,,,,2025-11-16T12:49:00.000Z,31804,
,,,,,,,102,2025-11-16T12:50:00.000Z,31864,
,,,168,,,,,2025-11-16T12:50:00.000Z,,
,,,,,,,98,2025-11-16T12:51:00.000Z,31924,
,,,,,,,94,2025-11-16T12:52:00.000Z,31984,
,,,,,,,92,2025-11-16T12:53:00.000Z,32044,
12,1.2345439470701638e-39,,70,5.086713425499086e-43,,,,2025-11-16T12:53:00.000Z,32044,
,,,,,,,89,2025-11-16T12:55:00.000Z,32164,
,,,168,,,,,2025-11-16T12:55:00.000Z,,
,,,,,,,84,2025-11-16T12:56:00.000Z,32224,
13,1.3186218549296529e-39,,134,5.324934164434305e-43,,,,2025-11-16T12:56:00.000Z,32224,
,,,,,,,90,2025-11-16T12:57:00.000Z,32284,
,,,168,,,,,2025-11-16T12:57:00.000Z,,
,,,,,,,100,2025-11-16T12:58:00.000Z,32344,
16,1.4026997627891419e-39,,70,5.493089980153283e-43,,,,2025-11-16T12:58:00.000Z,32344,
,,,,,,,98,2025-11-16T12:59:00.000Z,32404,
,,,104,,,,,2025-11-16T12:59:00.000Z,,
,,,,,,,91,2025-11-16T13:00:00.000Z,32464,
18,1.486777670648631e-39,,38,5.675258780515509e-43,,,,2025-11-16T13:00:00.000Z,32464,
,,,,,,,89,2025-11-16T13:01:00.000Z,32524,
,,,,,,,78,2025-11-16T13:02:00.000Z,32584,
,,,168,,,,,2025-11-16T13:02:00.000Z,,
,,,,,,,74,2025-11-16T13:03:00.000Z,32644,
,,,136,,,,,2025-11-16T13:03:00.000Z,,
,,,,,,,80,2025-11-16T13:04:00.000Z,32704,
18,1.57085557850812e-39,,102,5.885453550164232e-43,,,,2025-11-16T13:04:00.000Z,32704,
,,,,,,,93,2025-11-16T13:05:00.000Z,32764,
,,,200,,,,,2025-11-16T13:06:00.000Z,,
,,,,,,,89,2025-11-16T13:07:00.000Z,32884,
,,,,,,,91,2025-11-16T13:08:00.000Z,32944,
19,1.739011394227098e-39,,134,6.572089797683392e-43,,,,2025-11-16T13:08:00.000Z,32944,
,,,,,,,82,2025-11-16T13:09:00.000Z,33004,
,,,,,,,81,2025-11-16T13:10:00.000Z,33064,
,,,,,,,91,2025-11-16T13:11:00.000Z,33124,
,,,168,,,,,2025-11-16T13:11:00.000Z,,
,,,,,,,103,2025-11-16T13:12:00.000Z,33184,
,,,,,,,114,2025-11-16T13:13:00.000Z,33244,
,,,,,,,111,2025-11-16T13:14:00.000Z,33304,
,,,,,,,103,2025-11-16T13:15:00.000Z,33364,
30,2.075323025665054e-39,,70,9.052388079538318e-43,,,,2025-11-16T13:15:00.000Z,33364,
,,,,,,,100,2025-11-16T13:16:00.000Z,33424,
,,,,,,,106,2025-11-16T13:17:00.000Z,33484,
33,2.243478841384032e-39,,102,9.921193127419705e-43,,,,2025-11-16T13:17:00.000Z,33484,
,,,,,,,99,2025-11-16T13:18:00.000Z,33544,
,,,,,,,96,2025-11-16T13:19:00.000Z,33604,
,,,,,,,94,2025-11-16T13:20:00.000Z,33664,
,,,136,,,,,2025-11-16T13:20:00.000Z,,
,,,,,,,90,2025-11-16T13:21:00.000Z,33724,
,,,,,,,94,2025-11-16T13:22:00.000Z,33784,
,,,,,,,99,2025-11-16T13:23:00.000Z,33844,
37,2.4957125649624992e-39,,70,1.1238413683885033e-42,,,,2025-11-16T13:23:00.000Z,33844,
,,,,,,,108,2025-11-16T13:24:00.000Z,33904,
6,2.7325320054333933e-40,,192,0,,,,2025-11-16T13:24:00.000Z,33904,
,,,,,,,107,2025-11-16T13:25:00.000Z,33964,
,,,,,,,108,2025-11-16T13:26:00.000Z,34024,
,,,,,,,105,2025-11-16T13:27:00.000Z,34084,
45,2.7479462885409663e-39,,70,1.2471556332490872e-42,,,,2025-11-16T13:27:00.000Z,34084,
,,,,,,,101,2025-11-16T13:28:00.000Z,34144,
,,,136,,,,,2025-11-16T13:28:00.000Z,,
,,,,,,,97,2025-11-16T13:29:00.000Z,34204,
47,2.8320241964004553e-39,,70,1.2737803040712587e-42,,,,2025-11-16T13:29:00.000Z,34204,
,,,,,,,99,2025-11-16T13:30:00.000Z,34264,
,,,,,,,82,2025-11-16T13:31:00.000Z,34324,
,,,,,,,76,2025-11-16T13:32:00.000Z,34384,
,,,,,,,75,2025-11-16T13:33:00.000Z,34444,
,,,136,,,,,2025-11-16T13:33:00.000Z,,
,,,,,,,73,2025-11-16T13:34:00.000Z,34504,
,,,,,,,89,2025-11-16T13:35:00.000Z,34564,
,,,,,,,88,2025-11-16T13:36:00.000Z,34624,
,,,,,,,87,2025-11-16T13:37:00.000Z,34684,
,,,,,,,88,2025-11-16T13:38:00.000Z,34744,
,,,,,,,91,2025-11-16T13:39:00.000Z,34804,
,,,,,,,92,2025-11-16T13:40:00.000Z,34864,
50,3.4205695514168785e-39,,102,1.5218101322567513e-42,,,,2025-11-16T13:40:00.000Z,34864,
,,,,,,,87,2025-11-16T13:41:00.000Z,34924,
,,,72,,,,,2025-11-16T13:41:00.000Z,,
,,,,,,,80,2025-11-16T13:42:00.000Z,34984,
,,,,,,,88,2025-11-16T13:43:00.000Z,35044,
,,,,,,,99,2025-11-16T13:44:00.000Z,35104,
,,,,,,,105,2025-11-16T13:45:00.000Z,35164,
58,3.7568811828548346e-39,,70,1.8272931974795615e-42,,,,2025-11-16T13:45:00.000Z,35164,
,,,,,,,113,2025-11-16T13:46:00.000Z,35224,
,,,,,,,107,2025-11-16T13:47:00.000Z,35284,
,,,,,,,112,2025-11-16T13:48:00.000Z,35344,
,,,,,,,120,2025-11-16T13:49:00.000Z,35404,
,,,,,,,116,2025-11-16T13:50:00.000Z,35464,
,,,,,,,115,2025-11-16T13:51:00.000Z,35524,
,,,,,,,121,2025-11-16T13:52:00.000Z,35584,
,,,,,,,126,2025-11-16T13:53:00.000Z,35644,
,,,,,,,124,2025-11-16T13:54:00.000Z,35704,
,,,,,,,122,2025-11-16T13:55:00.000Z,35764,
,,,,,,,116,2025-11-16T13:56:00.000Z,35824,
101,4.681738169309214e-39,,70,3.276235809591422e-42,,,,2025-11-16T13:56:00.000Z,35824,
,,,,,,,97,2025-11-16T13:57:00.000Z,35884,
,,,,,,,86,2025-11-16T13:58:00.000Z,35944,
,,,,,,,87,2025-11-16T13:59:00.000Z,36004,
,,,,,,,81,2025-11-16T14:00:00.000Z,36064,
,,,104,,,,,2025-11-16T14:00:00.000Z,,
,,,,,,,79,2025-11-16T14:01:00.000Z,36124,
,,,8,,,,,2025-11-16T14:01:00.000Z,,
,,,,,,,81,2025-11-16T14:02:00.000Z,36184,
101,4.765816077168703e-39,,70,3.294452689627645e-42,,,,2025-11-16T14:02:00.000Z,36184,
,,,,,,,79,2025-11-16T14:03:00.000Z,36244,
,,,40,,,,,2025-11-16T14:04:00.000Z,,
,,,,,,,81,2025-11-16T14:05:00.000Z,36364,
,,,,,,,80,2025-11-16T14:06:00.000Z,36424,
,,,,,,,79,2025-11-16T14:07:00.000Z,36484,
,,,,,,,78,2025-11-16T14:08:00.000Z,36544,
,,,,,,,77,2025-11-16T14:09:00.000Z,36604,
,,,8,,,,,2025-11-16T14:10:00.000Z,,
,,,,,,,78,2025-11-16T14:11:00.000Z,36724,
,,,,,,,80,2025-11-16T14:12:00.000Z,36784,
,,,,,,,79,2025-11-16T14:13:00.000Z,36844,
,,,104,,,,,2025-11-16T14:13:00.000Z,,
,,,,,,,80,2025-11-16T14:14:00.000Z,36904,
,,,,,,,97,2025-11-16T14:15:00.000Z,36964,
104,4.933971892887681e-39,,134,3.553692905527736e-42,,,,2025-11-16T14:15:00.000Z,36964,
,,,,,,,108,2025-11-16T14:16:00.000Z,37024,
,,,,,,,,2025-11-16T14:16:00.000Z,37024,1
,,,,,,,111,2025-11-16T14:17:00.000Z,37084,
115,5.102127708606659e-39,,70,3.75267728746186e-42,,,,2025-11-16T14:17:00.000Z,37084,
,,,,,,,97,2025-11-16T14:18:00.000Z,37144,
,,,72,,,,,2025-11-16T14:18:00.000Z,,
,,,,,,,104,2025-11-16T14:19:00.000Z,37204,
117,5.186205616466148e-39,,38,3.832551299928375e-42,,,,2025-11-16T14:19:00.000Z,37204,
