body_battery,field_four,field_two,stress_level_time,stress_level_value
5,1,238,2025-11-10T05:01:00.000Z,39
5,1,253,2025-11-10T05:02:00.000Z,27
5,1,250,2025-11-10T05:03:00.000Z,30
5,1,248,2025-11-10T05:04:00.000Z,31
5,1,247,2025-11-10T05:05:00.000Z,32
5,1,5,2025-11-10T05:06:00.000Z,24
5,1,250,2025-11-10T05:07:00.000Z,30
5,1,232,2025-11-10T05:08:00.000Z,43
5,1,224,2025-11-10T05:09:00.000Z,49
5,1,222,2025-11-10T05:10:00.000Z,51
5,1,229,2025-11-10T05:11:00.000Z,45
5,1,242,2025-11-10T05:12:00.000Z,36
5,1,247,2025-11-10T05:13:00.000Z,32
5,1,0,2025-11-10T05:14:00.000Z,25
5,1,252,2025-11-10T05:15:00.000Z,28
5,1,13,2025-11-10T05:16:00.000Z,22
5,1,15,2025-11-10T05:17:00.000Z,21
5,1,248,2025-11-10T05:18:00.000Z,31
5,1,10,2025-11-10T05:19:00.000Z,22
5,1,246,2025-11-10T05:20:00.000Z,33
5,1,0,2025-11-10T05:21:00.000Z,25
5,1,4,2025-11-10T05:22:00.000Z,24
5,1,255,2025-11-10T05:23:00.000Z,26
5,1,7,2025-11-10T05:24:00.000Z,23
5,1,255,2025-11-10T05:25:00.000Z,26
5,1,252,2025-11-10T05:26:00.000Z,28
5,1,18,2025-11-10T05:27:00.000Z,20
5,1,21,2025-11-10T05:28:00.000Z,20
5,1,0,2025-11-10T05:29:00.000Z,25
5,1,12,2025-11-10T05:30:00.000Z,22
5,1,15,2025-11-10T05:31:00.000Z,21
