active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
7,5.0446744715693415e-40,"generic",,0,0,674,,2025-11-19T16:14:00.000Z,
89,3.951661669395984e-39,"walking",,2.687690454574999e-42,2.201285744623212e-43,674,,2025-11-19T16:14:00.000Z,
,,,,,,,,2025-11-19T16:14:00.000Z,
,,,,,,,68,2025-11-19T16:15:00.000Z,41220
,,,72,,,,,2025-11-19T16:15:00.000Z,
,,,,,,,67,2025-11-19T16:16:00.000Z,41280
,,,8,,,,,2025-11-19T16:16:00.000Z,
,,,,,,,68,2025-11-19T16:17:00.000Z,41340
,,,104,,,,,2025-11-19T16:17:00.000Z,
,,,,,,,69,2025-11-19T16:18:00.000Z,41400
,,,8,,,,,2025-11-19T16:18:00.000Z,
,,,,,,,66,2025-11-19T16:19:00.000Z,41460
,,,,,,,67,2025-11-19T16:20:00.000Z,41520
,,,104,,,,,2025-11-19T16:21:00.000Z,
,,,,,,,66,2025-11-19T16:22:00.000Z,41640
,,,8,,,,,2025-11-19T16:22:00.000Z,
,,,,,,,68,2025-11-19T16:24:00.000Z,41760
,,,,,,,66,2025-11-19T16:26:00.000Z,41880
,,,,,,,68,2025-11-19T16:27:00.000Z,41940
,,,136,,,,,2025-11-19T16:27:00.000Z,
,,,,,,,71,2025-11-19T16:28:00.000Z,42000
,,,8,,,,,2025-11-19T16:28:00.000Z,
,,,,,,,69,2025-11-19T16:29:00.000Z,42060
,,,,,,,70,2025-11-19T16:30:00.000Z,42120
,,,104,,,,,2025-11-19T16:30:00.000Z,
,,,,,,,69,2025-11-19T16:31:00.000Z,42180
89,4.035739577255473e-39,,38,2.7003021407539225e-42,,,,2025-11-19T16:31:00.000Z,42180
,,,,,,,68,2025-11-19T16:32:00.000Z,42240
,,,72,,,,,2025-11-19T16:32:00.000Z,
,,,,,,,70,2025-11-19T16:33:00.000Z,42300
,,,,,,,69,2025-11-19T16:34:00.000Z,42360
,,,8,,,,,2025-11-19T16:34:00.000Z,
,,,,,,,68,2025-11-19T16:36:00.000Z,42480
,,,,,,,69,2025-11-19T16:38:00.000Z,42600
,,,,,,,67,2025-11-19T16:40:00.000Z,42720
,,,,,,,70,2025-11-19T16:42:00.000Z,42840
,,,,,,,73,2025-11-19T16:43:00.000Z,42900
,,,104,,,,,2025-11-19T16:43:00.000Z,
,,,,,,,74,2025-11-19T16:44:00.000Z,42960
89,4.119817485114962e-39,,38,2.718519020790145e-42,,,,2025-11-19T16:44:00.000Z,42960
,,,,,,,71,2025-11-19T16:45:00.000Z,43020
