active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
18,7.987401246651457e-40,"generic",,0,0,963,,2025-11-22T21:03:00.000Z,,
116,5.331940656755929e-39,"walking",,4.5009706674113124e-42,3.686353831145367e-43,963,,2025-11-22T21:03:00.000Z,,
,,,,,,,,2025-11-22T21:03:00.000Z,,
,,,,,,,81,2025-11-22T21:04:00.000Z,55616,
,,,8,,,,,2025-11-22T21:04:00.000Z,,
,,,,,,,80,2025-11-22T21:05:00.000Z,55676,
,,,72,,,,,2025-11-22T21:05:00.000Z,,
,,,,,,,78,2025-11-22T21:06:00.000Z,55736,
,,,168,,,,,2025-11-22T21:06:00.000Z,,
,,,,,,,93,2025-11-22T21:07:00.000Z,55796,
117,5.3739796106856735e-39,,70,4.527595338233484e-42,,,,2025-11-22T21:07:00.000Z,55796,
,,,,,,,94,2025-11-22T21:08:00.000Z,55856,
,,,,,,,79,2025-11-22T21:09:00.000Z,55916,
,,,,,,,81,2025-11-22T21:10:00.000Z,55976,
,,,,,,,80,2025-11-22T21:12:00.000Z,56096,
,,,,,,,88,2025-11-22T21:14:00.000Z,56216,
,,,,,,,87,2025-11-22T21:16:00.000Z,56336,
,,,,,,,84,2025-11-22T21:17:00.000Z,56396,
,,,,,,,82,2025-11-22T21:18:00.000Z,56456,
,,,,,,,79,2025-11-22T21:19:00.000Z,56516,
,,,,,,,78,2025-11-22T21:20:00.000Z,56576,
,,,,,,,77,2025-11-22T21:21:00.000Z,56636,
,,,,,,,79,2025-11-22T21:22:00.000Z,56696,
,,,,,,,80,2025-11-22T21:26:00.000Z,56936,
,,,,,,,79,2025-11-22T21:27:00.000Z,56996,
,,,,,,,85,2025-11-22T21:28:00.000Z,57056,
,,,,,,,78,2025-11-22T21:29:00.000Z,57116,
,,,,,,,77,2025-11-22T21:30:00.000Z,57176,
,,,,,,,79,2025-11-22T21:33:00.000Z,57356,
,,,104,,,,,2025-11-22T21:34:00.000Z,,
,,,,,,,83,2025-11-22T21:35:00.000Z,57476,
118,5.394999087650546e-39,,198,4.5458122182697066e-42,,,,2025-11-22T21:35:00.000Z,57476,
,,,,,,,87,2025-11-22T21:36:00.000Z,57536,
,,,168,,,,,2025-11-22T21:36:00.000Z,,
,,,,,,,97,2025-11-22T21:37:00.000Z,57596,
118,5.43703804158029e-39,,198,4.575239486020528e-42,,,,2025-11-22T21:37:00.000Z,57596,
,,,,,,,94,2025-11-22T21:38:00.000Z,57656,
,,,,,,,97,2025-11-22T21:39:00.000Z,57716,
,,,,,,,86,2025-11-22T21:40:00.000Z,57776,
,,,,,,,83,2025-11-22T21:41:00.000Z,57836,
,,,,,,,91,2025-11-22T21:42:00.000Z,57896,
,,,,,,,80,2025-11-22T21:44:00.000Z,58016,
,,,136,,,,,2025-11-22T21:44:00.000Z,,
,,,,,,,95,2025-11-22T21:45:00.000Z,58076,
119,5.479076995510035e-39,,102,4.6158771414859474e-42,,,,2025-11-22T21:45:00.000Z,58076,
,,,,,,,108,2025-11-22T21:46:00.000Z,58136,
,,,,,,,106,2025-11-22T21:47:00.000Z,58196,
