body_battery,field_four,field_two,stress_level_time,stress_level_value
12,1,4,2025-11-22T07:41:00.000Z,24
12,1,8,2025-11-22T07:42:00.000Z,23
12,1,219,2025-11-22T07:43:00.000Z,53
12,1,243,2025-11-22T07:44:00.000Z,35
12,1,5,2025-11-22T07:45:00.000Z,24
12,1,254,2025-11-22T07:46:00.000Z,27
12,1,232,2025-11-22T07:47:00.000Z,43
12,1,242,2025-11-22T07:48:00.000Z,36
12,1,249,2025-11-22T07:49:00.000Z,30
12,1,250,2025-11-22T07:50:00.000Z,30
12,1,241,2025-11-22T07:51:00.000Z,36
12,1,228,2025-11-22T07:52:00.000Z,46
12,1,244,2025-11-22T07:53:00.000Z,34
12,1,16,2025-11-22T07:54:00.000Z,21
12,1,0,2025-11-22T07:55:00.000Z,25
12,1,239,2025-11-22T07:56:00.000Z,38
12,1,246,2025-11-22T07:57:00.000Z,33
12,1,236,2025-11-22T07:58:00.000Z,40
12,1,230,2025-11-22T07:59:00.000Z,45
12,1,248,2025-11-22T08:00:00.000Z,31
12,1,5,2025-11-22T08:01:00.000Z,24
12,1,12,2025-11-22T08:02:00.000Z,22
12,1,9,2025-11-22T08:03:00.000Z,23
12,1,14,2025-11-22T08:04:00.000Z,21
12,1,4,2025-11-22T08:05:00.000Z,24
12,1,248,2025-11-22T08:06:00.000Z,31
11,1,251,2025-11-22T08:07:00.000Z,29
11,1,244,2025-11-22T08:08:00.000Z,34
11,1,255,2025-11-22T08:09:00.000Z,26
11,1,247,2025-11-22T08:10:00.000Z,32
11,1,253,2025-11-22T08:11:00.000Z,27
11,1,249,2025-11-22T08:12:00.000Z,30
11,1,242,2025-11-22T08:13:00.000Z,36
11,1,225,2025-11-22T08:14:00.000Z,48
11,1,255,2025-11-22T08:15:00.000Z,26
11,1,1,2025-11-22T08:16:00.000Z,25
11,1,16,2025-11-22T08:17:00.000Z,21
11,1,3,2025-11-22T08:18:00.000Z,24
11,1,242,2025-11-22T08:19:00.000Z,36
11,1,255,2025-11-22T08:20:00.000Z,26
11,1,246,2025-11-22T08:21:00.000Z,33
11,1,253,2025-11-22T08:22:00.000Z,27
11,1,236,2025-11-22T08:23:00.000Z,40
11,1,246,2025-11-22T08:24:00.000Z,33
11,1,248,2025-11-22T08:25:00.000Z,31
11,1,245,2025-11-22T08:26:00.000Z,33
11,1,233,2025-11-22T08:27:00.000Z,42
11,1,248,2025-11-22T08:28:00.000Z,31
11,1,0,2025-11-22T08:29:00.000Z,25
11,1,247,2025-11-22T08:30:00.000Z,32
11,1,234,2025-11-22T08:32:00.000Z,42
11,1,8,2025-11-22T08:33:00.000Z,23
11,1,250,2025-11-22T08:34:00.000Z,30
11,1,1,2025-11-22T08:35:00.000Z,25
11,1,248,2025-11-22T08:36:00.000Z,31
11,1,17,2025-11-22T08:37:00.000Z,21
11,1,15,2025-11-22T08:38:00.000Z,21
11,1,16,2025-11-22T08:39:00.000Z,21
11,1,20,2025-11-22T08:40:00.000Z,20
11,1,225,2025-11-22T08:41:00.000Z,48
11,1,247,2025-11-22T08:42:00.000Z,32
11,1,0,2025-11-22T08:43:00.000Z,25
11,1,255,2025-11-22T08:44:00.000Z,26
11,1,17,2025-11-22T08:45:00.000Z,21
11,1,19,2025-11-22T08:46:00.000Z,20
11,1,18,2025-11-22T08:47:00.000Z,20
11,1,8,2025-11-22T08:48:00.000Z,23
11,1,6,2025-11-22T08:49:00.000Z,23
11,1,10,2025-11-22T08:50:00.000Z,22
11,1,10,2025-11-22T08:51:00.000Z,22
11,1,254,2025-11-22T08:52:00.000Z,27
11,1,245,2025-11-22T08:53:00.000Z,33
11,1,2,2025-11-22T08:54:00.000Z,24
11,1,2,2025-11-22T08:55:00.000Z,24
11,1,249,2025-11-22T08:56:00.000Z,30
11,1,5,2025-11-22T08:57:00.000Z,24
11,1,13,2025-11-22T08:58:00.000Z,22
11,1,1,2025-11-22T08:59:00.000Z,25
11,1,254,2025-11-22T09:00:00.000Z,27
10,1,242,2025-11-22T09:01:00.000Z,36
10,1,202,2025-11-22T09:02:00.000Z,66
10,1,102,2025-11-22T09:03:00.000Z,65534
10,1,102,2025-11-22T09:04:00.000Z,65534
10,1,102,2025-11-22T09:05:00.000Z,65534
10,1,189,2025-11-22T09:06:00.000Z,75
10,1,211,2025-11-22T09:07:00.000Z,59
10,1,206,2025-11-22T09:08:00.000Z,63
10,1,197,2025-11-22T09:09:00.000Z,69
10,1,102,2025-11-22T09:10:00.000Z,65534
10,1,102,2025-11-22T09:11:00.000Z,65534
10,1,197,2025-11-22T09:12:00.000Z,69
10,1,208,2025-11-22T09:13:00.000Z,61
10,1,1,2025-11-22T09:14:00.000Z,25
10,1,3,2025-11-22T09:15:00.000Z,24
10,1,4,2025-11-22T09:16:00.000Z,24
10,1,8,2025-11-22T09:17:00.000Z,23
10,1,4,2025-11-22T09:18:00.000Z,24
10,1,6,2025-11-22T09:19:00.000Z,23
9,1,255,2025-11-22T09:20:00.000Z,26
9,1,20,2025-11-22T09:21:00.000Z,20
9,1,16,2025-11-22T09:22:00.000Z,21
9,1,23,2025-11-22T09:23:00.000Z,19
9,1,21,2025-11-22T09:24:00.000Z,20
9,1,102,2025-11-22T09:25:00.000Z,65534
9,1,193,2025-11-22T09:26:00.000Z,72
9,1,237,2025-11-22T09:27:00.000Z,39
9,1,6,2025-11-22T09:28:00.000Z,23
9,1,18,2025-11-22T09:29:00.000Z,20
9,1,11,2025-11-22T09:30:00.000Z,22
9,1,30,2025-11-22T09:31:00.000Z,17
9,1,49,2025-11-22T09:32:00.000Z,13
9,1,50,2025-11-22T09:33:00.000Z,12
9,1,45,2025-11-22T09:34:00.000Z,14
9,1,40,2025-11-22T09:35:00.000Z,15
9,1,32,2025-11-22T09:36:00.000Z,17
9,1,32,2025-11-22T09:37:00.000Z,17
9,1,26,2025-11-22T09:38:00.000Z,18
9,1,27,2025-11-22T09:39:00.000Z,18
9,1,44,2025-11-22T09:40:00.000Z,14
9,1,43,2025-11-22T09:41:00.000Z,14
9,1,38,2025-11-22T09:42:00.000Z,15
9,1,30,2025-11-22T09:43:00.000Z,17
9,1,44,2025-11-22T09:44:00.000Z,14
9,1,46,2025-11-22T09:45:00.000Z,13
11,1,102,2025-11-22T09:46:00.000Z,65534
11,1,52,2025-11-22T09:47:00.000Z,12
11,1,36,2025-11-22T09:48:00.000Z,16
11,1,102,2025-11-22T09:49:00.000Z,65534
11,1,211,2025-11-22T09:50:00.000Z,59
11,1,73,2025-11-22T09:51:00.000Z,7
11,1,63,2025-11-22T09:52:00.000Z,9
11,1,60,2025-11-22T09:53:00.000Z,10
11,1,52,2025-11-22T09:54:00.000Z,12
11,1,55,2025-11-22T09:55:00.000Z,11
11,1,49,2025-11-22T09:56:00.000Z,13
11,1,21,2025-11-22T09:57:00.000Z,20
11,1,35,2025-11-22T09:58:00.000Z,16
11,1,4,2025-11-22T09:59:00.000Z,24
11,1,40,2025-11-22T10:00:00.000Z,15
11,1,28,2025-11-22T10:01:00.000Z,18
11,1,3,2025-11-22T10:02:00.000Z,24
12,1,4,2025-11-22T10:03:00.000Z,24
12,1,0,2025-11-22T10:04:00.000Z,25
12,1,0,2025-11-22T10:05:00.000Z,25
12,1,1,2025-11-22T10:06:00.000Z,25
12,1,6,2025-11-22T10:07:00.000Z,23
12,1,8,2025-11-22T10:08:00.000Z,23
12,1,254,2025-11-22T10:09:00.000Z,27
12,1,13,2025-11-22T10:10:00.000Z,22
12,1,255,2025-11-22T10:11:00.000Z,26
12,1,0,2025-11-22T10:12:00.000Z,25
12,1,255,2025-11-22T10:13:00.000Z,26
12,1,0,2025-11-22T10:14:00.000Z,25
12,1,1,2025-11-22T10:15:00.000Z,25
12,1,21,2025-11-22T10:16:00.000Z,20
12,1,32,2025-11-22T10:17:00.000Z,17
12,1,4,2025-11-22T10:18:00.000Z,24
12,1,19,2025-11-22T10:19:00.000Z,20
12,1,9,2025-11-22T10:20:00.000Z,23
12,1,4,2025-11-22T10:21:00.000Z,24
12,1,18,2025-11-22T10:22:00.000Z,20
12,1,8,2025-11-22T10:23:00.000Z,23
12,1,60,2025-11-22T10:24:00.000Z,10
13,1,69,2025-11-22T10:25:00.000Z,8
13,1,70,2025-11-22T10:26:00.000Z,7
13,1,60,2025-11-22T10:27:00.000Z,10
13,1,47,2025-11-22T10:28:00.000Z,13
13,1,61,2025-11-22T10:29:00.000Z,10
13,1,52,2025-11-22T10:30:00.000Z,12
13,1,54,2025-11-22T10:31:00.000Z,11
13,1,39,2025-11-22T10:32:00.000Z,15
13,1,17,2025-11-22T10:33:00.000Z,21
14,1,251,2025-11-22T10:34:00.000Z,29
14,1,252,2025-11-22T10:35:00.000Z,28
14,1,254,2025-11-22T10:36:00.000Z,27
14,1,251,2025-11-22T10:37:00.000Z,29
14,1,251,2025-11-22T10:38:00.000Z,29
14,1,5,2025-11-22T10:39:00.000Z,24
14,1,0,2025-11-22T10:40:00.000Z,25
14,1,0,2025-11-22T10:41:00.000Z,25
14,1,9,2025-11-22T10:42:00.000Z,23
14,1,0,2025-11-22T10:43:00.000Z,25
14,1,0,2025-11-22T10:44:00.000Z,25
14,1,252,2025-11-22T10:45:00.000Z,28
14,1,56,2025-11-22T10:46:00.000Z,11
14,1,65,2025-11-22T10:47:00.000Z,9
14,1,59,2025-11-22T10:48:00.000Z,10
14,1,54,2025-11-22T10:49:00.000Z,11
14,1,63,2025-11-22T10:50:00.000Z,9
14,1,64,2025-11-22T10:51:00.000Z,9
15,1,66,2025-11-22T10:52:00.000Z,8
15,1,59,2025-11-22T10:53:00.000Z,10
15,1,59,2025-11-22T10:54:00.000Z,10
15,1,57,2025-11-22T10:55:00.000Z,11
