active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
35,1.4923828645059302e-39,"generic",,0,0,1203,,,2025-11-23T01:03:00.000Z,,
237,8.463842724521895e-39,"walking",,7.873896071041147e-42,6.448845597746024e-43,1203,,,2025-11-23T01:03:00.000Z,,
3,8.407790785948902e-41,"running",,3.923635700109488e-44,4.8204667172773706e-45,1203,,,2025-11-23T01:03:00.000Z,,
,,,,,,,,,2025-11-23T01:03:00.000Z,,
,,,8,,,,,,2025-11-23T01:04:00.000Z,,
,,,,,,,81,,2025-11-23T01:05:00.000Z,4540,
,,,,,,,80,,2025-11-23T01:06:00.000Z,4600,
,,,104,,,,,,2025-11-23T01:06:00.000Z,,
,,,,,,,84,,2025-11-23T01:07:00.000Z,4660,
,,,,,,,81,,2025-11-23T01:08:00.000Z,4720,
,,,,,,,80,,2025-11-23T01:09:00.000Z,4780,
,,,,,,,82,,2025-11-23T01:10:00.000Z,4840,
,,,,,,,81,,2025-11-23T01:11:00.000Z,4900,
,,,,,,,80,,2025-11-23T01:12:00.000Z,4960,
,,,,,,,83,,2025-11-23T01:13:00.000Z,5020,
,,,,,,,85,,2025-11-23T01:14:00.000Z,5080,
,,,,,,,82,,2025-11-23T01:15:00.000Z,5140,
,,,,,,,80,,2025-11-23T01:16:00.000Z,5200,
,,,,,,,79,,2025-11-23T01:18:00.000Z,5320,
,,,,,,,78,,2025-11-23T01:20:00.000Z,5440,
,,,,,,,80,,2025-11-23T01:21:00.000Z,5500,
,,,,,,,83,,2025-11-23T01:22:00.000Z,5560,
,,,,,,,80,,2025-11-23T01:23:00.000Z,5620,
,,,,,,,81,,2025-11-23T01:24:00.000Z,5680,
,,,,,,,93,,2025-11-23T01:25:00.000Z,5740,
,,,,,,,92,,2025-11-23T01:26:00.000Z,5800,
,,,,,,,82,,2025-11-23T01:27:00.000Z,5860,
,,,,,,,77,,2025-11-23T01:28:00.000Z,5920,
,,,,,,,78,,2025-11-23T01:32:00.000Z,6160,
,,,136,,,,,,2025-11-23T01:32:00.000Z,,
,,,,,,,83,,2025-11-23T01:33:00.000Z,6220,
,,,,,,,93,,2025-11-23T01:34:00.000Z,6280,
240,8.589959586311129e-39,,38,7.955171381971987e-42,,,,,2025-11-23T01:34:00.000Z,6280,
,,,,,,,105,,2025-11-23T01:35:00.000Z,6340,
,,,232,,,,,,2025-11-23T01:35:00.000Z,,
,,,,,,,103,,2025-11-23T01:36:00.000Z,6400,
,,,,,,,105,,2025-11-23T01:37:00.000Z,6460,
39,1.6605386802249082e-39,,224,0,,,,,2025-11-23T01:37:00.000Z,6460,
,,,,,,,102,,2025-11-23T01:38:00.000Z,6520,
,,,,,,,99,,2025-11-23T01:39:00.000Z,6580,
,,,,,,,98,,2025-11-23T01:40:00.000Z,6640,
,,,,,,,102,,2025-11-23T01:41:00.000Z,6700,
,,,,,,,110,,2025-11-23T01:42:00.000Z,6760,
,,,,,,,119,,2025-11-23T01:43:00.000Z,6820,
,,,,,,,127,,2025-11-23T01:44:00.000Z,6880,
260,9.178504941327552e-39,,102,8.903850442319888e-42,,,,,2025-11-23T01:44:00.000Z,6880,
,,,,,,,118,,2025-11-23T01:45:00.000Z,6940,
44,1.7446165880843973e-39,,224,0,,,,,2025-11-23T01:45:00.000Z,6940,
,,,,,,,127,,2025-11-23T01:47:00.000Z,7060,
,,,,,,,110,,2025-11-23T01:48:00.000Z,7120,
,,,,,,,106,,2025-11-23T01:49:00.000Z,7180,
55,2.0809282195223534e-39,,224,0,,,,,2025-11-23T01:49:00.000Z,7180,
,,,,,,,103,,2025-11-23T01:50:00.000Z,7240,
264,9.262582849187041e-39,,70,8.951494590106931e-42,,,,,2025-11-23T01:50:00.000Z,7240,
,,,,,,,112,,2025-11-23T01:51:00.000Z,7300,
60,2.1650061273818424e-39,,224,0,,,,,2025-11-23T01:51:00.000Z,7300,
,,,,,,,124,,2025-11-23T01:52:00.000Z,7360,
270,9.34666075704653e-39,,134,8.982323156322077e-42,,,,,2025-11-23T01:52:00.000Z,7360,
,,,,,,,126,,2025-11-23T01:53:00.000Z,7420,
,,,,,,,134,,2025-11-23T01:54:00.000Z,7480,
,,,,,,,146,,2025-11-23T01:55:00.000Z,7540,
,,,,,,,,2,2025-11-23T01:55:00.000Z,7540,1
,,,,,,,157,,2025-11-23T01:57:00.000Z,7660,
,,,,,,,,1,2025-11-23T01:57:00.000Z,7660,1
41,5.0446744715693415e-40,,129,7.496946784137771e-43,,,,,2025-11-23T01:57:00.000Z,7660,
,,,,,,,161,,2025-11-23T01:58:00.000Z,7720,
,,,,,,,135,,2025-11-23T01:59:00.000Z,7780,
280,9.514816572765508e-39,,70,9.11404521196861e-42,,,,,2025-11-23T01:59:00.000Z,7780,
,,,,,,,132,,2025-11-23T02:00:00.000Z,7840,
63,2.2490840352413314e-39,,128,0,,,,,2025-11-23T02:00:00.000Z,7840,
,,,,,,,128,,2025-11-23T02:01:00.000Z,7900,
282,9.598894480624997e-39,,70,9.214938701399997e-42,,,,,2025-11-23T02:01:00.000Z,7900,
,,,,,,,116,,2025-11-23T02:02:00.000Z,7960,
,,,,,,,115,,2025-11-23T02:03:00.000Z,8020,
,,,,,,,,4,2025-11-23T02:03:00.000Z,8020,
,,,,,,,105,,2025-11-23T02:04:00.000Z,8080,
,,,,,,,102,,2025-11-23T02:05:00.000Z,8140,
69,2.6694735745387765e-39,,128,0,,,,,2025-11-23T02:06:00.000Z,8200,
,,,,,,,105,,2025-11-23T02:07:00.000Z,8260,
70,2.7535514823982655e-39,,128,0,,,,,2025-11-23T02:07:00.000Z,8260,
,,,,,,,102,,2025-11-23T02:08:00.000Z,8320,
,,,,,,,104,,2025-11-23T02:09:00.000Z,8380,
,,,,,,,108,,2025-11-23T02:10:00.000Z,8440,
288,9.851128204203464e-39,,102,9.275194535365964e-42,,,,,2025-11-23T02:10:00.000Z,8440,
,,,,,,,115,,2025-11-23T02:11:00.000Z,8500,
,,,,,,,111,,2025-11-23T02:12:00.000Z,8560,
72,2.9217072981172436e-39,,96,0,,,,,2025-11-23T02:12:00.000Z,8560,
,,,,,,,102,,2025-11-23T02:13:00.000Z,8620,
289,9.935206112062953e-39,,70,9.293411415402187e-42,,,,,2025-11-23T02:13:00.000Z,8620,
,,,,,,,103,,2025-11-23T02:14:00.000Z,8680,
73,3.0057852059767326e-39,,160,0,,,,,2025-11-23T02:14:00.000Z,8680,
,,,,,,,101,,2025-11-23T02:15:00.000Z,8740,
,,,104,,,,,,2025-11-23T02:15:00.000Z,,
290,1.0019284019922442e-38,,38,9.307424400045435e-42,,,,,2025-11-23T02:16:00.000Z,8800,
,,,,,,,100,,2025-11-23T02:17:00.000Z,8860,
,,,136,,,,,,2025-11-23T02:17:00.000Z,,
,,,,,,,101,,2025-11-23T02:18:00.000Z,8920,
74,3.0898631138362216e-39,,128,0,,,,,2025-11-23T02:18:00.000Z,8920,
,,,,,,,105,,2025-11-23T02:19:00.000Z,8980,
291,1.0103361927781931e-38,,70,9.331246473938957e-42,,,,,2025-11-23T02:19:00.000Z,8980,
,,,,,,,103,,2025-11-23T02:20:00.000Z,9040,
,,,,,,,102,,2025-11-23T02:21:00.000Z,9100,
75,3.2580189295552e-39,,96,0,,,,,2025-11-23T02:21:00.000Z,9100,
,,,,,,,97,,2025-11-23T02:22:00.000Z,9160,
,,,104,,,,,,2025-11-23T02:22:00.000Z,,
,,,,,,,102,,2025-11-23T02:23:00.000Z,9220,
,,,,,,,103,,2025-11-23T02:24:00.000Z,9280,
,,,,,,,105,,2025-11-23T02:26:00.000Z,9400,
79,3.594330560993156e-39,,96,0,,,,,2025-11-23T02:26:00.000Z,9400,
,,,,,,,104,,2025-11-23T02:27:00.000Z,9460,
,,,72,,,,,,2025-11-23T02:27:00.000Z,,
,,,,,,,101,,2025-11-23T02:28:00.000Z,9520,
,,,,,,,102,,2025-11-23T02:29:00.000Z,9580,
,,,,,,,104,,2025-11-23T02:30:00.000Z,9640,
83,3.846564284571623e-39,,128,0,,,,,2025-11-23T02:30:00.000Z,9640,
,,,,,,,105,,2025-11-23T02:31:00.000Z,9700,
,,,,,,,104,,2025-11-23T02:32:00.000Z,9760,
,,,,,,,103,,2025-11-23T02:33:00.000Z,9820,
,,,,,,,105,,2025-11-23T02:35:00.000Z,9940,
,,,,,,,107,,2025-11-23T02:36:00.000Z,10000,
,,,,,,,106,,2025-11-23T02:38:00.000Z,10120,
96,4.519187547447535e-39,,96,0,,,,,2025-11-23T02:38:00.000Z,10120,
,,,,,,,107,,2025-11-23T02:39:00.000Z,10180,
294,1.018743983564142e-38,,70,9.363476338618428e-42,,,,,2025-11-23T02:39:00.000Z,10180,
,,,,,,,117,,2025-11-23T02:40:00.000Z,10240,
,,,,,,,108,,2025-11-23T02:42:00.000Z,10360,
,,,,,,,104,,2025-11-23T02:43:00.000Z,10420,
101,4.855499178885491e-39,,96,0,,,,,2025-11-23T02:43:00.000Z,10420,
,,,,,,,103,,2025-11-23T02:44:00.000Z,10480,
,,,,,,,113,,2025-11-23T02:45:00.000Z,10540,
300,1.0355595651360398e-38,,38,9.420929575655745e-42,,,,,2025-11-23T02:45:00.000Z,10540,
,,,,,,,119,,2025-11-23T02:46:00.000Z,10600,
,,,,,,,126,,2025-11-23T02:47:00.000Z,10660,
,,,,,,,129,,2025-11-23T02:48:00.000Z,10720,
,,,,,,,123,,2025-11-23T02:49:00.000Z,10780,
,,,,,,,126,,2025-11-23T02:50:00.000Z,10840,
,,,,,,,123,,2025-11-23T02:51:00.000Z,10900,
,,,,,,,121,,2025-11-23T02:52:00.000Z,10960,
327,1.0944141006376821e-38,,38,9.660551613055289e-42,,,,,2025-11-23T02:52:00.000Z,10960,
,,,,,,,117,,2025-11-23T02:53:00.000Z,11020,
103,4.93957708674498e-39,,128,0,,,,,2025-11-23T02:53:00.000Z,11020,
,,,,,,,113,,2025-11-23T02:54:00.000Z,11080,
328,1.102821891423631e-38,,70,9.69278147773476e-42,,,,,2025-11-23T02:54:00.000Z,11080,
,,,,,,,108,,2025-11-23T02:55:00.000Z,11140,
104,5.023654994604469e-39,,128,0,,,,,2025-11-23T02:55:00.000Z,11140,
,,,,,,,110,,2025-11-23T02:56:00.000Z,11200,
,,,,,,,116,,2025-11-23T02:57:00.000Z,11260,
334,1.1196374729955288e-38,,38,9.718004850092606e-42,,,,,2025-11-23T02:57:00.000Z,11260,
,,,,,,,126,,2025-11-23T02:58:00.000Z,11320,
108,5.107732902463958e-39,,128,0,,,,,2025-11-23T02:58:00.000Z,11320,
,,,,,,,125,,2025-11-23T02:59:00.000Z,11380,
,,,,,,,127,,2025-11-23T03:00:00.000Z,11440,
342,1.1364530545674266e-38,,102,9.811891847202369e-42,,,,,2025-11-23T03:00:00.000Z,11440,
,,,,,,,123,,2025-11-23T03:01:00.000Z,11500,
,,,,,,,126,,2025-11-23T03:02:00.000Z,11560,
,,,,,,,136,,2025-11-23T03:03:00.000Z,11620,
,,,,,,,137,,2025-11-23T03:04:00.000Z,11680,
,,,,,,,,5,2025-11-23T03:04:00.000Z,11680,
,,,,,,,122,,2025-11-23T03:05:00.000Z,11740,
,,,,,,,125,,2025-11-23T03:06:00.000Z,11800,
366,1.18689979928312e-38,,70,1.011176971856788e-41,,,,,2025-11-23T03:06:00.000Z,11800,
,,,,,,,121,,2025-11-23T03:07:00.000Z,11860,
110,5.191810810323447e-39,,128,0,,,,,2025-11-23T03:07:00.000Z,11860,
,,,,,,,117,,2025-11-23T03:08:00.000Z,11920,
369,1.195307590069069e-38,,102,1.0139795687854376e-41,,,,,2025-11-23T03:08:00.000Z,11920,
,,,,,,,116,,2025-11-23T03:09:00.000Z,11980,
,,,,,,,115,,2025-11-23T03:10:00.000Z,12040,
116,5.359966626042425e-39,,192,0,,,,,2025-11-23T03:10:00.000Z,12040,
,,,,,,,117,,2025-11-23T03:11:00.000Z,12100,
,,,,,,,126,,2025-11-23T03:12:00.000Z,12160,
,,,,,,,128,,2025-11-23T03:13:00.000Z,12220,
,,,,,,,129,,2025-11-23T03:14:00.000Z,12280,
,,,,,,,127,,2025-11-23T03:15:00.000Z,12340,
389,1.2373465439988135e-38,,38,1.0295339817394431e-41,,,,,2025-11-23T03:15:00.000Z,12340,
,,,,,,,128,,2025-11-23T03:16:00.000Z,12400,
,,,,,,,129,,2025-11-23T03:17:00.000Z,12460,
124,5.5281224417614033e-39,,192,0,,,,,2025-11-23T03:17:00.000Z,12460,
,,,,,,,126,,2025-11-23T03:18:00.000Z,12520,
,,,,,,,123,,2025-11-23T03:19:00.000Z,12580,
396,1.2541621255707113e-38,,70,1.0481712513149632e-41,,,,,2025-11-23T03:19:00.000Z,12580,
,,,,,,,128,,2025-11-23T03:20:00.000Z,12640,
,,,,,,,130,,2025-11-23T03:22:00.000Z,12760,
,,,,,,,,10,2025-11-23T03:22:00.000Z,12760,
,,,,,,,129,,2025-11-23T03:23:00.000Z,12820,
,,,,,,,132,,2025-11-23T03:24:00.000Z,12880,
,,,,,,,134,,2025-11-23T03:25:00.000Z,12940,
,,,,,,,132,,2025-11-23T03:27:00.000Z,13060,
,,,,,,,131,,2025-11-23T03:28:00.000Z,13120,
