active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16
17,7.146622168056567e-40,"generic",,0,0,160,,2025-11-22T07:40:00.000Z,
8,4.203895392974451e-40,"walking",,1.9898438193412402e-43,1.6295699841633297e-44,160,,2025-11-22T07:40:00.000Z,
,,,,,,,,2025-11-22T07:40:00.000Z,
,,,,,,,78,2025-11-22T07:41:00.000Z,7436
,,,,,,,77,2025-11-22T07:42:00.000Z,7496
,,,,,,,83,2025-11-22T07:43:00.000Z,7556
,,,,,,,79,2025-11-22T07:44:00.000Z,7616
,,,,,,,77,2025-11-22T07:45:00.000Z,7676
,,,,,,,79,2025-11-22T07:46:00.000Z,7736
,,,136,,,,,2025-11-22T07:46:00.000Z,
,,,,,,,88,2025-11-22T07:47:00.000Z,7796
9,5.0446744715693415e-40,,6,2.129973665773722e-43,,,,2025-11-22T07:47:00.000Z,7796
,,,,,,,81,2025-11-22T07:48:00.000Z,7856
,,,,,,,76,2025-11-22T07:49:00.000Z,7916
,,,,,,,81,2025-11-22T07:50:00.000Z,7976
,,,,,,,84,2025-11-22T07:51:00.000Z,8036
,,,,,,,79,2025-11-22T07:52:00.000Z,8096
,,,,,,,76,2025-11-22T07:53:00.000Z,8156
,,,,,,,75,2025-11-22T07:55:00.000Z,8276
,,,,,,,77,2025-11-22T07:57:00.000Z,8396
,,,,,,,78,2025-11-22T07:58:00.000Z,8456
,,,,,,,84,2025-11-22T07:59:00.000Z,8516
,,,,,,,78,2025-11-22T08:00:00.000Z,8576
,,,,,,,73,2025-11-22T08:01:00.000Z,8636
,,,104,,,,,2025-11-22T08:01:00.000Z,
,,,,,,,74,2025-11-22T08:02:00.000Z,8696
,,,8,,,,,2025-11-22T08:02:00.000Z,
,,,,,,,75,2025-11-22T08:03:00.000Z,8756
,,,,,,,74,2025-11-22T08:04:00.000Z,8816
,,,8,,,,,2025-11-22T08:04:00.000Z,
,,,,,,,77,2025-11-22T08:05:00.000Z,8876
,,,,,,,79,2025-11-22T08:06:00.000Z,8936
,,,,,,,76,2025-11-22T08:07:00.000Z,8996
,,,,,,,75,2025-11-22T08:09:00.000Z,9116
,,,,,,,77,2025-11-22T08:11:00.000Z,9236
,,,,,,,82,2025-11-22T08:13:00.000Z,9356
,,,,,,,91,2025-11-22T08:14:00.000Z,9416
,,,104,,,,,2025-11-22T08:14:00.000Z,
,,,,,,,77,2025-11-22T08:15:00.000Z,9476
,,,,,,,75,2025-11-22T08:16:00.000Z,9536
