body_battery,field_four,field_two,stress_level_time,stress_level_value
6,1,241,2025-11-08T08:09:00.000Z,36
5,1,241,2025-11-08T08:10:00.000Z,36
5,1,249,2025-11-08T08:11:00.000Z,30
5,1,247,2025-11-08T08:12:00.000Z,32
5,1,4,2025-11-08T08:13:00.000Z,24
5,1,255,2025-11-08T08:14:00.000Z,26
5,1,244,2025-11-08T08:15:00.000Z,34
5,1,249,2025-11-08T08:16:00.000Z,30
5,1,249,2025-11-08T08:17:00.000Z,30
5,1,249,2025-11-08T08:18:00.000Z,30
5,1,250,2025-11-08T08:19:00.000Z,30
5,1,250,2025-11-08T08:20:00.000Z,30
5,1,250,2025-11-08T08:21:00.000Z,30
5,1,254,2025-11-08T08:22:00.000Z,27
5,1,249,2025-11-08T08:23:00.000Z,30
5,1,249,2025-11-08T08:24:00.000Z,30
5,1,254,2025-11-08T08:25:00.000Z,27
5,1,255,2025-11-08T08:26:00.000Z,26
5,1,244,2025-11-08T08:27:00.000Z,34
5,1,247,2025-11-08T08:28:00.000Z,32
5,1,0,2025-11-08T08:29:00.000Z,25
5,1,5,2025-11-08T08:30:00.000Z,24
5,1,11,2025-11-08T08:31:00.000Z,22
5,1,2,2025-11-08T08:32:00.000Z,24
5,1,253,2025-11-08T08:33:00.000Z,27
5,1,245,2025-11-08T08:34:00.000Z,33
5,1,7,2025-11-08T08:35:00.000Z,23
5,1,2,2025-11-08T08:36:00.000Z,24
5,1,251,2025-11-08T08:37:00.000Z,29
5,1,247,2025-11-08T08:38:00.000Z,32
5,1,250,2025-11-08T08:39:00.000Z,30
5,1,244,2025-11-08T08:40:00.000Z,34
5,1,245,2025-11-08T08:41:00.000Z,33
5,1,220,2025-11-08T08:42:00.000Z,52
5,1,249,2025-11-08T08:43:00.000Z,30
5,1,245,2025-11-08T08:44:00.000Z,33
5,1,2,2025-11-08T08:45:00.000Z,24
5,1,253,2025-11-08T08:46:00.000Z,27
5,1,235,2025-11-08T08:47:00.000Z,41
5,1,0,2025-11-08T08:48:00.000Z,25
5,1,252,2025-11-08T08:49:00.000Z,28
5,1,3,2025-11-08T08:50:00.000Z,24
5,1,249,2025-11-08T08:51:00.000Z,30
5,1,252,2025-11-08T08:52:00.000Z,28
5,1,1,2025-11-08T08:53:00.000Z,25
5,1,7,2025-11-08T08:54:00.000Z,23
5,1,252,2025-11-08T08:55:00.000Z,28
5,1,244,2025-11-08T08:56:00.000Z,34
5,1,254,2025-11-08T08:57:00.000Z,27
5,1,248,2025-11-08T08:58:00.000Z,31
