body_battery,field_four,field_two,stress_level_time,stress_level_value
45,1,250,2025-11-13T00:30:00.000Z,30
45,1,0,2025-11-13T00:31:00.000Z,25
45,1,249,2025-11-13T00:32:00.000Z,30
45,1,4,2025-11-13T00:33:00.000Z,24
45,1,250,2025-11-13T00:34:00.000Z,30
45,1,251,2025-11-13T00:35:00.000Z,29
45,1,254,2025-11-13T00:36:00.000Z,27
45,1,0,2025-11-13T00:37:00.000Z,25
45,1,249,2025-11-13T00:38:00.000Z,30
45,1,255,2025-11-13T00:39:00.000Z,26
45,1,254,2025-11-13T00:40:00.000Z,27
45,1,3,2025-11-13T00:41:00.000Z,24
45,1,0,2025-11-13T00:42:00.000Z,25
45,1,0,2025-11-13T00:43:00.000Z,25
45,1,251,2025-11-13T00:44:00.000Z,29
44,1,15,2025-11-13T00:45:00.000Z,21
44,1,250,2025-11-13T00:46:00.000Z,30
44,1,242,2025-11-13T00:47:00.000Z,36
44,1,247,2025-11-13T00:48:00.000Z,32
44,1,247,2025-11-13T00:49:00.000Z,32
44,1,247,2025-11-13T00:50:00.000Z,32
44,1,248,2025-11-13T00:51:00.000Z,31
44,1,246,2025-11-13T00:52:00.000Z,33
44,1,233,2025-11-13T00:53:00.000Z,42
44,1,243,2025-11-13T00:54:00.000Z,35
44,1,251,2025-11-13T00:55:00.000Z,29
44,1,249,2025-11-13T00:56:00.000Z,30
44,1,239,2025-11-13T00:57:00.000Z,38
44,1,225,2025-11-13T00:58:00.000Z,48
44,1,102,2025-11-13T00:59:00.000Z,65534
44,1,229,2025-11-13T01:00:00.000Z,45
44,1,240,2025-11-13T01:01:00.000Z,37
44,1,231,2025-11-13T01:02:00.000Z,44
44,1,235,2025-11-13T01:03:00.000Z,41
44,1,232,2025-11-13T01:04:00.000Z,43
44,1,211,2025-11-13T01:05:00.000Z,59
44,1,239,2025-11-13T01:06:00.000Z,38
44,1,245,2025-11-13T01:07:00.000Z,33
44,1,102,2025-11-13T01:08:00.000Z,65534
44,1,102,2025-11-13T01:09:00.000Z,65534
44,1,102,2025-11-13T01:10:00.000Z,65534
44,1,102,2025-11-13T01:11:00.000Z,65534
43,1,102,2025-11-13T01:12:00.000Z,65534
43,1,101,2025-11-13T01:13:00.000Z,
43,1,204,2025-11-13T01:14:00.000Z,64
43,1,189,2025-11-13T01:15:00.000Z,75
43,1,190,2025-11-13T01:16:00.000Z,75
43,1,102,2025-11-13T01:17:00.000Z,65534
43,1,102,2025-11-13T01:18:00.000Z,65534
43,1,215,2025-11-13T01:19:00.000Z,56
43,1,229,2025-11-13T01:20:00.000Z,45
43,1,238,2025-11-13T01:21:00.000Z,39
43,1,245,2025-11-13T01:22:00.000Z,33
42,1,245,2025-11-13T01:23:00.000Z,33
42,1,241,2025-11-13T01:24:00.000Z,36
42,1,244,2025-11-13T01:25:00.000Z,34
42,1,243,2025-11-13T01:26:00.000Z,35
42,1,20,2025-11-13T01:27:00.000Z,20
42,1,12,2025-11-13T01:28:00.000Z,22
42,1,249,2025-11-13T01:29:00.000Z,30
42,1,252,2025-11-13T01:30:00.000Z,28
42,1,255,2025-11-13T01:31:00.000Z,26
42,1,21,2025-11-13T01:32:00.000Z,20
42,1,15,2025-11-13T01:33:00.000Z,21
42,1,41,2025-11-13T01:34:00.000Z,15
42,1,22,2025-11-13T01:35:00.000Z,19
42,1,11,2025-11-13T01:36:00.000Z,22
42,1,30,2025-11-13T01:37:00.000Z,17
42,1,12,2025-11-13T01:38:00.000Z,22
42,1,20,2025-11-13T01:39:00.000Z,20
42,1,16,2025-11-13T01:40:00.000Z,21
42,1,14,2025-11-13T01:41:00.000Z,21
42,1,34,2025-11-13T01:42:00.000Z,16
42,1,5,2025-11-13T01:43:00.000Z,24
42,1,17,2025-11-13T01:44:00.000Z,21
42,1,3,2025-11-13T01:45:00.000Z,24
42,1,17,2025-11-13T01:46:00.000Z,21
42,1,102,2025-11-13T01:47:00.000Z,65534
42,1,102,2025-11-13T01:48:00.000Z,65534
42,1,102,2025-11-13T01:49:00.000Z,65534
42,1,102,2025-11-13T01:50:00.000Z,65534
42,1,199,2025-11-13T01:51:00.000Z,68
42,1,221,2025-11-13T01:52:00.000Z,51
41,1,240,2025-11-13T01:53:00.000Z,37
41,1,241,2025-11-13T01:54:00.000Z,36
41,1,230,2025-11-13T01:55:00.000Z,45
41,1,7,2025-11-13T01:56:00.000Z,23
41,1,244,2025-11-13T01:57:00.000Z,34
41,1,231,2025-11-13T01:58:00.000Z,44
41,1,217,2025-11-13T01:59:00.000Z,54
41,1,197,2025-11-13T02:00:00.000Z,69
41,1,223,2025-11-13T02:01:00.000Z,50
41,1,221,2025-11-13T02:02:00.000Z,51
40,1,216,2025-11-13T02:03:00.000Z,55
40,1,102,2025-11-13T02:04:00.000Z,65534
40,1,217,2025-11-13T02:05:00.000Z,54
40,1,1,2025-11-13T02:06:00.000Z,25
40,1,252,2025-11-13T02:07:00.000Z,28
40,1,252,2025-11-13T02:08:00.000Z,28
40,1,246,2025-11-13T02:09:00.000Z,33
40,1,240,2025-11-13T02:10:00.000Z,37
40,1,245,2025-11-13T02:11:00.000Z,33
40,1,241,2025-11-13T02:12:00.000Z,36
40,1,242,2025-11-13T02:13:00.000Z,36
40,1,241,2025-11-13T02:14:00.000Z,36
40,1,236,2025-11-13T02:15:00.000Z,40
40,1,232,2025-11-13T02:16:00.000Z,43
40,1,221,2025-11-13T02:17:00.000Z,51
40,1,227,2025-11-13T02:18:00.000Z,47
40,1,102,2025-11-13T02:19:00.000Z,65534
40,1,231,2025-11-13T02:20:00.000Z,44
40,1,102,2025-11-13T02:21:00.000Z,65534
40,1,185,2025-11-13T02:22:00.000Z,78
39,1,102,2025-11-13T02:23:00.000Z,65534
39,1,174,2025-11-13T02:24:00.000Z,87
39,1,203,2025-11-13T02:25:00.000Z,65
39,1,204,2025-11-13T02:26:00.000Z,64
39,1,233,2025-11-13T02:27:00.000Z,42
39,1,218,2025-11-13T02:28:00.000Z,54
39,1,181,2025-11-13T02:29:00.000Z,81
39,1,211,2025-11-13T02:30:00.000Z,59
39,1,190,2025-11-13T02:31:00.000Z,75
39,1,179,2025-11-13T02:32:00.000Z,83
38,1,169,2025-11-13T02:33:00.000Z,90
38,1,169,2025-11-13T02:34:00.000Z,90
38,1,168,2025-11-13T02:35:00.000Z,91
38,1,171,2025-11-13T02:36:00.000Z,89
38,1,178,2025-11-13T02:37:00.000Z,84
38,1,181,2025-11-13T02:38:00.000Z,81
37,1,184,2025-11-13T02:39:00.000Z,79
37,1,186,2025-11-13T02:40:00.000Z,78
37,1,180,2025-11-13T02:41:00.000Z,82
37,1,202,2025-11-13T02:42:00.000Z,66
37,1,194,2025-11-13T02:43:00.000Z,72
37,1,205,2025-11-13T02:44:00.000Z,63
37,1,102,2025-11-13T02:45:00.000Z,65534
37,1,102,2025-11-13T02:46:00.000Z,65534
36,1,102,2025-11-13T02:47:00.000Z,65534
36,1,173,2025-11-13T02:48:00.000Z,87
36,1,186,2025-11-13T02:49:00.000Z,78
36,1,180,2025-11-13T02:50:00.000Z,82
36,1,189,2025-11-13T02:51:00.000Z,75
36,1,180,2025-11-13T02:52:00.000Z,82
36,1,175,2025-11-13T02:53:00.000Z,86
35,1,174,2025-11-13T02:54:00.000Z,87
35,1,186,2025-11-13T02:55:00.000Z,78
35,1,195,2025-11-13T02:56:00.000Z,71
35,1,199,2025-11-13T02:57:00.000Z,68
35,1,192,2025-11-13T02:58:00.000Z,73
35,1,198,2025-11-13T02:59:00.000Z,69
35,1,196,2025-11-13T03:00:00.000Z,70
35,1,202,2025-11-13T03:01:00.000Z,66
35,1,198,2025-11-13T03:02:00.000Z,69
35,1,199,2025-11-13T03:03:00.000Z,68
35,1,189,2025-11-13T03:04:00.000Z,75
