active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16,vigorous_activity_inutes
4,2.5223372357846707e-40,"generic",,0,0,774,,,2025-11-12T17:54:00.000Z,,
43,2.680683962253375e-39,"walking",,1.1378543530317515e-42,9.319475566838628e-44,774,,,2025-11-12T17:54:00.000Z,,
,,,,,,,,,2025-11-12T17:54:00.000Z,,
,,,,,,,85,,2025-11-12T17:56:00.000Z,32304,
,,,,,,,95,,2025-11-12T17:57:00.000Z,32364,
,,,,,,,92,,2025-11-12T17:58:00.000Z,32424,
45,2.8068008240426086e-39,,70,1.2303400516771894e-42,,,,,2025-11-12T17:58:00.000Z,32424,
,,,,,,,94,,2025-11-12T17:59:00.000Z,32484,
,,,200,,,,,,2025-11-12T17:59:00.000Z,,
,,,,,,,89,,2025-11-12T18:00:00.000Z,32544,
46,2.8698592549372254e-39,,102,1.2877932887145069e-42,,,,,2025-11-12T18:00:00.000Z,32544,
,,,,,,,92,,2025-11-12T18:01:00.000Z,32604,
,,,168,,,,,,2025-11-12T18:01:00.000Z,,
,,,,,,,93,,2025-11-12T18:02:00.000Z,32664,
,,,,,,,109,,2025-11-12T18:03:00.000Z,32724,
,,,,,,,152,,2025-11-12T18:04:00.000Z,32784,
,,,,,,,,,2025-11-12T18:04:00.000Z,32784,1
,,,,,,,162,,2025-11-12T18:05:00.000Z,32844,
34,3.993700623325729e-40,,129,1.0705920267441602e-42,,,,,2025-11-12T18:06:00.000Z,32904,
,,,,,,,165,,2025-11-12T18:07:00.000Z,32964,
,,,,,,,171,,2025-11-12T18:08:00.000Z,33024,
,,,,,,,175,,2025-11-12T18:09:00.000Z,33084,
64,6.516037859110399e-40,,129,1.7516230804060213e-42,,,,,2025-11-12T18:09:00.000Z,33084,
,,,,,,,161,,2025-11-12T18:10:00.000Z,33144,
,,,,,,,,1,2025-11-12T18:10:00.000Z,33144,5
,,,,,,,136,,2025-11-12T18:11:00.000Z,33204,
59,3.0380150706562034e-39,,102,1.3900880766102185e-42,,,,,2025-11-12T18:11:00.000Z,33204,
,,,,,,,128,,2025-11-12T18:12:00.000Z,33264,
8,3.363116314379561e-40,,192,0,,,,,2025-11-12T18:12:00.000Z,33264,
9,3.853570776893247e-40,"generic",,0,0,792,,,2025-11-12T18:12:00.000Z,,
59,3.0380150706562034e-39,"walking",,1.3900880766102185e-42,1.1385269762946274e-43,792,,,2025-11-12T18:12:00.000Z,,
64,6.516037859110399e-40,"running",,1.7516230804060213e-42,2.151889973755762e-43,792,,,2025-11-12T18:12:00.000Z,,
,,,,,,,,2,2025-11-12T18:12:00.000Z,33264,
,,,,,,,,,2025-11-12T18:12:00.000Z,,
